schedule_id,event_index,kind,start_min,end_min,start_time,end_time,duration_min,from_code,to_code,from_ref,to_ref,source_trip_id,energy_consumed_kwh,energy_charged_kwh,source_identifier,source,source_pointer,prepared_source,prepared_source_line,route_code,direction,recorded_soc_before_percent,recorded_soc_after_percent,timing_basis,label,movement_kind
original_13309,0,prep,312,319,05:12,05:19,7,PARX,PARX,13801,13801,,,0.0,Prep-out,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A543:X543,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,543,,,100.0,100.0,recorded GIRO clock interval,P1,
original_13309,1,deadhead,319,337,05:19,05:37,18,PARX,HED_D,13801,3127,,20.7999992,0.0,Pull-out,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A544:X544,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,544,,,100.0,91.2974396,recorded GIRO clock interval,M1,pull_out
original_13309,2,service,337,367,05:37,06:07,30,HED_D,PC_10,3127,13215,226,21.3279991,0.0,Regular,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A545:X545,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,545,5510.0,2.0,91.2974396,82.3739624,recorded GIRO clock interval,L1,
original_13309,3,service,367,401,06:07,06:41,34,PC_10,HED_E,13215,3127,229,22.3409996,0.0,Regular,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A546:X546,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,546,5510.0,1.0,82.3739624,73.0266418,recorded GIRO clock interval,L2,
original_13309,4,deadhead,401,402,06:41,06:42,1,HED_E,3127L,3127,3127,,0.061999999,0.0,Deadhead,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A547:X547,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,547,,,73.0266418,73.0007019,recorded GIRO clock interval,M2,deadhead
original_13309,5,charge,402,416,06:42,06:56,14,3127L,3127L,3127,3127,,,40.5944138,Recharge,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A548:X548,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,548,,,73.0007019,89.9850998,recorded GIRO clock interval,C1,
original_13309,6,deadhead,416,417,06:56,06:57,1,3127L,HED_D,3127,3127,,0.0500000007,0.0,Deadhead,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A549:X549,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,549,,,89.9850998,89.9641876,recorded GIRO clock interval,M3,deadhead
original_13309,7,service,417,447,06:57,07:27,30,HED_D,PC_10,3127,13215,234,21.3279991,0.0,Regular,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A550:X550,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,550,5510.0,2.0,89.9641876,81.0407028,recorded GIRO clock interval,L3,
original_13309,8,same_reference_gap,447,450,07:27,07:30,3,PC_10,PC_7,13215,13215,,,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!rows 550–551,,,,,81.0407028,81.0386124,interval between adjacent recorded activities; within-area movement not separately specified,G1,
original_13309,9,service,450,474,07:30,07:54,24,PC_7,GMV_G,13215,7581,586,18.6380005,0.0,Regular,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A551:X551,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,551,5515.0,1.0,81.0386124,73.2406158,recorded GIRO clock interval,L4,
original_13309,10,deadhead,474,476,07:54,07:56,2,GMV_G,GMV_H,7581,7581,,0.5,0.0,Deadhead,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!A552:X552,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,552,,,73.2406158,73.0314102,recorded GIRO clock interval,M4,deadhead
original_13309,11,wait,476,480,07:56,08:00,4,GMV_H,GMV_H,7581,7581,,,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,Data!rows 552–553,,,,,73.0314102,73.0286255,interval between adjacent recorded activities at same place,W1,
