case,trip_count,target_overlap,sha256,remote_source
w1_k05,104,0,eba01cda70407e36244a98c5b4e423dd463df071940d568c24358dfbced512f8,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p01_20260908.csv
w1_k10,225,0,c54f31750af49fb66f0bf21995d02d01a5520e37f13152bc95b4aff17ecef1f3,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k10_p01_20260908.csv
w1_k15,364,0,00e65586e3f6732d476adb184af9ae1c55f8d160798fbb629e47ebcaf5906390,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k15_p01_20260908.csv
w2_k05,109,0,286ef14718748dbeb88980e11f835ed920cb9a01f72708aec4b43a436001ec86,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p02_20260908.csv
w2_k10,236,0,969e49b79b454241e1f4116e405aebdf117dc6adac5497854cf4d7196166a6d6,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k10_p02_20260908.csv
w2_k15,385,0,79c73bc74bdba12d53a76b79c4a6408bda71d2e444a1a95508800da95f5d9188,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k15_p02_20260908.csv
w3_k05,105,22,161036b627aa969a9495ca5ff04d57c526d4f2aa6afd023d55524d5a9a809fb4,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p03_20260908.csv
w3_k10,205,22,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k10_p03_20260908.csv
w3_k15,302,22,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k15_p03_20260908.csv
w4_k05,104,0,d51b0dab0f1f20b7d9ce193b79f5ea1ac48a0d084b435ed7d0b4a26485fe3653,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p04_20260908.csv
w4_k10,220,0,c186ded0e8b4d7834e0ba51f7ce14cc525fa7b62d38c255ca1ecd1afca9dbf08,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k10_p04_20260908.csv
w4_k15,357,0,16cd175ed25d1872a191a750b6586ef2fd395c587ad6323ff5895f4094d15fb2,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k15_p04_20260908.csv
w5_k05,102,0,9b7788a554cdacca084e0cb218796da5d5e0ae076c61073b667ed288dc157a1e,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p05_20260908.csv
w5_k10,204,0,b2fa6d6ca7c5deda4877c8f22d726dc49e6bddb72a921fee1da34ec1c3ef86f8,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k10_p05_20260908.csv
w5_k15,325,0,985760e3065f3ba1d7d62960ae77ff6d61e7d331eb3ebb6582cc774c4835e240,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k15_p05_20260908.csv
w6_k05,79,22,607cba23d981e3ed76448f035f89785b2d253c2f5242559ed65dee6b0dac9236,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k05_p06_20260908.csv
w6_k10,192,22,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k10_p06_20260908.csv
w6_k15,373,22,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95,/home/nc437/ladder-lite/zero_charge_start_fee_20260913/code_06b5cb8/data/scale_ladder/instances/nested_probability_k2_15_20260908/Practice_Custom_DutyUnion_k15_p06_20260908.csv
