case_id,chain,target_k,arm,trip_count,source_cg_declared_columns,raw_journal_record_count,raw_journal_record_count_scope,pre_replay_unique_columns,physical_accepted_columns,physical_rejected_columns,physical_repaired_columns,post_replay_unique_columns,added_giro_columns,extra_route_source_count,final_binary_columns,mean_trips_per_route_column,mean_route_columns_per_trip,trip_matrix_zero_fraction,fleet_optimize_s,fleet_status,stage1_buses,final_buses,fleet_cap,fleet_cap_sense,initial_mip_start_kind,initial_mip_start_buses,initial_start_accepted,stage2_start_accepted,source_result,source_result_sha256,remote_gurobi_log,gurobi_log_sha256,cg_source_sha256,journal_source_sha256,source_journal_bytes,fleet_rows,fleet_binary_columns,fleet_nonzeros,fleet_density,fleet_presolved_rows,fleet_presolved_columns,fleet_presolved_nonzeros,fleet_presolved_density,fleet_presolve_removed_columns,fleet_matrix_range,charging_rows,charging_binary_columns,charging_nonzeros,charging_density,charging_presolved_rows,charging_presolved_columns,charging_presolved_nonzeros,charging_presolved_density,charging_presolve_removed_columns,charging_matrix_range
c1_k05,1,5,fresh,104,28549,,not independently scanned; declared CG columns kept separate,28549,28549,0,0,28549,0,0,28549,20.902553504501032,5737.951923076923,0.799013908610567,1.3043858176097274,OPTIMAL,5,5,5,<=,greedy_pool_partition,17,True,True,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_base_result.json,2414edcc46448bdd30d4669ca3fd7c33503e52479418676ec6bcb66df1648dfe,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k05/mip_base/135590_r0/gurobi.log,e0cfdd9bf780ed2a85703069d19acc4f720de2f818aab45b11ec78f5ef380f57,bd9c65fbcc6995b3e6831252e8c28a434fc0f4a37d520d3c29d9b3ba3afeacc4,4c4524ba9f407c5f91659c5d5d16f75c7a05179268d478dc6d994d409f81a927,115200078,104,28549,596747,0.20098609138943302,104,28549,596747,0.20098609138943302,0,"[1e+00, 1e+00]",105,28549,625296,0.2085957476619146,105,28549,625296,0.2085957476619146,0,"[1e+00, 1e+00]"
c1_k05,1,5,sequential,104,27340,,not independently scanned; declared CG columns kept separate,27340,27340,0,0,27340,0,0,27340,22.81002194586686,5996.403846153846,0.7806728659051263,1.1599803380668163,OPTIMAL,5,5,5,<=,greedy_pool_partition,23,True,True,outputs/research_followup_20260921/battery_rounding/sources/c1_k05_warm_result.json,fe7d0953015209ce2920f0aae307621b43672d2bcac06d246bd5d74f582b7e6d,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k05/mip_warm/135589_r0/gurobi.log,42a50bb5a0401f8cbf4e13abe331d2d2258b0904af8bd48847f97e1c8d1a2f76,3e3fbc72b91ed0996cc49c8bc0c474f96705f372a4755f281ac9d6f03999a31a,6dad171365dfbcd6b311c1261c88a6d8440f70a94a58cf788f3e1044d90e7001,111800166,104,27340,623626,0.21932713409487367,104,23289,549937,0.22705379231528916,4051,"[1e+00, 1e+00]",105,27340,650966,0.2267621137701606,105,27316,650525,0.2268075922710569,24,"[1e+00, 1e+00]"
c1_k08,1,8,fresh,194,39940,,not independently scanned; declared CG columns kept separate,39940,39940,0,0,39940,0,0,39940,27.35738607911868,5632.237113402062,0.8589825459839243,1580.9472602959722,OPTIMAL,9,9,9,<=,greedy_pool_partition,63,True,True,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json,c9dc2e96492adc127590ad89b0d2bfbb13394f358dc49f64438380093245a631,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/mip_base/135595_r0/gurobi.log,b8849c4d1ae994fda7693c7619a45fbea1e3e4bda959d47983b07ddba61cc20e,c024cc4e235234ed4244abaa1e7738f3600c264a2ffe4c05c5026198b69d56b0,2e75b32ab3f2c11e7677892844b33c9fe8c0351529927d08980370c113d2845c,170822363,194,39940,1092654,0.14101745401607566,194,39742,1088432,0.1411724177646853,198,"[1e+00, 1e+00]",195,39940,1132594,0.1454224927134291,195,39929,1132338,0.14542967613668106,11,"[1e+00, 1e+00]"
c1_k08,1,8,sequential,194,78053,,not independently scanned; declared CG columns kept separate,78053,78053,0,0,78053,0,0,78053,27.006124043918877,10865.51030927835,0.860793175031346,27.152428023982793,OPTIMAL,8,8,8,<=,greedy_pool_partition,33,True,True,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_warm_result.json,92aa65873dc345fbd578f3066f78f4e31c92e19ce8710a5b7518930126456c2f,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/mip_warm/135594_r0/gurobi.log,5902f45a6d25c155b1fe673a1ec4431d44fb05dc58b1fefb961a8339bfdfea55,1513ea906b23b9866083c4ecb57df48685e8ce8f87e22b6774c70213c2c7e72b,7cb84716fbcf1049a263aa24e41ad05864d3f087c3e4887983700db5f7d27ab6,344378997,194,78053,2107909,0.139206824968654,194,77236,2094079,0.13975635260091843,817,"[1e+00, 1e+00]",195,78053,2185962,0.1436211489431737,195,77948,2183916,0.14368000757901717,105,"[1e+00, 1e+00]"
c1_k10,1,10,fresh,225,50585,,not independently scanned; declared CG columns kept separate,50585,50585,0,0,50585,0,0,50585,26.290362755757634,5910.6577777777775,0.8831539433077439,1800.0817513139918,TIME_LIMIT,11,11,11,<=,greedy_pool_partition,46,True,True,outputs/research_followup_20260921/battery_rounding/sources/c1_k10_base_result.json,d952a8ac9cc4006ac5ecb0797ac13890509936f80406cb590a3eebc2b864f5cc,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k10/mip_base/135600_r0/gurobi.log,4ed6f5e17df84d74b81b418ddf8b48f6f434be9c56f70137dc502a5c655ff379,c73c6501fc58bc61fb3f09c02cf1980fe6544bcc9476afad12cf383d7743f0e7,33e426fa5fe3a90d89fc76a5c8e12087de85d7d490ade65dbf4805abee4ff53e,226198662,225,50585,1329898,0.11684605669225616,225,50585,1329898,0.11684605669225616,0,"[1e+00, 1e+00]",226,50585,1380483,0.12075381750335237,226,50585,1380483,0.12075381750335237,0,"[1e+00, 1e+00]"
c1_k10,1,10,sequential,225,84209,,not independently scanned; declared CG columns kept separate,84209,84209,0,0,84209,0,0,84209,26.57039033832488,9944.293333333333,0.8819093762741116,152.28712840005755,OPTIMAL,10,10,10,<=,greedy_pool_partition,56,True,True,outputs/research_followup_20260921/battery_rounding/sources/c1_k10_warm_result.json,9ec64eaa8b4837d7846b7c43ab44ce1996763689a3e959847b3d017cad22c4f9,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k10/mip_warm/135599_r0/gurobi.log,fb77498bc992e94e94f3500d445eea3c981c76f20ffddb02f35fdb325b248486,f3a339519c8b113c35ae7e2c5910ae82b42d53332283f93ed3bf389acfc54e8e,b65b793ae7bfc9d2cfc77cc817dc231e6233d8b05be3728687411fb78ce39906,370978120,225,84209,2237466,0.11809062372588837,225,82193,2203807,0.11916705531830908,2016,"[1e+00, 1e+00]",226,84209,2321675,0.12199287760320744,226,84142,2320244,0.12201476517888113,67,"[1e+00, 1e+00]"
c1_k15,1,15,fresh,364,79611,,not independently scanned; declared CG columns kept separate,79611,79611,0,0,79611,0,0,79611,29.17258921505822,6380.381868131868,0.9198555241344555,1800.2162091659848,TIME_LIMIT,18,18,18,<=,greedy_pool_partition,129,True,True,outputs/research_followup_20260921/battery_rounding/sources/c1_k15_base_result.json,0a553d6ae5b87fe448c13cc62ed7de7ab7682509f556bf9dc75168a2c6eda20b,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k15/mip_base/135605_r0/gurobi.log,a8ca26b56c06e6272542dfa96dc581c3ac0ddabd6584cfd5c763b8b15943307f,4bd5821a72b96ac83b81f2474514aa3eceb8fcdd24106f80050e58bcfc91db7d,54a53afdab53c7f7dba73fd458d5c69c2025e19882776ba643e51478932f398c,337379896,364,79611,2322459,0.08014447586554456,364,79566,2321553,0.08015852068902367,45,"[1e+00, 1e+00]",365,79611,2402070,0.08266462798646088,365,79602,2401857,0.08266664326256,9,"[1e+00, 1e+00]"
c1_k15,1,15,sequential,364,130468,,not independently scanned; declared CG columns kept separate,130468,130468,0,0,130468,0,0,130468,27.141689916301317,9728.357142857143,0.925434917812359,105.7495603361167,OPTIMAL,15,15,15,<=,greedy_pool_partition,87,True,True,outputs/research_followup_20260921/battery_rounding/sources/c1_k15_warm_result.json,001928a91dc223802126891f401c767486da34db90b805fdccb7f1430df177ab,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k15/mip_warm/135604_r0/gurobi.log,290e74c376423f700f3f6f86fab09d5afd05741276e596baf639f627916fe790,a84c91e12c33e6e59d5842673bb5cebaf65fc659817fa63f0bc1110053794eca,808d70f20e9d1a0518715422116458d5b6ab81ceea719c336d576adcddc650d3,548262624,364,130468,3541122,0.07456508218764098,364,129896,3531601,0.07469206557130742,572,"[1e+00, 1e+00]",365,130468,3671590,0.07710052031863374,365,130455,3671141,0.07709877389096015,13,"[1e+00, 1e+00]"
c2_k05,2,5,fresh,109,20813,,not independently scanned; declared CG columns kept separate,20813,20813,0,0,20813,0,0,20813,22.343247009080862,4266.3302752293575,0.7950160824854967,63.226342868991196,OPTIMAL,5,5,5,<=,greedy_pool_partition,31,True,True,outputs/research_followup_20260921/battery_rounding/sources/c2_k05_base_result.json,055f0044637a7b36d1c8b9b2e001ad5aeddb6fc9fcaaf1611eb0e695a3663432,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k05/mip_base/135610_r0/gurobi.log,7e9ae96f1fb3919a23b8454a423cb26e5cd88a26171edf7740d2ed417450e281,fefb56ca2f1ae00a74527cbe1a908750e8507ce5c7c439b0851ef8893d202a96,19131da31ad60630ca8d0b59272395d2dcc0f5d59f50f78720508df52091e4ce,69873450,109,20813,465030,0.20498391751450332,109,18081,411650,0.20887149519313955,2732,"[1e+00, 1e+00]",110,20813,485843,0.21221133644618967,110,20260,473976,0.212678811810105,553,"[1e+00, 1e+00]"
c2_k05,2,5,sequential,109,21160,,not independently scanned; declared CG columns kept separate,21160,21160,0,0,21160,0,0,21160,21.286767485822306,4132.366972477064,0.8047085551759421,5.259003296028823,OPTIMAL,5,5,5,<=,greedy_pool_partition,15,True,True,outputs/research_followup_20260921/battery_rounding/sources/c2_k05_warm_result.json,4cb42e5f74fec603f30e79c84be4bd933ca37c64741b6819fdd1bfcf163141f3,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c2_k05/mip_warm/135609_r0/gurobi.log,2dc2ce03fab6c7864ef4505342126b9cdd60886f2bc673831e886b0826f02a04,e99b3549d81e8013e4d0131f51d74532dfa19d2c1f4de03d947c6f2ab04526c2,3853de0ebcc8d44d7dfa27f799711665489c541ceed689ae51e34988428fe684,69446386,109,21160,450428,0.19529144482405786,109,19634,423923,0.19808504812378452,1526,"[1e+00, 1e+00]",110,21160,471588,0.20260697714383916,110,20961,467097,0.20258271855523896,199,"[1e+00, 1e+00]"
