Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,2190,4:27,5:19,4808,20.865,41.7299995,0,0
Regular,2190,4:47,5:39,4808,20.865,41.7299995,1,2
Regular,2190,5:07,5:59,4808,20.865,41.7299995,2,4
Regular,4808,5:25,6:16,2190,21.25,42.5,3,6
Regular,4808,5:36,6:27,2190,21.25,42.5,4,8
Regular,4808,5:46,6:38,2190,21.25,42.5,5,10
Regular,4808,6:06,6:59,2190,21.25,42.5,6,13
Regular,2190,6:38,7:35,4808,20.865,41.7299995,7,20
Regular,2190,6:48,7:45,4808,20.865,41.7299995,8,22
Regular,4808,6:51,7:49,2190,21.25,42.5,9,23
Regular,2190,7:09,8:08,4808,20.865,41.7299995,10,26
Regular,2190,7:29,8:29,4808,20.865,41.7299995,11,30
Regular,4808,7:42,8:42,2190,21.25,42.5,12,33
Regular,4808,7:52,8:52,2190,21.25,42.5,13,35
Regular,2190,8:00,8:59,4808,20.865,41.7299995,14,36
Regular,4808,8:15,9:14,2190,21.25,42.5,15,39
Regular,4808,8:36,9:33,2190,21.25,42.5,16,43
Regular,2190,8:59,9:57,4808,20.865,41.7299995,17,48
Regular,4808,9:06,10:02,2190,21.25,42.5,18,49
Regular,2190,9:20,10:17,4808,20.865,41.7299995,19,52
Regular,2190,9:40,10:37,4808,20.865,41.7299995,20,56
Regular,4808,10:04,10:59,2190,21.25,42.5,21,61
Regular,2190,10:10,11:07,4808,20.865,41.7299995,22,62
Regular,4808,10:24,11:19,2190,21.25,42.5,23,65
Regular,2190,10:40,11:37,4808,20.865,41.7299995,24,68
Regular,4808,10:44,11:39,2190,21.25,42.5,25,69
Regular,2190,11:09,12:07,4808,20.865,41.7299995,26,74
Regular,4808,11:14,12:09,2190,21.25,42.5,27,75
Regular,2190,11:29,12:27,4808,20.865,41.7299995,28,78
Regular,4808,11:44,12:39,2190,21.25,42.5,29,81
Regular,2190,11:49,12:47,4808,20.865,41.7299995,30,82
Regular,4808,12:14,13:09,2190,21.25,42.5,31,87
Regular,2190,12:19,13:17,4808,20.865,41.7299995,32,88
Regular,4808,12:34,13:30,2190,21.25,42.5,33,91
Regular,4808,12:54,13:50,2190,21.25,42.5,34,95
Regular,2190,13:20,14:19,4808,20.865,41.7299995,35,100
Regular,4808,13:24,14:20,2190,21.25,42.5,36,101
Regular,2190,13:40,14:39,4808,20.865,41.7299995,37,104
Regular,2190,14:00,14:59,4808,20.865,41.7299995,38,108
Regular,4808,14:26,15:22,2190,21.25,42.5,39,113
Regular,2190,14:28,15:30,4808,20.865,41.7299995,40,114
Regular,2190,14:38,15:40,4808,20.865,41.7299995,41,116
Regular,4808,14:46,15:43,2190,21.25,42.5,42,117
Regular,4808,15:06,16:04,2190,21.25,42.5,43,121
Regular,2190,15:29,16:32,4808,20.865,41.7299995,44,126
Regular,4808,15:37,16:36,2190,21.25,42.5,45,127
Regular,4808,15:47,16:46,2190,21.25,42.5,46,129
Regular,2190,15:48,16:51,4808,20.865,41.7299995,47,130
Regular,2190,16:18,17:21,4808,20.865,41.7299995,48,135
Regular,4808,16:38,17:37,2190,21.25,42.5,49,139
Regular,2190,16:49,17:50,4808,20.865,41.7299995,50,142
Regular,4808,16:58,17:55,2190,21.25,42.5,51,143
Regular,2190,17:00,18:00,4808,20.865,41.7299995,52,144
Regular,4808,17:27,18:22,2190,21.25,42.5,53,149
Regular,2190,17:51,18:48,4808,20.865,41.7299995,54,154
Regular,4808,17:57,18:51,2190,21.25,42.5,55,155
Regular,2190,18:02,18:59,4808,20.865,41.7299995,56,156
Regular,4808,18:07,19:01,2190,21.25,42.5,57,157
Regular,4808,18:56,19:49,2190,21.25,42.5,58,165
Regular,2190,19:34,20:30,4808,20.865,41.7299995,59,170
Regular,2190,20:35,21:30,4808,20.865,41.7299995,60,178
Regular,4808,20:42,21:34,2190,21.25,42.5,61,179
