case_id,fee_pair_id,assignment,tariff_peak,fee,validated,solver_status,solution_count,runtime_seconds,witness_repaired,raw_solver_objective,electricity_cost,charging_starts,charged_kwh,terminal_kwh,objective,bound,relative_gap,numerical_bound_over_witness,source_execution_commit,fee_pair_identity_sha256,result_path,gurobi_log,model_path,validation_path,receipt_path,result_sha256
original_peak08_fee0,original_peak08,original,8,0,True,2,4,2.050992965698242,False,174.52445851437133,174.52445851437136,46,1879.6326432032404,250.7183243523532,174.52445851437136,174.51605188274365,4.8168787912412476e-05,0.0,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,046a8420f402f92fd2dce7ca9b26fd09f980e848ef5d0ae835adb0ecaeb69a73,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak08_fee0/668988_r0_1790021162195498255/original.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak08_fee0/668988_r0_1790021162195498255/original.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak08_fee0/668988_r0_1790021162195498255/original.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak08_fee0/668988_r0_1790021162195498255/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak08_fee0/668988_r0_1790021162195498255/receipt.json,41409135575eb873b6275017bf7aa0ddcf36a74c828a5ddc2a8a55b39c4b2010
original_peak08_fee5,original_peak08,original,8,5,True,2,10,239.26355290412903,True,369.63624803906384,189.63633416204848,36,1879.6217403007754,250.71853880083012,369.63633416204846,369.63624803906384,2.329938284003923e-07,0.0,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,046a8420f402f92fd2dce7ca9b26fd09f980e848ef5d0ae835adb0ecaeb69a73,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/postprocess_repair/original_peak08_fee5/original.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak08_fee5/668989_r0_1790021161641214996/original.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak08_fee5/668989_r0_1790021161641214996/original.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/postprocess_repair/original_peak08_fee5/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/postprocess_repair/original_peak08_fee5/receipt.json,8c6a72243428e99fdb360b300966d0222ab333a1fec5a902abdcf1af7855062b
original_peak12_fee0,original_peak12,original,12,0,True,2,5,3.818821907043457,False,243.8285205102046,243.828520500597,48,1879.5295495762468,250.71832435235316,243.828520500597,243.82637425513988,8.802274043683572e-06,0.0,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,9fa9422b569e1e3ccc319dfa32c0b1328e649bdc207d33b43e2d2f2368760051,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee0/668990_r0_1790021162571868926/original.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee0/668990_r0_1790021162571868926/original.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee0/668990_r0_1790021162571868926/original.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee0/668990_r0_1790021162571868926/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee0/668990_r0_1790021162571868926/receipt.json,75541fbcd4bf0decaa02c2dcbc9225ca65fcd957d9cc1f90912445b3fde8e20a
original_peak12_fee5,original_peak12,original,12,5,True,2,10,204.38663411140442,False,438.1915012573745,268.1915012879424,34,1879.5785998512622,250.71832435235308,438.1915012879424,438.19150125737457,6.97590725051676e-11,0.0,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,9fa9422b569e1e3ccc319dfa32c0b1328e649bdc207d33b43e2d2f2368760051,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee5/668991_r0_1790021162390877124/original.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee5/668991_r0_1790021162390877124/original.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee5/668991_r0_1790021162390877124/original.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee5/668991_r0_1790021162390877124/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak12_fee5/668991_r0_1790021162390877124/receipt.json,bcffccb51a5bc6b855005a57cedeb4ebf311f55d503371c32d65520071980aec
original_peak18_fee0,original_peak18,original,18,0,True,2,9,25.30970597267151,False,159.37820601174025,159.37820601174,51,1879.4299178176138,250.71832435235316,159.37820601174,159.37747591729615,4.58089259572068e-06,0.0,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,b0463b00e3465e572825d57dfadb75b6bb29543d95bef7e002fac8745ef8769a,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee0/668992_r0_1790021162278106885/original.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee0/668992_r0_1790021162278106885/original.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee0/668992_r0_1790021162278106885/original.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee0/668992_r0_1790021162278106885/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee0/668992_r0_1790021162278106885/receipt.json,3f251e030fe83fdc93d91d599034bf167134c0a8841b1e976de4fc4201342f7f
original_peak18_fee5,original_peak18,original,18,5,True,9,10,600.0024788379669,False,349.5746221378449,189.5746221528839,32,1879.505237803816,250.7183243523532,349.5746221528839,343.1076141434083,0.018499649573095422,0.0,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,b0463b00e3465e572825d57dfadb75b6bb29543d95bef7e002fac8745ef8769a,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee5/668993_r0_1790021165401940842/original.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee5/668993_r0_1790021165401940842/original.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee5/668993_r0_1790021165401940842/original.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee5/668993_r0_1790021165401940842/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/original_peak18_fee5/668993_r0_1790021165401940842/receipt.json,87300132a3178dd15a5b8b068c5e15c4a651b653a6d5355f9ab502807e4ac21a
saved_joint_fee0_peak08_fee0,saved_joint_fee0_peak08,saved_joint_fee0,8,0,True,2,1,2.847111940383911,False,158.705595085637,158.705595085637,42,1880.040199632291,250.7183243523532,158.705595085637,158.70559508563696,1.7908448290728346e-16,0.0,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,612f65b9e6f5f2cbb137bcec4975b60ceb40e7d004f470b49af377491654e932,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee0/668994_r0_1790021162352549148/saved_joint_fee0.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee0/668994_r0_1790021162352549148/saved_joint_fee0.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee0/668994_r0_1790021162352549148/saved_joint_fee0.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee0/668994_r0_1790021162352549148/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee0/668994_r0_1790021162352549148/receipt.json,cfb9d8df538f2fd7a8ffd55bc7333f66b298013ed009f12b2b4b6219500c389d
saved_joint_fee0_peak08_fee5,saved_joint_fee0_peak08,saved_joint_fee0,8,5,True,9,10,600.0028290748596,False,344.48752204586617,174.4875225963351,34,1880.029143085774,250.71832435014323,344.4875225963351,341.89658578080895,0.007521133990568886,0.0,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,612f65b9e6f5f2cbb137bcec4975b60ceb40e7d004f470b49af377491654e932,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee5/668995_r0_1790021162355469361/saved_joint_fee0.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee5/668995_r0_1790021162355469361/saved_joint_fee0.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee5/668995_r0_1790021162355469361/saved_joint_fee0.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee5/668995_r0_1790021162355469361/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak08_fee5/668995_r0_1790021162355469361/receipt.json,d57c6c6b534ba65d7e407679fa7cc7d72a4d5fd054028963227f636ebdf83543
saved_joint_fee0_peak12_fee0,saved_joint_fee0_peak12,saved_joint_fee0,12,0,True,2,10,3.435912847518921,False,234.29460625467397,234.2946062546737,47,1879.9419899056961,250.7183243523532,234.2946062546737,234.29460625467397,0.0,2.5579538487363607e-13,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,c0639c9ee143d4a7443a1857b720ed0d731680db90608329a6bec65519119f9f,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee0/668996_r0_1790021162352409089/saved_joint_fee0.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee0/668996_r0_1790021162352409089/saved_joint_fee0.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee0/668996_r0_1790021162352409089/saved_joint_fee0.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee0/668996_r0_1790021162352409089/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee0/668996_r0_1790021162352409089/receipt.json,1ca6498af5b0d37e52aeb4952c1d976bdbdf3674460e8aecc9463522b1dc64d2
saved_joint_fee0_peak12_fee5,saved_joint_fee0_peak12,saved_joint_fee0,12,5,True,9,10,600.0015439987183,False,430.6424023589753,255.6424028694675,35,1879.9513566760706,250.7183243523532,430.6424028694675,417.8612074000207,0.029679370596770803,0.0,b931772dadf1e5930fd87bf4a89edd7dcaf6c51a,c0639c9ee143d4a7443a1857b720ed0d731680db90608329a6bec65519119f9f,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee5/668997_r0_1790021162352439017/saved_joint_fee0.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee5/668997_r0_1790021162352439017/saved_joint_fee0.gurobi.log,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee5/668997_r0_1790021162352439017/saved_joint_fee0.lp,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee5/668997_r0_1790021162352439017/validation.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260921/charging_fee_factorial/native/results/saved_joint_fee0_peak12_fee5/668997_r0_1790021162352439017/receipt.json,6a27df567df81634142834da23a3cce5b5f228c6520b3aced6dcf6a16b0a0296
