case,arm,seed,job_id,scheduler_state,attempt,status,dive_integer_buses,columns_generated,mip_solver_budget_s,actual_charged_dive_plus_solver_s,actual_end_to_end_wall_s,mip_external_overhead_s,source_immutable
c1_k08,control,20260921,668455,RUNNING,668455_r0,running,,,,,,,
c1_k08,treatment,20260921,668457,RUNNING,668457_r0,running,,,,,,,
c1_k08,control,20260922,668458,RUNNING,668458_r0,running,,,,,,,
c1_k08,treatment,20260922,668459,RUNNING,668459_r0,running,,,,,,,
c3_k08,control,20260921,668460,RUNNING,668460_r0,running,,,,,,,
c3_k08,treatment,20260921,668461,RUNNING,668461_r0,running,,,,,,,
c3_k08,control,20260922,668462,RUNNING,668462_r0,running,,,,,,,
c3_k08,treatment,20260922,668463,RUNNING,668463_r0,running,,,,,,,
c4_k08,control,20260921,668464,RUNNING,668464_r0,running,,,,,,,
c4_k08,treatment,20260921,668465,RUNNING,668465_r0,running,,,,,,,
c4_k08,control,20260922,668466,RUNNING,668466_r0,running,,,,,,,
c4_k08,treatment,20260922,668467,RUNNING,668467_r0,running,,,,,,,
c5_k08,control,20260921,668468,RUNNING,668468_r0,running,,,,,,,
c5_k08,treatment,20260921,668469,RUNNING,668469_r0,running,,,,,,,
c5_k08,control,20260922,668470,RUNNING,668470_r0,running,,,,,,,
c5_k08,treatment,20260922,668471,RUNNING,668471_r0,running,,,,,,,
