case	arm	seed	job_id
c1_k08	control	20260921	668455
c1_k08	treatment	20260921	668457
c1_k08	control	20260922	668458
c1_k08	treatment	20260922	668459
c3_k08	control	20260921	668460
c3_k08	treatment	20260921	668461
c3_k08	control	20260922	668462
c3_k08	treatment	20260922	668463
c4_k08	control	20260921	668464
c4_k08	treatment	20260921	668465
c4_k08	control	20260922	668466
c4_k08	treatment	20260922	668467
c5_k08	control	20260921	668468
c5_k08	treatment	20260921	668469
c5_k08	control	20260922	668470
c5_k08	treatment	20260922	668471
