case,arm,seed,job_id,scheduler_state,attempt,status,dive_integer_buses,columns_generated,mip_solver_budget_s,actual_charged_dive_plus_solver_s,actual_end_to_end_wall_s,mip_external_overhead_s,source_immutable,physical_replay_validated,duplicate_trip_removal_validated,cross_route_charger_capacity_validated,buses,fleet_bound,finite_pool_fleet_proven,target_attained,global_certificate,result_sha256,handoff_validated,dive_plus_solver_excess_s
c1_k08,control,20260921,668455,COMPLETED,668455_r0,finished,,,3600,3600.896291255951,3645.4210882135667,43.18372691422701,True,True,False,False,9,8.000000000000032,False,False,,cbe1e6ca7060d7c63a1fbd60c9dc1ac63c63d5ee43bd13423961004fd6f0ced3,,0.8962912559509277
c1_k08,treatment,20260921,668457,COMPLETED,668457_r0,finished,8,15966,2327,2025.926676581148,2106.139340172056,75.1537144659087,True,True,False,False,8,8.0,True,True,,dfdfa6548d34af57d8de9de41b5b6fe641e70b2f8ea6df7fa755174287c12a85,True,0
c1_k08,control,20260922,668458,COMPLETED,668458_r0,finished,,,3600,3600.906576156616,3656.437197470106,53.81771804438904,True,True,False,False,9,9.0,True,False,,fc4b49c81001f93e93b79b023eebc1136d1436d8b45eadf9be304157dd7406d8,,0.9065761566162109
c1_k08,treatment,20260922,668459,COMPLETED,668459_r0,finished,8,18255,2017,2043.6227259631269,2124.3226479720324,78.71828158991411,True,True,False,False,8,8.0,True,True,,ba956dd7333730c6b654651d859069e89fbd651fa4c2a082408791fc5118f89f,True,0
c3_k08,control,20260921,668460,COMPLETED,668460_r0,finished,,,3600,3601.0451736450195,3619.617583030369,18.002157899085432,True,True,False,False,9,8.000000000000007,False,False,,84056b5e8625f99b608cd0c8f88b00058f714273049d6f7e1bb2bd3eb3056d23,,1.0451736450195312
c3_k08,treatment,20260921,668461,COMPLETED,668461_r0,finished,8,15823,2537,1091.1895220205188,1125.9158961256035,33.891459671314806,True,True,False,False,8,8.0,True,True,,460fbdb35e0d884bed3c4d2551172cc8a46760ba5400056370e6eb4db7862195,True,0
c3_k08,control,20260922,668462,COMPLETED,668462_r0,finished,,,3600,3601.714928150177,3620.1951548666693,17.892908710520715,True,True,False,False,9,8.00000000000003,False,False,,d7504a2108ea8c6d4a463b09e2252fabd19fadd9b8849bf0e8098701a8d51df7,,1.714928150177002
c3_k08,treatment,20260922,668463,COMPLETED,668463_r0,finished,8,12148,2876,817.5347601026297,848.1121918237768,29.870316966436803,True,True,False,False,8,8.0,True,True,,1e51d66118e53bb5215bdceee210a91b414be2b48203c349d0a4dc6d5912b072,True,0
c4_k08,control,20260921,668464,COMPLETED,668464_r0,finished,,,3600,3604.7041203975677,3662.9000207241625,53.438016704749316,True,True,False,False,9,9.0,True,False,,14ab6713c0e631e7aa24261186b37884b7a9b4fcef5fa5a02b48f6c32d70b2f8,,4.704120397567749
c4_k08,treatment,20260921,668465,COMPLETED,668465_r0,finished,,23310,1254,3601.9477442307398,3694.4135601553135,87.41744363959879,True,True,False,False,9,8.000000000000009,False,False,,1bef3dc4ec0bef745fd6fcdf4f75e42eadd5c90a35f049d456e9857796d00944,,1.9477442307397723
c4_k08,control,20260922,668466,COMPLETED,668466_r0,finished,,,3600,3601.0070230960846,3658.5616721378174,52.75504841702059,True,True,False,False,9,9.0,True,False,,353bc14d15f2401edca0741d1fb95a78c7fde0d713b8098b81827da36e8d61a9,,1.0070230960845947
c4_k08,treatment,20260922,668467,COMPLETED,668467_r0,finished,8,18569,1913,2008.6103893630207,2092.5085010020994,78.8590610800311,True,True,True,False,8,8.0,True,True,,6d3729cbbe34e755a3802d0ceb690d35dc417abf36aab78a4983cdd5131866ca,True,0
c5_k08,control,20260921,668468,COMPLETED,668468_r0,finished,,,3600,3600.760202407837,3641.443880022969,36.331650087144226,True,True,False,False,9,9.0,True,False,,ebebc8382a5ef90e32a8517d16d668eb20b9c74fc781789a905426431c2a81ae,,0.7602024078369141
c5_k08,treatment,20260921,668469,COMPLETED,668469_r0,finished,8,11169,2773,1008.5583143255208,1064.643613132881,51.566378619521856,True,True,False,False,8,8.0,True,True,,7edbd444864a387f571ff53c80d541b35042d3b63a319ddd7de393162a935e3a,True,0
c5_k08,control,20260922,668470,COMPLETED,668470_r0,finished,,,3600,3600.683229446411,3642.135054496117,36.491509390529245,True,True,False,False,9,9.0,True,False,,88522bca77870717f902b2375d00e6b22d178aadf3a45af36bdd898dbde58f47,,0.6832294464111328
c5_k08,treatment,20260922,668471,COMPLETED,668471_r0,finished,8,14049,2614,1064.1976913427934,1120.14959996799,51.42738414509222,True,True,False,False,8,8.0,True,True,,28a8fed82b2e25dc6ab9689424a3e27c5bb76ae45b6c83c21d0761f381179fb2,True,0
