case,arm,seed,job_id,scheduler,buses,fleet_bound,finite_pool_fleet_proven,target8,stage1_status,stage2_status,dive_stop,own_dive_handoff,new_columns,dive_wall_s,mip_budget_s,mip_solver_runtime_s,charged_s,charged_excess_s,external_mip_overhead_s,end_to_end_s,overcovered_distinct_trips,extra_trip_occurrences,route_replay,duplicate_removal_validated,shared_capacity_validated,global_certificate,verified_small_receipt_hashes,result_sha256,stage1_proof_log
c1_k08,control,20260921,668455,COMPLETED,9,8.000000000000032,False,False,TIME_LIMIT,TIME_LIMIT,not_applicable,False,0,0,3600,3600.896291255951,3600.896291255951,0.8962912559509277,43.18372691422701,3645.4210882135667,27,29,True,False,False,,3,cbe1e6ca7060d7c63a1fbd60c9dc1ac63c63d5ee43bd13423961004fd6f0ced3,results/c1_k08/control_s20260921/668455_r0/mip_gurobi.log:181
c1_k08,treatment,20260921,668457,COMPLETED,8,8.0,True,True,OPTIMAL,OPTIMAL,integer_solution,True,15966,1272.236233303789,2327,753.690443277359,2025.926676581148,0,75.1537144659087,2106.139340172056,7,7,True,False,False,,8,dfdfa6548d34af57d8de9de41b5b6fe641e70b2f8ea6df7fa755174287c12a85,results/c1_k08/treatment_s20260921/668457_r0/mip_gurobi.log:63
c1_k08,control,20260922,668458,COMPLETED,9,9.0,True,False,OPTIMAL,TIME_LIMIT,not_applicable,False,0,0,3600,3600.906576156616,3600.906576156616,0.9065761566162109,53.81771804438904,3656.437197470106,28,30,True,False,False,,3,fc4b49c81001f93e93b79b023eebc1136d1436d8b45eadf9be304157dd7406d8,results/c1_k08/control_s20260922/668458_r0/mip_gurobi.log:167
c1_k08,treatment,20260922,668459,COMPLETED,8,8.0,True,True,OPTIMAL,OPTIMAL,integer_solution,True,18255,1582.3591787810437,2017,461.26354718208313,2043.6227259631269,0,78.71828158991411,2124.3226479720324,2,2,True,False,False,,8,ba956dd7333730c6b654651d859069e89fbd651fa4c2a082408791fc5118f89f,results/c1_k08/treatment_s20260922/668459_r0/mip_gurobi.log:63
c3_k08,control,20260921,668460,COMPLETED,9,8.000000000000007,False,False,TIME_LIMIT,TIME_LIMIT,not_applicable,False,0,0,3600,3601.0451736450195,3601.0451736450195,1.0451736450195312,18.002157899085432,3619.617583030369,26,28,True,False,False,,3,84056b5e8625f99b608cd0c8f88b00058f714273049d6f7e1bb2bd3eb3056d23,results/c3_k08/control_s20260921/668460_r0/mip_gurobi.log:408
c3_k08,treatment,20260921,668461,COMPLETED,8,8.0,True,True,OPTIMAL,OPTIMAL,integer_solution,True,15823,1062.477878563106,2537,28.71164345741272,1091.1895220205188,0,33.891459671314806,1125.9158961256035,1,1,True,False,False,,8,460fbdb35e0d884bed3c4d2551172cc8a46760ba5400056370e6eb4db7862195,results/c3_k08/treatment_s20260921/668461_r0/mip_gurobi.log:65
c3_k08,control,20260922,668462,COMPLETED,9,8.00000000000003,False,False,TIME_LIMIT,TIME_LIMIT,not_applicable,False,0,0,3600,3601.714928150177,3601.714928150177,1.714928150177002,17.892908710520715,3620.1951548666693,30,33,True,False,False,,3,d7504a2108ea8c6d4a463b09e2252fabd19fadd9b8849bf0e8098701a8d51df7,results/c3_k08/control_s20260922/668462_r0/mip_gurobi.log:367
c3_k08,treatment,20260922,668463,COMPLETED,8,8.0,True,True,OPTIMAL,OPTIMAL,integer_solution,True,12148,723.6277357190847,2876,93.90702438354492,817.5347601026297,0,29.870316966436803,848.1121918237768,1,1,True,False,False,,8,1e51d66118e53bb5215bdceee210a91b414be2b48203c349d0a4dc6d5912b072,results/c3_k08/treatment_s20260922/668463_r0/mip_gurobi.log:61
c4_k08,control,20260921,668464,COMPLETED,9,9.0,True,False,OPTIMAL,TIME_LIMIT,not_applicable,False,0,0,3600,3604.7041203975677,3604.7041203975677,4.704120397567749,53.438016704749316,3662.9000207241625,22,22,True,False,False,,3,14ab6713c0e631e7aa24261186b37884b7a9b4fcef5fa5a02b48f6c32d70b2f8,results/c4_k08/control_s20260921/668464_r0/mip_gurobi.log:190
c4_k08,treatment,20260921,668465,COMPLETED,9,8.000000000000009,False,False,TIME_LIMIT,TIME_LIMIT,wall_limit,False,23310,2345.890950064175,1254,1256.056794166565,3601.9477442307398,1.9477442307397723,87.41744363959879,3694.4135601553135,20,20,True,False,False,,7,1bef3dc4ec0bef745fd6fcdf4f75e42eadd5c90a35f049d456e9857796d00944,results/c4_k08/treatment_s20260921/668465_r0/mip_gurobi.log:151
