case,cache_job,cg_job,mip_job,cache_state,cg_state,mip_state,pricing_certificate,pool_fleet_proof,physical_validation,target_attainment
w1_k33,661616_0,661618,661619,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w1_k34,661616_1,661620,661621,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w1_k35,661616_2,661622,661623,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w1_k36,661616_3,661625,661626,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w1_k37,661616_4,661627,661628,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w1_k38,661616_5,661629,661630,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w1_k39,661616_6,661631,661632,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w1_k40,661616_7,661633,661634,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w2_k33,661616_8,661636,661637,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w2_k34,661616_9,661638,661639,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w2_k35,661616_10,661640,661641,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w2_k36,661616_11,661642,661643,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w2_k37,661616_12,661644,661645,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w2_k38,661616_13,661646,661647,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w2_k39,661616_14,661648,661649,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w2_k40,661616_15,661650,661651,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w3_k33,661616_16,661668,661669,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w3_k34,661616_17,661670,661671,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w3_k35,661616_18,661676,661677,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w3_k36,661616_19,661678,661679,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w3_k37,661616_20,661680,661681,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w3_k38,661616_21,661682,661683,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w3_k39,661616_14,661684,661685,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w3_k40,661616_15,661686,661687,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w4_k33,661616_22,661691,661692,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w4_k34,661616_23,661693,661694,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w4_k35,661616_24,661695,661696,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w4_k36,661616_25,661697,661698,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w4_k37,661616_26,661699,661700,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w4_k38,661616_27,661701,661702,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w4_k39,661616_28,661703,661704,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w4_k40,661616_7,661705,661706,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w5_k33,661616_29,661707,661708,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w5_k34,661616_30,661709,661710,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w5_k35,661616_31,661711,661712,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w5_k36,661616_32,661713,661714,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w5_k37,661616_33,661715,661716,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w5_k38,661616_34,661717,661718,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w5_k39,661616_35,661719,661720,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w5_k40,661616_36,661721,661722,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w6_k33,661616_37,661724,661726,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w6_k34,661616_38,661727,661728,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w6_k35,661616_39,661729,661730,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w6_k36,661616_40,661731,661732,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w6_k37,661616_41,661733,661735,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w6_k38,661616_42,661736,661738,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w6_k39,661616_43,661739,661740,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
w6_k40,661616_15,661741,661742,RUNNING,PENDING,PENDING,not yet available,not yet available,not yet available,not yet available
