experiment,case_arm,fleet_buses,fleet_bound,fleet_proven,fleet_termination,fleet_seconds,fleet_nodes,fleet_proof_line,charging_termination,charging_cost,charging_bound,charging_gap_percent,charging_seconds,charging_proof_line,final_buses,physical_replay_validated,duplicate_trip_removal_validated,shared_capacity_validated,source_cg_path,source_cg_sha256,source_journal_path,source_journal_sha256,execution_commit,local_log,remote_log,log_sha256,treatment_end_to_end_seconds,dive_incumbent_buses
pilot,c1_k08/control_arm_a/586634_r0,9,8.0,False,Time limit reached,1800.07,14942,175,Time limit reached,501.7519999994,365.053761436,27.2442,1798.12,398,9,True,False,False,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/base/135593_r0/cg.json,c024cc4e235234ed4244abaa1e7738f3600c264a2ffe4c05c5026198b69d56b0,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/base/135593_r0/cg.json.columns.jsonl,2e75b32ab3f2c11e7677892844b33c9fe8c0351529927d08980370c113d2845c,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c1_k08/control_arm_a/586634_r0/gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c1_k08/control_arm_a/586634_r0/gurobi.log,dc916a2ac99262b03a923072ff155e23366b2266fd9cbaae218e17d8e53981a0,,
pilot,c1_k08/control_arm_b/586635_r0,9,9.0,True,Optimal solution found (tolerance 1.00e-04),1244.73,34072,184,Time limit reached,474.1839999994,375.4888434602,20.8137,9633.26,728,9,True,False,False,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/base/135593_r0/cg.json,c024cc4e235234ed4244abaa1e7738f3600c264a2ffe4c05c5026198b69d56b0,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c1_k08/base/135593_r0/cg.json.columns.jsonl,2e75b32ab3f2c11e7677892844b33c9fe8c0351529927d08980370c113d2845c,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c1_k08/control_arm_b/586635_r0/gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c1_k08/control_arm_b/586635_r0/gurobi.log,8528f29abc73d097f3301fdf196b128c788d8afe035d3447241cc2ef680c7ee6,,
pilot,c1_k08/treatment/586633_r0,9,8.0,False,Time limit reached,771.03,13614,131,Time limit reached,454.184,362.995642765,20.0774,768.91,253,9,True,False,False,/home/nc437/ladder-lite/diving_pricing_20260919/results/c1_k08/treatment/586633_r0/dive/cg.json,8343ffa5b0d585e39034f68396f14cd857626e97e29188c0ba525659699673d8,/home/nc437/ladder-lite/diving_pricing_20260919/results/c1_k08/treatment/586633_r0/dive/cg.json.columns.jsonl,f4ce8dc44cc62a733449fa34cd74be93512edb4ecdb1edbcb9dd776a39dbc254,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c1_k08/treatment/586633_r0/mip_gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c1_k08/treatment/586633_r0/mip_gurobi.log,dffce1a7e0f674a897ef53a75444045e052c1657ab91fa4f24c48d76f96800ce,3692,8
pilot,c3_k08/control_arm_a/586637_r0,9,8.0,False,Time limit reached,1800.04,567851,386,Time limit reached,242.776,194.3814452375,19.9338,1799.56,680,9,True,False,False,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k08/base/135633_r0/cg.json,9e8376a2835c071c76011325de652348eda5bf3937a3faad03d9bb7544e78082,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k08/base/135633_r0/cg.json.columns.jsonl,7ea9fdbc17fc11def3c741a5c2d0525e078391ed41d47ae1bc14a0182704d5f6,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c3_k08/control_arm_a/586637_r0/gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c3_k08/control_arm_a/586637_r0/gurobi.log,9c9d67a0f41337f3a69dd9ad9b0ef381824d976a139d422e3db858d3c2c3cbbf,,
pilot,c3_k08/control_arm_b/586638_r0,9,9.0,True,Optimal solution found (tolerance 1.00e-04),2614.9,814334,452,Time limit reached,242.776,198.9839761458,18.038,4279.76,1139,9,True,False,False,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k08/base/135633_r0/cg.json,9e8376a2835c071c76011325de652348eda5bf3937a3faad03d9bb7544e78082,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c3_k08/base/135633_r0/cg.json.columns.jsonl,7ea9fdbc17fc11def3c741a5c2d0525e078391ed41d47ae1bc14a0182704d5f6,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c3_k08/control_arm_b/586638_r0/gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c3_k08/control_arm_b/586638_r0/gurobi.log,982e9a789b4b3deca819869dc2904c9b337a70adf346daeeee56c6c44645dfcd,,
pilot,c3_k08/treatment/586636_r0,8,8.0,True,Optimal solution found (tolerance 1.00e-04),200.19,4332,110,Optimal solution found (tolerance 1.00e-04),218.184,218.184,0.0,352.89,286,8,True,False,False,/home/nc437/ladder-lite/diving_pricing_20260919/results/c3_k08/treatment/586636_r0/dive/cg.json,e95808884903c5c2d4d8a7a3edc539d4f85a286ed3edc71ff7373bade09603dc,/home/nc437/ladder-lite/diving_pricing_20260919/results/c3_k08/treatment/586636_r0/dive/cg.json.columns.jsonl,6c0a1a22cb7970a9657f4f3f8ed2b616c53a9c49b4eb95776225780afd96c065,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c3_k08/treatment/586636_r0/mip_gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c3_k08/treatment/586636_r0/mip_gurobi.log,8c6697812db2912e30a95276f496ec1499ef3d9a3cf6afcfb9c8085851e1e3ff,1207,8
pilot,c4_k08/control_arm_a/586640_r0,9,9.0,True,Optimal solution found (tolerance 1.00e-04),305.99,5014,129,Time limit reached,447.4,344.9153022044,22.9067,3292.92,425,9,True,False,False,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k08/base/135653_r0/cg.json,6d64febeeb1d25cc7245e38133c17ea696b76b4419f385d4219f3a17e5a63d4c,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k08/base/135653_r0/cg.json.columns.jsonl,c73aa81245a59305a48173a072d450a3b5faee7e4fd906d613c4eca97cd6bc64,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c4_k08/control_arm_a/586640_r0/gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c4_k08/control_arm_a/586640_r0/gurobi.log,49a6da3222e6da61776baa1fa6444a91e6cdc59e592850764e9c3c4d95203e77,,
pilot,c4_k08/control_arm_b/586641_r0,9,9.0,True,Optimal solution found (tolerance 1.00e-04),300.65,5014,129,Time limit reached,447.4,351.7703561977,21.3745,7468.38,579,9,True,False,False,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k08/base/135653_r0/cg.json,6d64febeeb1d25cc7245e38133c17ea696b76b4419f385d4219f3a17e5a63d4c,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c4_k08/base/135653_r0/cg.json.columns.jsonl,c73aa81245a59305a48173a072d450a3b5faee7e4fd906d613c4eca97cd6bc64,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c4_k08/control_arm_b/586641_r0/gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c4_k08/control_arm_b/586641_r0/gurobi.log,492e38ef819d3793f11074ac7a72268cda2c74502d736644effc1731af567fce,,
pilot,c4_k08/treatment/586639_r0,8,8.0,True,Optimal solution found (tolerance 1.00e-04),114.46,52,91,Optimal solution found (tolerance 1.00e-04),397.72,397.72,0.0,313.34,300,8,True,False,False,/home/nc437/ladder-lite/diving_pricing_20260919/results/c4_k08/treatment/586639_r0/dive/cg.json,1ccd006d75213abf742803efa7ecebfccd44e6f524b9cf8d23b38f68ab3149f2,/home/nc437/ladder-lite/diving_pricing_20260919/results/c4_k08/treatment/586639_r0/dive/cg.json.columns.jsonl,b8e132ff84a86fb62667af491e314b137654a626d827bc855a2be6c943d9220e,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c4_k08/treatment/586639_r0/mip_gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c4_k08/treatment/586639_r0/mip_gurobi.log,f93f542f05b7967117348730ee5e05f8e1f3d35fd2785369f13eefb0b6609a6c,2372,8
pilot,c5_k08/control_arm_a/586643_r0,9,9.0,True,Optimal solution found (tolerance 1.00e-04),688.17,22901,161,Time limit reached,450.632,431.6492504293,4.2125,2911.18,675,9,True,False,False,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k08/base/135675_r0/cg.json,364c6a6505bf510678634a2922b51a8185febbbbf276e7e1e7d755db04cd9e2f,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k08/base/135675_r0/cg.json.columns.jsonl,9ab51e03bfa1f350834fe96b24942ab42f5bf319222cc111b38b40806420a11c,a3392e2c8f6722da9538d88a34bab7ef85f7cc72,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/evidence/pilot/c5_k08/control_arm_a/586643_r0/gurobi.log,/home/nc437/ladder-lite/diving_pricing_20260919/results/c5_k08/control_arm_a/586643_r0/gurobi.log,f10f611ec33140bed83f19f2accafa2669e1b4fcd6e0c691c401a6869442887b,,
