case,contrast,repetition,pair,arm_order,control,treatment,control_cg_min,treatment_cg_min,cg_time_reduction_percent,control_certified,treatment_certified,control_iterations,treatment_iterations,control_fleet,treatment_fleet,control_fleet_proven,treatment_fleet_proven,same_initial_sequence_order,same_initial_pool,lp_objective_difference,control_cg_sha256,treatment_cg_sha256,control_mip_sha256,treatment_mip_sha256
w1_k08,index,1,w1_k08_index_r1,A/B,A,B,43.73528194441072,35.81025260932899,18.12044871496372,True,True,950,950,9,9,True,True,True,True,0.0,4de98d99b8f13867f92452ef7c8db97db6778126599ed9c14e7f7192c0681b2d,924efc2b116bdeeb5ad102d186bb076c45dc20e5f4bda20d2da986a84c6c6cc4,c24abf58aae73b75e02e7ecd4c57571ff9f2381c1dd15976fde179d5d1ce5043,4147969168b4ca007a56a1400dc3194d1b8f91a2af9119ec46ac7719f98cbe1b
w1_k08,index,2,w1_k08_index_r2,B/A,A,B,47.995941192020354,41.32708788317007,13.894619301598398,True,True,950,950,9,9,True,True,True,True,0.0,f4d0e9c0e042fc227f6cc87439a9947f3a66c1da04f41a190e61b1bcbe97ba34,bee876844bf40430cd173705a7cff6fe5607bd9fd133ee3543442bec46515c02,d21962809176ca28475b7525dd40d9139b6b9e4ae351a606d03a6c19f0a061b9,3a60fa70972fb49c82edfbc8e5c74eb45bdbee832f8404873976a364f7cd2cd7
w1_k08,pool,1,w1_k08_pool_r1,B/C,B,C,30.525464476059035,15.76283218327056,48.361695869908,True,True,950,177,9,8,True,True,False,False,1.1641532182693481e-10,b60f34d3a31b3b87d5689e53e3111a078c2f18a696b07085365f12110431b2a2,3be50e9fafe878f762d2ffaf5ca082f9eccbb8559b826e56316bb0e975dd2f51,356babeef18a9513a5e56c6cfb0de87cdc8188ee2e702b753da60776e74865cc,38803c8e043db907fae791b33569e2b7c8ee63ec0dcfbaae4d763107752e3658
w1_k08,pool,2,w1_k08_pool_r2,C/B,B,C,30.461957891432878,15.762611437914893,48.254765848954285,True,True,950,177,9,8,True,True,False,False,1.1641532182693481e-10,2ee05746d1ff1dee5c8d3b1a7c7e1b4d69e5fa6f782af6d7fb96a13083eacd8c,e1de41ff6b5c29d421121ad0e32fa27a638011476da95def4d832f30d9b6cc9e,c7045c7e9b872bca8f0bdb8cb9fe9ce04cc947efb13b8371bc593f6052495659,6748774a7444afaa3a51109e8fa9d3f938f1d4571234059b524852ea113fe623
w1_k08,master,1,w1_k08_master_r1,C/D,C,D,15.715113874994374,13.497706016118173,14.110033668954214,True,True,177,177,8,8,True,True,True,True,0.0,57c3e436ed831d1b669582d03064796c6b0de5b6076cc5a0a748a176c9bc60a9,1bafbd7827254bf3070cd1bf5e84d6c1d93fc85a3daad85f0751444eb076b7ee,a1a07cc9dd5ed0597c15ce7e88c5ad66644e2ecedfc3bf3399c1423f96da1045,9cb9e8fee29b23cc72a329726def9e7fab980518c29002e56dd9ddd41a6216c6
w1_k08,master,2,w1_k08_master_r2,D/C,C,D,15.6951278905035,13.403050533340624,14.603750750892075,True,True,177,177,8,8,True,True,True,True,0.0,6518b16273ce11634963978a53c3de9e76810be9867af00487ac207b57493cfa,9e87d7827c828ff3560437837c954f7d88e0cf498bc8ab5af537ac361596de6a,aa40036384e846cbb84d545cd87896d659be7ab36024896140bddd69003f2b55,d79514154167e03460463e54af47d3247bf23f9b2c444dd896fec41f3c8ab940
w4_k10,index,1,w4_k10_index_r1,A/B,A,B,43.79311995721655,38.274815863157464,12.600847118109327,True,True,945,945,11,11,True,True,True,True,0.0,dc56b1d116707ac3222eeec0042ad1d8f09a06a536eb0aa059e83f5731025751,cdd7c00c9b06b9a3b422a6b2a9ada9c304bfd10128fe440dad36a94aa3e20020,f081a05ad0d1273030868fc57e25119eb5f73cbda9f3604dd7ac912fd627e80d,cac9edd35535e668bcacfedfa53058d7d550f45c2467fe15c2a74734a0a99bae
w4_k10,index,2,w4_k10_index_r2,B/A,A,B,43.789441153034566,37.84951092932606,13.564754578506133,True,True,945,945,11,11,True,True,True,True,0.0,2955102aa923ba6443acf9baa556a7d4a9329c69c49f9be06aff4eb39508ca90,01f8da2ae969b29ce519b1831387e26c6bb67176e177817cc12610a7808c561b,ed163662f7043b821b53e5c426537f916c1bef850dd841c45c612e8fbc527ceb,0a76ee57d3c944a697baec02fc3f32d495f709021ab3807c99ace6a16d65c52d
w4_k10,pool,1,w4_k10_pool_r1,B/C,B,C,32.64228691745084,11.573040831616769,64.54586389463502,True,True,945,222,11,10,True,True,False,False,2.561137080192566e-09,2bd43c01db698b53566f8cb076e5c1cc65abbdefd4ad6ee2519142db0a579d49,4f0acefbe7ace6ccacc20309ba1f38936859355bc0e1604eb4319d04d0335ce3,db1c2dab98b7591d9296ba698b2d2330377dba9aaace2e75f1e1519d20eddc33,bc87de890408ccace6a20814fe146d97cedfa0fe170633a212f59ccc8a6b4ab6
w4_k10,pool,2,w4_k10_pool_r2,C/B,B,C,32.32083220435307,11.618359946956238,64.05302971935407,True,True,945,222,11,10,True,True,False,False,2.561137080192566e-09,085b7fb0be07fda8f18ba4b1fa6323b4453a5fc6e3c3b765b76191ae37ee159a,53fd0ad9c5a984890950da0849b2fcd0af233607cc06bd5b5d62b9ca5501e5de,b49cf14b81bf6efbe99815f45a734b949d8f4b71af9097a6b2433599fb115c45,f2e4f76eecd4095747631275e70292a87ebba1c5156de57a174a807433f66a8a
w4_k10,master,1,w4_k10_master_r1,C/D,C,D,11.874055629541788,10.60459061912261,10.691081884952947,True,True,222,222,10,10,True,True,True,True,0.0,6a7ab990d8fac78ae0a0f47e9bf92a088d697883981aac84d0fc1345844c40cb,3745105c0c04d2aa75042b4ea6f93ca9bef9feeb99c1912da30527974d6ce361,4bca1f76d0d33a79ec08fe573b55e4664b020a04a15ff727e39a1daedd77c6aa,0390b4a42ab414217af9f28b08333d6d2be5f27802f15dd1cb71ea8aa0133280
w4_k10,master,2,w4_k10_master_r2,D/C,C,D,14.239516717311925,12.70737253096886,10.759804681294671,True,True,222,222,10,10,True,True,True,True,0.0,03b0d23ac39c728a101c87373a49bc26f385117259bad4ce1c2c18cb42f8bdb8,b07c4b895c005bd727d3333ce0c45f01e7d959fcabe737eb242d84bdc1fa828f,4cff98f1a3492d9658f3929be896c8729a78132d37a4d8d209205af6a5087dfc,b95ea43dc852d0624f965e02ece302cb2cfba196b36a4cdcb4403048c506a183
w3_k15,index,1,w3_k15_index_r1,A/B,A,B,55.84847594848834,48.927379129353604,12.392633284242871,True,True,891,891,17,17,False,False,True,True,0.0,0027db4de4ab9cd6f1fdff82f22d5f4a180173c813cde1920e721bafdfc95dc2,e1a99e26ebeedaa06ef1f167935ef0949af3ccb321f6b333241fdfc85ce83373,0cf471fa5d99f8305ba5ec0249e00fa36af6ae62f9b638892c7b6ec670c883c8,2c7e61c918592bc036dc4603986abe17fc93f79d4c7ef18f3e349231f42572d9
w3_k15,index,2,w3_k15_index_r2,B/A,A,B,56.4237507811049,47.49961446240389,15.816276293509912,True,True,891,891,17,17,False,False,True,True,0.0,b7eb99ffa3c743f57bd9496310dc647d4164f67db9a1a67fb0cb6a35b98a3412,3e15c9c24432e7a258661953df785f2ff608925c4633caacd781dc032ceb3997,9fc5e2f51abae6fec0531e8c77df973f1807abe1ec8a18e30d822ac1a2c24826,9dd36cb45f146beb658949c04c4cd8fde8c53d3eb2c763895e6b98b2ba0d2089
w3_k15,pool,1,w3_k15_pool_r1,B/C,B,C,48.09492640953201,28.558913881479143,40.61969522876948,True,True,891,280,17,15,False,True,False,False,3.7997961044311523e-07,a9ce7da184137da69de0b1e22535a4f11c07262a45a993eba0c795e38e9ab119,f15e1cfcf31ddb8ab8ddadf3e84af8e134a4ad87e531014af79bf8ef62f2659a,f6f91f30a88818067f15320a88f34839e317d8f8cf6b8e5f26a3dc6096d239a1,026635d9884fb658789bc48c6dd3980bafbb6a6211e7e5329a92e3a2cdf73fb4
w3_k15,pool,2,w3_k15_pool_r2,C/B,B,C,33.52719020945175,18.523904182428183,44.74960750750281,True,True,891,280,17,15,False,True,False,False,3.7997961044311523e-07,4f2dcdedbcc0db02ff26ccb42609abe31bd91f95fc6d6ce6a28e263d78fa14b9,9565e37215cb6917ae2c0ee4b27d284af44211d011691d9a4f367954960f871d,e012f7eb544155138e14d7c602301b0ba2146637929c685ead0d568d1e054e59,31fe9e42e7e9f48c0eba3ea85ce14a87701de85d7e57f86b1c665eb07007d301
w3_k15,master,1,w3_k15_master_r1,C/D,C,D,19.63904237294337,17.818626788580634,9.269370419357681,True,True,280,280,15,15,True,True,True,True,0.0,9c7c83941ed1ca18afb6da092840b705bd8ae1a3d6b5a4b4bfea894dff16ea4d,3dd595584df24663b0df8aa8ef8db2f4199cf54c841c8973cb67675847f6a400,bdc69f0b418c8add8d9374f0aa32a3c3f43c7fb0d236060e2761912beb40bcc1,b553cd705d99b029653437e2391f1e068a18ada8770b4f20d6e3b7ab260e8277
w3_k15,master,2,w3_k15_master_r2,D/C,C,D,19.785208986346454,17.85240068458564,9.768955703700799,True,True,280,280,15,15,True,True,True,True,0.0,48bbf22a4bb39a4f4575b4c44b2a21bca3fef475f1b9dbd8e660f76c6641e21c,680acabec71732dacd8803e5695072ad7ce2ed7067ce8a7ef73d32218ec5b652,7b98c2ea7f2cadadf7087bed3b3608240b3fe985259f3dd8740caadb3084f2f1,ee93fc90ed07a8eb24c32e6de5d91f285e1f4783a106c7f5c2e96759c5c965be
w1_k08,full_index,1,w1_k08_full_index_r1,E/C,E,C,120.02597898579357,11.085767526567603,,False,True,0,177,,8,,True,False,False,,534df4d78cf958d9b60d858ac6fc0a0633fd0ec0c601a2fa918ba0b361358c07,3d5893315cb4b16e9f054a8919c013bfec997c532d2756fe9e151912e788a2dc,,8e5897d4ef99c8bad159f4403d09bcab2d8b90c339f8f6552f815daa9ae11263
w1_k08,full_index,2,w1_k08_full_index_r2,C/E,E,C,120.02692673079825,10.780511955327045,,False,True,0,177,,8,,True,False,False,,f2f264b5bfa6cb9f00b0bea209d4b795ddb6de97f168bd1041f5b59993956e1f,61e976e2afa5a2d2e3b056c8506e5a35f23a8622b0a4a47d74966fceafc8f6ca,,a6383eaea6019e04436ab2adab1f80bcc1e3c99b6b31684ab1f5d0a0a48ad78c
w3_k15,full_index,1,w3_k15_full_index_r1,E/C,E,C,120.01948711109192,20.789862597594038,,False,True,0,280,,15,,True,False,False,,f97dd7c25884bd1b817898001c50ca2bbf409fa1d19944403d25418553cf4769,5d5d85415298b805e4d4c66de7369e02b7b26092114cd517e9a49197004b60aa,,1cfbf8853ebe344c389532ce67d308a33a52ef121dd287de7407a638f3d269ce
w3_k15,full_index,2,w3_k15_full_index_r2,C/E,E,C,120.01677623551805,19.901662303786726,,False,True,0,280,,15,,True,False,False,,7879cd8bda60939f50284a33ab378940ca8b5aba011af53790571330e425751f,943a09849bfd25300da8ac6a87a32e284c4339399b690cebda0f127372245272,,c9f5cec68cd18ea4728006ee94c4ce77b578aa299ef0fea84dfbbc18d999b034
w4_k10,full_index,1,w4_k10_full_index_r1,E/C,E,C,120.02307702607165,9.97187776841068,,False,True,0,222,,10,,True,False,False,,6d15518bc4b178c6b781de28d8ac9429643ba0f625e68f90ef1d045f685f2828,f694a220d1bad9bb49af8222c182d22d956e672e3f725c97fbeb43bd22cde944,,33c616f9e7253965f5c4ac883d8ebeadd33f7f46e2fefbba6f35fbfdf4708618
w4_k10,full_index,2,w4_k10_full_index_r2,C/E,E,C,120.02125615420519,9.093618489553531,,False,True,0,222,,10,,True,False,False,,4b9c4d2af4b7d56396d981a031bdbca14f0613d28b2d468bbc78396853c75e87,89a18e0567ad7a3570b56954a56bdb64a48b031507ec98a48fbe15c421ced4ec,,881040143d5e482aae30af385bba02d931c161e6a177bd76b12f86448b2f3f2c
