station,minute,compressed_row
2190L,341,0
2190L,342,0
2190L,343,0
2190L,344,0
2190L,345,0
2190L,346,0
2190L,347,0
2190L,348,0
2190L,349,0
2190L,350,0
2190L,351,0
2190L,352,0
2190L,353,0
2190L,354,0
2190L,355,0
2190L,356,0
2190L,357,0
2190L,358,0
2190L,359,0
2190L,360,0
2190L,361,0
2190L,362,0
2190L,363,0
2190L,364,0
2190L,365,0
2190L,366,0
2190L,367,0
2190L,368,0
2190L,369,0
2190L,370,0
2190L,371,0
2190L,372,0
2190L,373,0
2190L,374,0
2190L,375,0
2190L,376,1
2190L,377,1
2190L,378,1
2190L,379,1
2190L,380,1
2190L,381,1
2190L,382,1
2190L,383,1
2190L,384,1
2190L,385,1
2190L,386,1
2190L,387,2
2190L,388,2
2190L,389,2
2190L,390,2
2190L,391,2
2190L,392,2
2190L,393,2
2190L,394,2
2190L,395,2
2190L,396,2
2190L,397,2
2190L,398,3
2190L,399,3
2190L,400,3
2190L,401,3
2190L,402,3
2190L,403,3
2190L,404,3
2190L,405,3
2190L,406,4
2190L,407,4
2190L,408,5
2190L,409,6
2190L,410,6
2190L,411,6
2190L,412,6
2190L,413,6
2190L,414,6
2190L,415,6
2190L,416,6
2190L,417,6
2190L,418,6
2190L,419,6
2190L,420,6
2190L,421,6
2190L,422,6
2190L,423,6
2190L,424,6
2190L,425,6
2190L,426,6
2190L,427,6
2190L,428,6
2190L,429,6
2190L,430,6
2190L,431,6
2190L,432,6
2190L,433,6
2190L,434,6
2190L,435,6
2190L,436,6
2190L,437,6
2190L,438,6
2190L,439,6
2190L,440,6
2190L,441,6
2190L,442,6
2190L,443,6
2190L,444,6
2190L,445,6
2190L,446,6
2190L,447,6
2190L,448,6
2190L,449,6
2190L,450,6
2190L,451,6
2190L,452,6
2190L,453,6
2190L,454,6
2190L,455,6
2190L,456,6
2190L,457,6
2190L,458,6
2190L,459,6
2190L,460,6
2190L,461,6
2190L,462,6
2190L,463,6
2190L,464,6
2190L,465,6
2190L,466,6
2190L,467,6
2190L,468,6
2190L,469,7
2190L,470,7
2190L,471,7
2190L,472,7
2190L,473,7
2190L,474,7
2190L,475,7
2190L,476,7
2190L,477,8
2190L,478,8
2190L,479,8
2190L,480,9
2190L,481,9
2190L,482,9
2190L,483,9
2190L,484,9
2190L,485,9
2190L,486,9
2190L,487,10
2190L,488,10
2190L,489,11
2190L,490,11
2190L,491,12
2190L,492,12
2190L,493,12
2190L,494,12
2190L,495,12
2190L,496,12
2190L,497,12
2190L,498,13
2190L,499,13
2190L,500,13
2190L,501,13
2190L,502,13
2190L,503,13
2190L,504,13
2190L,505,13
2190L,506,13
2190L,507,13
2190L,508,14
2190L,509,14
2190L,510,14
2190L,511,14
2190L,512,15
2190L,513,15
2190L,514,15
2190L,515,15
2190L,516,16
2190L,517,16
2190L,518,16
2190L,519,16
2190L,520,16
2190L,521,16
2190L,522,17
2190L,523,17
2190L,524,17
2190L,525,17
2190L,526,17
2190L,527,17
2190L,528,17
2190L,529,17
2190L,530,17
2190L,531,17
2190L,532,18
2190L,533,18
2190L,534,18
2190L,535,18
2190L,536,18
2190L,537,18
2190L,538,18
2190L,539,19
2190L,540,19
2190L,541,19
2190L,542,20
2190L,543,20
2190L,544,20
2190L,545,20
2190L,546,20
2190L,547,20
2190L,548,21
2190L,549,21
2190L,550,21
2190L,551,22
2190L,552,23
2190L,553,23
2190L,554,24
2190L,555,24
2190L,556,25
2190L,557,26
2190L,558,27
2190L,559,28
2190L,560,28
2190L,561,29
2190L,562,30
2190L,563,30
2190L,564,30
2190L,565,30
2190L,566,30
2190L,567,30
2190L,568,30
2190L,569,30
2190L,570,30
2190L,571,30
2190L,572,30
2190L,573,30
2190L,574,30
2190L,575,30
2190L,576,30
2190L,577,30
2190L,578,30
2190L,579,30
2190L,580,31
2190L,581,31
2190L,582,31
2190L,583,31
2190L,584,31
2190L,585,31
2190L,586,31
2190L,587,31
2190L,588,31
2190L,589,31
2190L,590,31
2190L,591,31
2190L,592,31
2190L,593,31
2190L,594,32
2190L,595,32
2190L,596,33
2190L,597,34
2190L,598,34
2190L,599,34
2190L,600,34
2190L,601,34
2190L,602,35
2190L,603,35
2190L,604,35
2190L,605,35
2190L,606,35
2190L,607,35
2190L,608,35
2190L,609,35
2190L,610,35
2190L,611,35
2190L,612,35
2190L,613,35
2190L,614,35
2190L,615,35
2190L,616,35
2190L,617,35
2190L,618,35
2190L,619,36
2190L,620,36
2190L,621,36
2190L,622,37
2190L,623,37
2190L,624,38
2190L,625,38
2190L,626,38
2190L,627,38
2190L,628,38
2190L,629,38
2190L,630,38
2190L,631,39
2190L,632,39
2190L,633,40
2190L,634,40
2190L,635,40
2190L,636,41
2190L,637,41
2190L,638,41
2190L,639,41
2190L,640,42
2190L,641,42
2190L,642,42
2190L,643,42
2190L,644,42
2190L,645,42
2190L,646,42
2190L,647,43
2190L,648,44
2190L,649,44
2190L,650,44
2190L,651,44
2190L,652,44
2190L,653,44
2190L,654,45
2190L,655,45
2190L,656,45
2190L,657,45
2190L,658,45
2190L,659,46
2190L,660,46
2190L,661,46
2190L,662,46
2190L,663,46
2190L,664,46
2190L,665,46
2190L,666,46
2190L,667,46
2190L,668,46
2190L,669,47
2190L,670,47
2190L,671,47
2190L,672,47
2190L,673,47
2190L,674,47
2190L,675,47
2190L,676,47
2190L,677,47
2190L,678,47
2190L,679,48
2190L,680,48
2190L,681,48
2190L,682,49
2190L,683,49
2190L,684,49
2190L,685,50
2190L,686,51
2190L,687,52
2190L,688,53
2190L,689,53
2190L,690,53
2190L,691,54
2190L,692,54
2190L,693,54
2190L,694,54
2190L,695,54
2190L,696,54
2190L,697,54
2190L,698,54
2190L,699,55
2190L,700,55
2190L,701,55
2190L,702,56
2190L,703,56
2190L,704,56
2190L,705,56
2190L,706,56
2190L,707,56
2190L,708,56
2190L,709,57
2190L,710,57
2190L,711,57
2190L,712,58
2190L,713,58
2190L,714,58
2190L,715,58
2190L,716,58
2190L,717,58
2190L,718,58
2190L,719,59
2190L,720,59
2190L,721,59
2190L,722,59
2190L,723,59
2190L,724,59
2190L,725,59
2190L,726,59
2190L,727,59
2190L,728,59
2190L,729,59
2190L,730,59
2190L,731,59
2190L,732,59
2190L,733,59
2190L,734,60
2190L,735,60
2190L,736,60
2190L,737,60
2190L,738,60
2190L,739,60
2190L,740,60
2190L,741,60
2190L,742,60
2190L,743,60
2190L,744,60
2190L,745,60
2190L,746,60
2190L,747,60
2190L,748,61
2190L,749,62
2190L,750,62
2190L,751,63
2190L,752,64
2190L,753,64
2190L,754,64
2190L,755,64
2190L,756,64
2190L,757,64
2190L,758,64
2190L,759,65
2190L,760,65
2190L,761,65
2190L,762,65
2190L,763,65
2190L,764,65
2190L,765,65
2190L,766,65
2190L,767,65
2190L,768,65
2190L,769,65
2190L,770,65
2190L,771,65
2190L,772,65
2190L,773,65
2190L,774,65
2190L,775,65
2190L,776,65
2190L,777,65
2190L,778,66
2190L,779,67
2190L,780,67
2190L,781,67
2190L,782,68
2190L,783,68
2190L,784,68
2190L,785,69
2190L,786,70
2190L,787,71
2190L,788,71
2190L,789,72
2190L,790,73
2190L,791,73
2190L,792,73
2190L,793,73
2190L,794,73
2190L,795,73
2190L,796,73
2190L,797,73
2190L,798,73
2190L,799,73
2190L,800,74
2190L,801,74
2190L,802,74
2190L,803,74
2190L,804,74
2190L,805,74
2190L,806,74
2190L,807,74
2190L,808,74
2190L,809,75
2190L,810,75
2190L,811,75
2190L,812,75
2190L,813,75
2190L,814,75
2190L,815,76
2190L,816,76
2190L,817,76
2190L,818,77
2190L,819,78
2190L,820,79
2190L,821,80
2190L,822,80
2190L,823,80
2190L,824,81
2190L,825,82
2190L,826,82
2190L,827,82
2190L,828,82
2190L,829,82
2190L,830,83
2190L,831,83
2190L,832,84
2190L,833,85
2190L,834,85
2190L,835,85
2190L,836,86
2190L,837,86
2190L,838,86
2190L,839,86
2190L,840,87
2190L,841,87
2190L,842,87
2190L,843,87
2190L,844,88
2190L,845,88
2190L,846,88
2190L,847,88
2190L,848,88
2190L,849,88
2190L,850,89
2190L,851,89
2190L,852,89
2190L,853,89
2190L,854,89
2190L,855,89
2190L,856,90
2190L,857,90
2190L,858,90
2190L,859,90
2190L,860,90
2190L,861,91
2190L,862,91
2190L,863,91
2190L,864,91
2190L,865,91
2190L,866,92
2190L,867,92
2190L,868,92
2190L,869,92
2190L,870,92
2190L,871,92
2190L,872,92
2190L,873,92
2190L,874,92
2190L,875,92
2190L,876,92
2190L,877,92
2190L,881,93
2190L,882,93
2190L,883,93
2190L,884,93
2190L,885,93
2190L,886,93
2190L,887,93
2190L,888,93
2190L,889,93
2190L,890,93
2190L,891,93
2190L,892,93
2190L,893,93
2190L,894,93
2190L,895,93
2190L,896,93
2190L,897,93
2190L,898,93
2190L,899,93
2190L,900,93
2190L,901,93
2190L,902,93
2190L,903,93
2190L,904,93
2190L,905,93
2190L,906,93
2190L,907,93
2190L,908,93
2190L,909,93
2190L,910,93
2190L,911,93
2190L,912,93
2190L,913,93
2190L,914,93
2190L,915,93
2190L,916,93
2190L,917,93
2190L,918,93
2190L,919,94
2190L,920,94
2190L,921,95
2190L,922,96
2190L,923,96
2190L,924,96
2190L,925,96
2190L,926,96
2190L,927,96
2190L,928,96
2190L,929,97
2190L,930,97
2190L,931,97
2190L,932,97
2190L,933,97
2190L,934,97
2190L,935,97
2190L,936,97
2190L,937,97
2190L,938,97
2190L,939,97
2190L,940,97
2190L,941,97
2190L,942,97
2190L,943,97
2190L,944,97
2190L,945,97
2190L,946,97
2190L,947,97
2190L,948,97
2190L,949,97
2190L,950,97
2190L,951,97
2190L,952,97
2190L,953,97
