route_index,trips,trip_count,original_cost,fleet_objective_coefficient,charging_sessions,profile,charge_policy
0,0,1,1.0,1,0,18E1,early_disconnect
1,1,1,1.0,1,0,18E1,early_disconnect
2,2,1,1.0,1,0,18E1,early_disconnect
3,3,1,1.0,1,0,18E1,early_disconnect
4,4,1,1.0,1,0,18E1,early_disconnect
5,5,1,1.0,1,0,18E1,early_disconnect
6,6,1,1.0,1,0,18E1,early_disconnect
7,7,1,1.0,1,0,18E1,early_disconnect
8,8,1,1.0,1,0,18E1,early_disconnect
9,9,1,1.0,1,0,18E1,early_disconnect
10,10,1,1.0,1,0,18E1,early_disconnect
11,11,1,1.0,1,0,18E1,early_disconnect
12,12,1,1.0,1,0,18E1,early_disconnect
13,13,1,1.0,1,0,18E1,early_disconnect
14,14,1,1.0,1,0,18E1,early_disconnect
15,15,1,1.0,1,0,18E1,early_disconnect
16,16,1,1.0,1,0,18E1,early_disconnect
17,17,1,1.0,1,0,18E1,early_disconnect
18,18,1,1.0,1,0,18E1,early_disconnect
19,19,1,1.0,1,0,18E1,early_disconnect
20,20,1,1.0,1,0,18E1,early_disconnect
21,21,1,1.0,1,0,18E1,early_disconnect
22,22,1,1.0,1,0,18E1,early_disconnect
23,23,1,1.0,1,0,18E1,early_disconnect
24,24,1,1.0,1,0,18E1,early_disconnect
25,25,1,1.0,1,0,18E1,early_disconnect
26,26,1,1.0,1,0,18E1,early_disconnect
27,27,1,1.0,1,0,18E1,early_disconnect
28,28,1,1.0,1,0,18E1,early_disconnect
29,29,1,1.0,1,0,18E1,early_disconnect
30,30,1,1.0,1,0,18E1,early_disconnect
31,31,1,1.0,1,0,18E1,early_disconnect
32,32,1,1.0,1,0,18E1,early_disconnect
33,33,1,1.0,1,0,18E1,early_disconnect
34,34,1,1.0,1,0,18E1,early_disconnect
35,0;1;3;6;9;12;15;18;20;22;25;28;31;33;34,15,1.0,1,15,18E1,
36,0;1;3;6;9;12;15;18;20;22;25;28;31;33;34,15,1.0,1,14,18E1,early_disconnect
37,0;1;3;6;9;12;15;18;20;22;25;28;31;33,14,1.0,1,13,18E1,
38,0;1;3;6;9;12;15;18;20;22;25;28;31;33,14,1.0,1,13,18E1,early_disconnect
39,2;4;7;11;14;17;19;21;24;27;30;33;34,13,1.0,1,13,18E1,
40,2;4;7;11;14;17;19;21;24;27;30;33;34,13,1.0,1,12,18E1,early_disconnect
41,0;1;3;7;9;12;15;18;20;22;26;29;32,13,1.0,1,12,18E1,
42,0;1;3;7;9;12;15;18;20;22;26;29;32,13,1.0,1,12,18E1,early_disconnect
43,0;2;3;6;9;12;15;18;21;24;27;30,12,1.0,1,11,18E1,
44,0;2;3;6;9;12;15;18;21;24;27;30,12,1.0,1,11,18E1,early_disconnect
45,0;1;5;8;10;13;16;20;22;25;28;31;33;34,14,1.0,1,14,18E1,
46,0;1;5;8;10;13;16;20;22;25;28;31;33;34,14,1.0,1,13,18E1,early_disconnect
47,2;3;6;9;12;15;18;20;22;25;28;31,12,1.0,1,11,18E1,
48,2;3;6;9;12;15;18;20;22;25;28;31,12,1.0,1,11,18E1,early_disconnect
49,1;3;6;9;12;15;18;21;24;27;30,11,1.0,1,9,18E1,
50,1;3;6;9;12;15;18;21;24;27;30,11,1.0,1,10,18E1,early_disconnect
51,0;2;5;8;10;14;17;19;23;26;29;32,12,1.0,1,11,18E1,
52,0;2;5;8;10;14;17;19;23;26;29;32,12,1.0,1,10,18E1,early_disconnect
53,0;4;7;11;14;17;19;21;26;29;32,11,1.0,1,9,18E1,
54,0;4;7;11;14;17;19;21;26;29;32,11,1.0,1,10,18E1,early_disconnect
55,0;3;7;9;13;16;23;26;29;32;34,11,1.0,1,10,18E1,
56,0;3;7;9;13;16;23;26;29;32;34,11,1.0,1,10,18E1,early_disconnect
57,0;4;7;12;15;18;20;24;27;30,10,1.0,1,10,18E1,
58,0;4;7;12;15;18;20;24;27;30,10,1.0,1,9,18E1,early_disconnect
59,0;4;11;16;23;26;29;32,8,1.0,1,8,18E1,
60,0;4;11;16;23;26;29;32,8,1.0,1,7,18E1,early_disconnect
61,2;4;7;11;14;17;19;23;26;29;32,11,1.0,1,9,18E1,
62,2;4;7;11;14;17;19;23;26;29;32,11,1.0,1,10,18E1,early_disconnect
63,3;6;9;14;17;19;24;27;30;33,10,1.0,1,9,18E1,
64,3;6;9;14;17;19;24;27;30;33,10,1.0,1,9,18E1,early_disconnect
65,2;5;8;11;14;23,6,1.0,1,5,18E1,
66,2;5;8;11;14;23,6,1.0,1,4,18E1,early_disconnect
67,0;5;10;13;23;26;31;34,8,1.0,1,8,18E1,
68,0;5;10;13;23;26;31;34,8,1.0,1,7,18E1,early_disconnect
69,3;6;10;13;23;29;32;34,8,1.0,1,6,18E1,
70,3;6;10;13;23;29;32;34,8,1.0,1,6,18E1,early_disconnect
71,0;6;10;13;16;22;25;30;33;34,10,1.0,1,9,18E1,
72,0;6;10;13;16;22;25;30;33;34,10,1.0,1,8,18E1,early_disconnect
73,0;6;11;15;18;23;27,7,1.0,1,6,18E1,
74,0;6;11;15;18;23;27,7,1.0,1,6,18E1,early_disconnect
75,0;9;12;17;21;25;28;33,8,1.0,1,7,18E1,
76,0;9;12;17;21;25;28;33,8,1.0,1,7,18E1,early_disconnect
77,0;5;12;17;19;23;28;32;34,9,1.0,1,7,18E1,
78,0;5;12;17;19;23;28;32;34,9,1.0,1,8,18E1,early_disconnect
79,2;9;13;18;21;24;28,7,1.0,1,6,18E1,
80,2;9;13;18;21;24;28,7,1.0,1,6,18E1,early_disconnect
81,0;5;8;12;15;19;21;24;29,9,1.0,1,7,18E1,
82,0;5;8;12;15;19;21;24;29,9,1.0,1,8,18E1,early_disconnect
83,0;6;9;12;17;23;26;31,8,1.0,1,5,18E1,
84,0;6;9;12;17;23;26;31,8,1.0,1,7,18E1,early_disconnect
85,3;7;11;17;19;22;25;28;31;34,10,1.0,1,8,18E1,
86,3;7;11;17;19;22;25;28;31;34,10,1.0,1,9,18E1,early_disconnect
87,3;8;12;15;18;21;25;30,8,1.0,1,6,18E1,
88,3;8;12;15;18;21;25;30,8,1.0,1,7,18E1,early_disconnect
89,2;4;7;9;13;19;22;25;30,9,1.0,1,6,18E1,
90,2;4;7;9;13;19;22;25;30,9,1.0,1,8,18E1,early_disconnect
91,2;3;7;11;15;22;26;30,8,1.0,1,6,18E1,
92,2;3;7;11;15;22;26;30,8,1.0,1,7,18E1,early_disconnect
93,4;7;11;14;18;21;24;27;32,9,1.0,1,7,18E1,
94,4;7;11;14;18;21;24;27;32,9,1.0,1,8,18E1,early_disconnect
95,2;3;8;12;15;19;23;28;31;33,10,1.0,1,7,18E1,
96,2;3;8;12;15;19;23;28;31;33,10,1.0,1,9,18E1,early_disconnect
97,2;5;11;14;17;23;26;29,8,1.0,1,6,18E1,
98,2;5;11;14;17;23;26;29,8,1.0,1,6,18E1,early_disconnect
99,0;5;8;10;15;19;21;24;28,9,1.0,1,6,18E1,
100,0;5;8;10;15;19;21;24;28,9,1.0,1,8,18E1,early_disconnect
101,4;7;9;12;18;23;28;31,8,1.0,1,7,18E1,
102,4;7;9;12;18;23;28;31,8,1.0,1,7,18E1,early_disconnect
103,2;3;8;11;17;19;24;29;32,9,1.0,1,7,18E1,
104,2;3;8;11;17;19;24;29;32,9,1.0,1,8,18E1,early_disconnect
105,0;6;11;14;17;19;23;26;30,9,1.0,1,7,18E1,
106,0;6;11;14;17;19;23;26;30,9,1.0,1,8,18E1,early_disconnect
107,2;4;9;12;15;23;29;32,8,1.0,1,7,18E1,
108,2;4;9;12;15;23;29;32,8,1.0,1,7,18E1,early_disconnect
109,2;4;7;11;17;19;22;25;28;32;34,11,1.0,1,8,18E1,
