actual_optimize_wall_s,arm,artifact_loading_s,attempt,bound,case,columns,dominance_complete,finite_pool_fleet_proven,first_target_time_s,fleet,gurobi_status,identical_incidence_count,kind,matrix_file_sha256,matrix_identity_sha256,matrix_metadata_sha256,model_build_wall_s,nonzeros,optimizer_run,preparation_s,reason,redundant_row_count,rows,safe_dominated_column_count,start_buses,status,strong_start_available,target_attained
849.5876704500988,focus2,226.40261166496202,/home/nc437/ladder-lite/mip_structure_20260922/results/c1_k08_fresh/focus2/729442_r0,9.0,c1_k08_fresh,,,True,,9,2,,trial,,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac,,0.6279193740338087,,,,,,,,63,,,False
,,,/home/nc437/ladder-lite/mip_structure_20260922/results/c1_k08_fresh/prepare/729439_r0,,c1_k08_fresh,39940,True,,,,,0,prepare,3c135607536f01891e6af7a546567cf7939733da80f8fbb8f5effacf94fe27e5,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac,d8b2e1ba899f665a2012d7453dd90e747b29522fbdf4e77ba3e6547dc236e822,,1092654,,59.758112092036754,,0,194,2575,,,True,
984.827792389784,presparsify1,224.65707482071593,/home/nc437/ladder-lite/mip_structure_20260922/results/c1_k08_fresh/presparsify1/729443_r0,9.0,c1_k08_fresh,,,True,,9,2,,trial,,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac,,0.6239730636589229,,,,,,,,63,,,False
,,,/home/nc437/ladder-lite/mip_structure_20260922/results/c1_k15_fresh/prepare/729451_r0,,c1_k15_fresh,79611,True,,,,,0,prepare,eabb03bef450435021023d3c778ec35909d197b9065b757f86d5a2fea779b239,ccb4a6b55eaca7624eb1f70ed5a97005f612c4ed130a0068401ac7effe750b3d,68a6f618fca2663a83a17fb7601c93bc8ab2589f33275afaa176868bddbb30d3,,2322459,,75.8903876747936,,0,364,1298,,,True,
104.16801027674228,default,1.4077758421190083,/home/nc437/ladder-lite/mip_structure_20260922/results/c1_k15_sequential/default/730247_r0,15.0,c1_k15_sequential,,,True,104.11170983314514,15,2,,trial,,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,,3.846947479993105,,,,,,,,87,,,True
105.08831007219851,focus1,1.3530922001227736,/home/nc437/ladder-lite/mip_structure_20260922/results/c1_k15_sequential/focus1/730248_r0,15.0,c1_k15_sequential,,,True,105.03446412086487,15,2,,trial,,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,,3.649253913667053,,,,,,,,87,,,True
80.75172843690962,focus2,1.346311328932643,/home/nc437/ladder-lite/mip_structure_20260922/results/c1_k15_sequential/focus2/730249_r0,14.999999999999998,c1_k15_sequential,,,True,80.68918299674988,15,2,,trial,,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,,3.548326290678233,,,,,,,,87,,,True
,,,/home/nc437/ladder-lite/mip_structure_20260922/results/c1_k15_sequential/prepare/729463_r0,,c1_k15_sequential,130468,True,,,,,0,prepare,df9d83811091aabcd560bd8706f880885bd3ee79546996aea1ca97db561866fc,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,6385ac675bcd3e2b9b94544a478ee3ed951495f77dcec14a6dc3c677711dc646,,3541122,,105.6821770099923,,0,364,1442,,,True,
11.149610604159534,strong_start,1.361515725031495,/home/nc437/ladder-lite/mip_structure_20260922/results/c1_k15_sequential/strong_start/730251_r0,15.0,c1_k15_sequential,,,True,0.053175926208496094,15,2,,trial,,f7d0a404c3081edb304dee1d60856947c1751237c0559ba68bfad555f722d8a4,,4.104151820298284,,,,,,,,15,,,True
,,,/home/nc437/ladder-lite/mip_structure_20260922/results/c3_k15_fresh/prepare/730241_r0,,c3_k15_fresh,38130,True,,,,,0,prepare,29f4de5d7533f14cdf68699baf2384bf027e64a1903535f77e979229f70de215,d6e8a3cdbadb3e0ded791b855d5a2bd4c7e594e46d7e7087805b6b44f76f0ba8,f2a70be3e50283ca5d7f4430c53bd28a68a5a6666c54dba437cc7b6d6a46dedb,,896915,,44.33620904199779,,0,302,997,,,True,
