case,arm,fleet,bound,finite_pool_fleet_proven,target,target_attained,gurobi_status,actual_optimize_wall_s,gurobi_runtime_s,artifact_loading_s,model_build_wall_s,start_buses,first_target_time_s,matrix_identity_sha256,host,job_id,status,relative_gap,work_units,log_explored_seconds,runtime_minus_log_explored_seconds,code_commit,start_kind,offline_acquisition_time_included,preparation_time_included,model_rows,model_columns,model_nonzeros,result_sha256,log_sha256,source_result,source_log,optimizer_runtime_ratio_to_default,fleet_difference_from_default
c1_k08_fresh,default,9,9.0,True,8,False,2,1232.9922347809188,1232.991856098175,346.2560620130971,1.084925090894103,63,,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac,jingjie-cpu-10.mae.cornell.edu,729440,OPTIMAL,0.0,2773.96,1232.99,0.0018560981750397332,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,194,39940,1092654,1e8884a2429c2d9ff72d1c5a3f660746888649bb4f9943f9f1d20fe1a17e76c7,c9622ad5a473821f4b33104fd152e39726d6aa8ccaf7f392075596fbc4a61b90,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/default/729440_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/default/729440_r0/gurobi.log,1.0,0
c1_k08_fresh,focus1,9,9.0,True,8,False,2,1472.5399426692165,1472.539551973343,341.15046046534553,1.1184686780907214,63,,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac,kim-cpu-05.physics.cornell.edu,729441,OPTIMAL,0.0,2883.44,1472.54,-0.0004480266570681124,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,194,39940,1092654,8f75492617cc80613c3cd5b073addf8ee71f60c09a63294816a98b209c11c73e,8f7d9555ab39a18ed2ebad3f46019e7e38b503afe17f1003e98eae06244b89aa,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/focus1/729441_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/focus1/729441_r0/gurobi.log,1.1942816030231214,0
c1_k08_fresh,focus2,9,9.0,True,8,False,2,849.5876704500988,849.587418794632,226.40261166496202,0.6279193740338087,63,,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac,scaglione-cpu-02.tech.cornell.edu,729442,OPTIMAL,0.0,2398.02,849.58,0.0074187946319170806,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,194,39940,1092654,cb80870da94216bbcdfcd29376d24f0593cf5c17e3e961eecea7468c8f33360c,8bc3c265d620e89782ad3640cd24f9e72db9a7f1c4408637cb6054992a7f7dd0,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/focus2/729442_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/focus2/729442_r0/gurobi.log,0.6890454347435981,0
c1_k08_fresh,presparsify1,9,9.0,True,8,False,2,984.827792389784,984.8275420665741,224.65707482071593,0.6239730636589229,63,,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac,scaglione-cpu-02.tech.cornell.edu,729443,OPTIMAL,0.0,2898.27,984.82,0.0075420665740466575,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,194,39940,1092654,3aa2af5a7d21017b433f98726262c7f1aaa41ca12695ce451f32a4691ec4e3a4,8a692bc40417a9bba6e54f49b9390cb4cb4f2252172cf840fd946706af7cd9c8,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/presparsify1/729443_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/presparsify1/729443_r0/gurobi.log,0.7987299227109655,0
c1_k08_fresh,strong_start,9,9.0,True,8,False,2,1388.3071512090974,1388.3050549030304,335.9687898149714,1.0380265209823847,9,,63cebd926aa1af7da2b04b0339201ef71452ac588b6d95761430050fdd85cdac,jingjie-cpu-05.mae.cornell.edu,729444,OPTIMAL,0.0,2938.85,1388.3,0.0050549030304409825,94eabb25b5f1da9b24708320eaaec15a760c5f0e,offline saved original stage1 incumbent,False,False,194,39940,1092654,e79fd295baf8676485ee2889d2fc99fcbbd87bfce5fa532301317f36861b91ea,e8cb054ecb02df0ffbc98454d2dd3becf017c3f1addfec8a1e6beefbd6e5bf17,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/strong_start/729444_r1/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k08_fresh/strong_start/729444_r1/gurobi.log,1.1259658512413708,0
c1_k15_fresh,default,18,15.000000000000048,False,15,False,9,1800.0723960772157,1800.072098016739,899.4025890380144,1.211820931173861,129,,ccb4a6b55eaca7624eb1f70ed5a97005f612c4ed130a0068401ac7effe750b3d,lisbeth.tech.cornell.edu,729452,TIME_LIMIT,0.166666666666664,4773.48,1800.07,0.002098016738955266,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,364,79611,2322459,5f440716c76256b03799186cc2d1ded81902fe204ae2a313b06d46f86d6a242b,7fd615c828aaf090734a33e678ce2fbbc13e7e1d0ed42b4a5fa5826824726934,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/default/729452_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/default/729452_r0/gurobi.log,1.0,0
c1_k15_fresh,focus1,18,15.000000000000046,False,15,False,9,1800.125896425452,1800.12553191185,949.7312829340808,1.7171432529576123,129,,ccb4a6b55eaca7624eb1f70ed5a97005f612c4ed130a0068401ac7effe750b3d,lisbeth.tech.cornell.edu,729453,TIME_LIMIT,0.1666666666666641,4584.09,1800.08,0.045531911850048346,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,364,79611,2322459,5cad950c16fbc809ddbb7e6668885d9e41070edda13fa610550ef02a142f1330,391b6c7d4c02532af0d45fcee8f9b9b038fc316e9fe9b33779475f1d1daf6d06,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/focus1/729453_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/focus1/729453_r0/gurobi.log,1.0000297212202982,0
c1_k15_fresh,focus2,18,15.000000000000025,False,15,False,9,1800.3566821892746,1800.356241941452,940.5321915382519,1.7636043638922274,129,,ccb4a6b55eaca7624eb1f70ed5a97005f612c4ed130a0068401ac7effe750b3d,lisbeth.tech.cornell.edu,729454,TIME_LIMIT,0.1666666666666653,3824.64,1800.08,0.2762419414520991,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,364,79611,2322459,fb9c5328382c5a16e7bee2ce272c2d9053e3050e280f1af123f246f80aee27bd,4877c2fc5ced70e8d64de6850e17f6134e945b801519cae2431b7cda7e02e94c,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/focus2/729454_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/focus2/729454_r0/gurobi.log,1.000157930376955,0
c1_k15_fresh,presparsify1,19,15.000000000000215,False,15,False,9,1800.0653831702657,1800.0650780200958,1001.0028541530482,2.0774417449720204,129,,ccb4a6b55eaca7624eb1f70ed5a97005f612c4ed130a0068401ac7effe750b3d,lisbeth.tech.cornell.edu,729455,TIME_LIMIT,0.21052631578946238,3732.97,1800.06,0.005078020095879765,94eabb25b5f1da9b24708320eaaec15a760c5f0e,original deterministic greedy partition,False,False,364,79611,2322459,5566cfe26edaee0478a80a4e754d8441c3e0eff27d0dd248235610f3996ef79d,6c1152c87ed546edec63a87d8ba2849760e949427002b26265819a2fe275b244,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/presparsify1/729455_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/presparsify1/729455_r0/gurobi.log,0.9999961040972767,1
c1_k15_fresh,strong_start,18,15.000000000000048,False,15,False,9,1800.0863699461333,1800.0859899520874,889.9740354907699,1.2581296591088176,18,,ccb4a6b55eaca7624eb1f70ed5a97005f612c4ed130a0068401ac7effe750b3d,lisbeth.tech.cornell.edu,729456,TIME_LIMIT,0.166666666666664,4458.46,1800.07,0.01598995208746601,94eabb25b5f1da9b24708320eaaec15a760c5f0e,offline saved original stage1 incumbent,False,False,364,79611,2322459,1e8562585e6709566137c8b365704de17ee71133c568bd3763eac63f55542ef0,28a8810282850d9d6c2e6a44dc0af211bb40200c141d25b67014496f00c53f5f,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/strong_start/729456_r0/result.json,/Users/nadan/Documents/projects/demandresponse/outputs/research_management_20260922/mip_structure/collections/20260922T075615Z/results/c1_k15_fresh/strong_start/729456_r0/gurobi.log,1.0000077629482838,0
