job,name,state,elapsed,MaxRSS,ReqMem,exit,node,start_local,end_local,cpus
661616_0,drX_graphs,COMPLETED,12:01:24,,96G,0:0,garg-cpu-01,2026-09-21T14:39:41,2026-09-22T02:41:05,2
661616_1,drX_graphs,COMPLETED,16:53:05,,96G,0:0,kim-cpu-02,2026-09-21T14:39:41,2026-09-22T07:32:46,2
661616_2,drX_graphs,COMPLETED,15:17:12,,96G,0:0,sablab-cpu-01,2026-09-21T14:39:41,2026-09-22T05:56:53,2
661616_3,drX_graphs,COMPLETED,19:42:23,,96G,0:0,kim-cpu-05,2026-09-21T14:40:41,2026-09-22T10:23:04,2
661616_4,drX_graphs,COMPLETED,11:59:08,,96G,0:0,petro-cpu-01,2026-09-21T14:40:41,2026-09-22T02:39:49,2
661616_5,drX_graphs,COMPLETED,16:11:20,,96G,0:0,cliprelabs-cpu-01,2026-09-21T14:41:41,2026-09-22T06:53:01,2
661616_6,drX_graphs,PREEMPTED,00:04:07,,96G,0:0,yin-cpu-01,2026-09-21T14:41:41,2026-09-21T14:45:48,2
661616_7,drX_graphs,COMPLETED,22:41:40,,96G,0:0,kim-cpu-02,2026-09-21T14:43:41,2026-09-22T13:25:21,2
661616_8,drX_graphs,COMPLETED,13:35:28,,96G,0:0,sablab-cpu-01,2026-09-21T14:44:42,2026-09-22T04:20:10,2
661616_9,drX_graphs,COMPLETED,16:14:42,,96G,0:0,sablab-cpu-01,2026-09-21T14:44:42,2026-09-22T06:59:24,2
661616_10,drX_graphs,COMPLETED,23:23:10,,96G,0:0,unicorn-cpu-73,2026-09-21T14:45:48,2026-09-22T14:08:58,2
661616_11,drX_graphs,COMPLETED,13:53:32,,96G,0:0,lodi-cpu-01,2026-09-21T14:45:48,2026-09-22T04:39:20,2
661616_12,drX_graphs,COMPLETED,16:17:24,,96G,0:0,dean-cpu-01,2026-09-21T14:45:48,2026-09-22T07:03:12,2
661616_13,drX_graphs,COMPLETED,16:17:10,,96G,0:0,dean-cpu-01,2026-09-21T14:45:48,2026-09-22T07:02:58,2
661616_14,drX_graphs,PREEMPTED,00:09:31,,96G,0:0,lin-cpu-01,2026-09-21T14:45:48,2026-09-21T14:55:19,2
661616_15,drX_graphs,COMPLETED,22:46:05,,96G,0:0,sonic-cpu-01,2026-09-21T14:46:46,2026-09-22T13:32:51,2
661616_16,drX_graphs,COMPLETED,09:36:02,,96G,0:0,yin-cpu-01,2026-09-21T14:46:46,2026-09-22T00:22:48,2
661616_17,drX_graphs,COMPLETED,16:04:49,,96G,0:0,unicorn-cpu-87,2026-09-21T14:47:46,2026-09-22T06:52:35,2
661616_18,drX_graphs,COMPLETED,18:21:42,,96G,0:0,jingjie-cpu-20,2026-09-21T14:47:46,2026-09-22T09:09:28,2
661616_19,drX_graphs,COMPLETED,17:18:14,,96G,0:0,unicorn-cpu-76,2026-09-21T14:48:46,2026-09-22T08:07:00,2
661616_20,drX_graphs,COMPLETED,17:42:51,,96G,0:0,jingjie-cpu-01,2026-09-21T14:48:46,2026-09-22T08:31:37,2
661616_21,drX_graphs,COMPLETED,11:22:13,,96G,0:0,petro-cpu-01,2026-09-21T14:48:46,2026-09-22T02:10:59,2
661616_22,drX_graphs,COMPLETED,12:23:31,,96G,0:0,luxlab-cpu-01,2026-09-21T14:49:46,2026-09-22T03:13:17,2
661616_23,drX_graphs,COMPLETED,09:50:39,,96G,0:0,scaglione-cpu-03,2026-09-21T14:49:46,2026-09-22T00:40:25,2
661616_24,drX_graphs,COMPLETED,10:40:17,,96G,0:0,mzhang-cpu-01,2026-09-21T14:49:46,2026-09-22T01:30:03,2
661616_25,drX_graphs,COMPLETED,11:19:49,,96G,0:0,mzhang-cpu-01,2026-09-21T14:49:46,2026-09-22T02:09:35,2
661616_26,drX_graphs,PREEMPTED,00:01:04,,96G,0:0,lisbeth,2026-09-21T14:49:46,2026-09-21T14:50:50,2
661616_27,drX_graphs,PREEMPTED,00:01:36,,96G,0:0,lisbeth,2026-09-21T14:49:46,2026-09-21T14:51:22,2
661616_28,drX_graphs,COMPLETED,23:06:53,,96G,0:0,unicorn-compute-05,2026-09-21T14:49:46,2026-09-22T13:56:39,2
661616_29,drX_graphs,PREEMPTED,06:49:51,,96G,0:0,sablab-gpu-02,2026-09-21T14:49:46,2026-09-21T21:39:37,2
661616_30,drX_graphs,COMPLETED,1-02:28:34,,96G,0:0,coecis-compute-02,2026-09-21T14:49:46,2026-09-22T17:18:20,2
661616_31,drX_graphs,COMPLETED,12:43:16,,96G,0:0,lil-compute-01,2026-09-21T14:49:46,2026-09-22T03:33:02,2
661616_32,drX_graphs,COMPLETED,15:45:59,,96G,0:0,dgx2-compute-04,2026-09-21T14:49:46,2026-09-22T06:35:45,2
661616_33,drX_graphs,PREEMPTED,06:47:40,,96G,0:0,dgx2-compute-02,2026-09-21T14:49:46,2026-09-21T21:37:26,2
661616_34,drX_graphs,PREEMPTED,06:47:40,,96G,0:0,dgx2-compute-02,2026-09-21T14:49:46,2026-09-21T21:37:26,2
661616_35,drX_graphs,PREEMPTED,06:48:12,,96G,0:0,dgx2-compute-02,2026-09-21T14:49:46,2026-09-21T21:37:58,2
661616_36,drX_graphs,COMPLETED,20:36:00,,96G,0:0,dgx2-compute-02,2026-09-21T14:49:46,2026-09-22T11:25:46,2
661616_37,drX_graphs,PREEMPTED,00:57:57,,96G,0:0,kuleshov-compute-01,2026-09-21T14:49:46,2026-09-21T15:47:43,2
661616_38,drX_graphs,COMPLETED,07:52:45,,96G,0:0,shmatikov-compute-02,2026-09-21T14:49:46,2026-09-21T22:42:31,2
661616_39,drX_graphs,COMPLETED,08:39:27,,96G,0:0,rocky,2026-09-21T14:49:46,2026-09-21T23:29:13,2
661616_40,drX_graphs,COMPLETED,08:50:30,,96G,0:0,rocky,2026-09-21T14:49:46,2026-09-21T23:40:16,2
661616_41,drX_graphs,PREEMPTED,00:10:21,,96G,0:0,davis-compute-02,2026-09-21T14:49:46,2026-09-21T15:00:07,2
661616_42,drX_graphs,COMPLETED,16:32:38,,96G,0:0,ellis-compute-02,2026-09-21T14:49:46,2026-09-22T07:22:24,2
661616_43,drX_graphs,COMPLETED,16:25:53,,96G,0:0,portal-compute-01,2026-09-21T14:49:46,2026-09-22T07:15:39,2
661616_6,drX_graphs,COMPLETED,15:54:14,,96G,0:0,portal-compute-01,2026-09-21T14:49:46,2026-09-22T06:44:00,2
661616_26,drX_graphs,COMPLETED,17:23:16,,96G,0:0,jingjie-cpu-22,2026-09-21T14:54:47,2026-09-22T08:18:03,2
661616_27,drX_graphs,COMPLETED,18:57:27,,96G,0:0,jingjie-cpu-07,2026-09-21T14:54:47,2026-09-22T09:52:14,2
661616_14,drX_graphs,COMPLETED,23:06:21,,96G,0:0,kim-cpu-05,2026-09-21T14:58:47,2026-09-22T14:05:08,2
661616_41,drX_graphs,COMPLETED,23:16:52,,96G,0:0,garg-cpu-02,2026-09-21T15:02:47,2026-09-22T14:19:39,2
661616_37,drX_graphs,COMPLETED,15:13:28,,96G,0:0,kim-cpu-01,2026-09-21T15:50:57,2026-09-22T07:04:25,2
661616_33,drX_graphs,RUNNING,19:48:29,,96G,0:0,unicorn-cpu-75,2026-09-21T21:43:26,Unknown,2
661616_34,drX_graphs,RUNNING,19:48:29,,96G,0:0,sonic-cpu-02,2026-09-21T21:43:26,Unknown,2
661616_35,drX_graphs,RUNNING,19:48:29,,96G,0:0,unicorn-cpu-87,2026-09-21T21:43:26,Unknown,2
661616_29,drX_graphs,COMPLETED,14:22:26,,96G,0:0,unicorn-cpu-76,2026-09-21T21:43:26,2026-09-22T12:05:52,2
