case_id,chain,k,trip_count,input_sha256,cg_job,mip_job,cg_scheduler,mip_scheduler,cg_stop,pricing_certified,rmp_route_weight,rmp_weighted_objective,pool_columns,mip_status,fleet_incumbent,finite_pool_fleet_only_bound,finite_pool_fleet_proven,own_target_matched,individual_route_replay,overcovered_trips,duplicate_trip_removal_validated,shared_capacity_validated,cg_path,cg_sha256,pool_journal_sha256,mip_path,mip_sha256
w1_k33,1,33,785,a2f00fec091992c2cea04a21c32fde651c5b93a3cd9f20e70e48d5543d17be5b,661618,661619,COMPLETED,COMPLETED,wall_limit,False,33.000000000000114,3301350.5654126345,284758,TIME_LIMIT,36,33.00000000000007,False,False,True,199,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k33/cg.json,26ecf8407d9ae68d7493028be0a4a4c1c2a7d0ea096ec59cfc8bcd791973bc17,4c990c26c550b0afae945ca955bdd9f1e77d9bce50695358869e2d3db8637ed7,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k33/mip_result.json,70a68a2c905543b506f3407233291e17be1a2a9be7596cad1a0dbf3d80d2a954
w1_k34,1,34,821,fc54aeb5d7fa588b30fdbda4043cda23e6a416b2da272a54e581b84a0a81d98e,661620,661621,COMPLETED,COMPLETED,wall_limit,False,33.00000000000009,3301488.163687474,286834,TIME_LIMIT,40,33.00000000000019,False,False,True,223,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k34/cg.json,f1f701298ae454c0bb498b70abd41a9963217d86acaa87636cb0eaab71ba0e85,41dbe3f227ae7e7e5e9fa418e77a2416ce96ad9e2467de3187d30c8ef617660e,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k34/mip_result.json,aec9fd7c5b3e6c86231765f30435b07b1b9cdd595d5886e52232b27fce1d3191
w1_k35,1,35,834,45055bb311570592c7bc840727a1dfbd5ae733a6ff0963fd55e17b87eb7db141,661622,661623,COMPLETED,COMPLETED,wall_limit,False,33.999999999999766,3401539.076369124,288377,TIME_LIMIT,42,34.00000000000019,False,False,True,259,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k35/cg.json,bfb145cba8c6ca18145357d34c9b5766cc514b3dc0263c67cec8ac62959d64ae,dd73336adec860ec68b72fd948a9ea0a1282f0d4de135f4ffeec2501630c026d,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k35/mip_result.json,03adab643550e4638432c4855c0959315a8cf9161d9b54c000d189c87e058b13
w1_k36,1,36,871,b48b772ed231cf2ac7752390f7e4ccda2225203a355fc7aa7ab7bef9ca3678ae,661625,661626,COMPLETED,COMPLETED,wall_limit,False,34.99999999999996,3501592.518573265,289944,TIME_LIMIT,42,35.0000000000003,False,False,True,253,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k36/cg.json,4590bb2de268cd638e12575ff47c38ae1bb98327f87ebb3164998727af5abb4a,195523b4a0175dbfeb3ed2e0bec1a6e798ee0883df57fa7dacda29b27a1ca634,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k36/mip_result.json,ca5d004c64120cd94ac4b11fce731d971a9583a85ad2d51ddaa006ea0b748f53
w1_k37,1,37,897,1a98205f63c65063ee848a7c140db1f48b03e8fc436a9d228d617b708b9ad403,661627,661628,COMPLETED,COMPLETED,wall_limit,False,35.99999999999976,3601633.674616751,290990,TIME_LIMIT,42,36.00000000000003,False,False,True,286,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k37/cg.json,7016cd72219ebdfca397855983ac32c89a48e423800ead9f3689855ed32b4b61,63d223e4b3563065593a70831e5706bccc341a648a2de35a40e0805ad30a79ab,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k37/mip_result.json,d7f0bafcdd6e5ce971d3510fa93cf08299d36d902f8c0a75d41df3e42a20870c
w1_k38,1,38,911,ed256fd49e55876599ec8a85ff9104cc520cb2ba278a6a7345c4865d32a20f09,661629,661630,COMPLETED,COMPLETED,wall_limit,False,37.000000000000256,3701656.7978917924,292594,TIME_LIMIT,43,37.00000000000006,False,False,True,259,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k38/cg.json,51573b81c645e73af65cdb372eea2202cbe51b34c474c2ef553ee702f0230085,02d51fa7e4095a4f7a3ec2319a2d5b0452de4cf70ad49656104a23f3d4fbb13f,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k38/mip_result.json,a185b8bc581f23d6bf034a06f228d8739f60f0b29ff5a67d3792d9f7705f3cbc
w1_k39,1,39,926,0866ddca9e35bafb71d834221aed6cd6848367e8be89bd3951446c71b51f8b56,661631,661632,COMPLETED,COMPLETED,wall_limit,False,38.0,3801691.104799619,294499,TIME_LIMIT,43,38.000000000000064,False,False,True,251,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k39/cg.json,7fd9cf2ae9eb31edd07791f4b5fe5ef8a88e4ea289396c94c27c292068885da0,3b427d69a469a23d30dd1c41c24cd5fede1856bc4f7c430f5f7f73243e32fc96,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k39/mip_result.json,6b7cb41a560f47ad122c0c64879e7f0139ac3ef8a986c804623eee30f79601f3
w1_k40,1,40,948,904070ec8919dd11bf431eab62e1396ad4882d95f7d5917bcf83f34d1e20e607,661633,661634,COMPLETED,COMPLETED,wall_limit,False,39.00000000000018,3901710.7710556663,296381,TIME_LIMIT,43,39.000000000000085,False,False,True,200,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k40/cg.json,fd9659ce55e29db6ee3fc33d1f25c6e960c2e326f339f03e185b87a9235cca0c,74d653479ee7d9aeeb291d28af832b0f2ac37a069da6078b8a18874db5ed7660,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w1_k40/mip_result.json,f16ddceb776927e262c05b98131ed90aef0f62fd4b0fe2332351a194df451753
w2_k33,2,33,787,d5ce85534a8324393260238bd0b9141321e98f24dbc93872930397a2cf02617c,661636,661637,COMPLETED,COMPLETED,wall_limit,False,31.9999999999998,3201358.3634775938,226722,TIME_LIMIT,36,32.00000000000006,False,False,True,159,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k33/cg.json,e8f1a121dc06f999d89830b98c6d86ef3909b481b4c46f94ec33dc05b3db1c7d,fa2873d4662280ac765e3bdd0581529cf7372a6d3a4f6240cb732b93d51bee06,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k33/mip_result.json,a721d28f1c8628b1c9b921f3600cefa295f89c886766436e0259fc43b426e399
w2_k34,2,34,824,f8c79fdcb3c03cf496a862e20252e64daa6b803645e083fbd47a40dbc469cd9b,661638,661639,COMPLETED,COMPLETED,wall_limit,False,32.99999999999946,3301404.822568521,232279,TIME_LIMIT,36,33.00000000000005,False,False,True,183,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k34/cg.json,94c5a6f717356d3c35289d07df669d1458329cc9200947be5fa87b98744f85ba,c6f5e8f296c953d1813d15c9d208de7619dc45f3dcdd26278328df002ffa231c,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k34/mip_result.json,97ed82e58467ce2fe2ff06b75f623ecde0e2a2b91d5f9412a86a99d5ed758f3c
