462741|st_cg_r21_gate_peak18|RUNNING|0:0|00:46:50|2026-09-25T12:43:50|Unknown|16G||snavely-cpu-15
462741.batch|batch|RUNNING|0:0|00:46:50|2026-09-25T12:43:50|Unknown|||snavely-cpu-15
462741.extern|extern|RUNNING|0:0|00:46:50|2026-09-25T12:43:50|Unknown|||snavely-cpu-15
462742|st_cl_r21_gate_peak18|PENDING|0:0|00:00:00|Unknown|Unknown|16G||None assigned
462743|st_fx_r21_gate_peak18|COMPLETED|0:0|00:07:51|2026-09-25T12:43:50|2026-09-25T12:51:41|16G||snavely-cpu-09
462743.batch|batch|COMPLETED|0:0|00:07:51|2026-09-25T12:43:50|2026-09-25T12:51:41||566224K|snavely-cpu-09
462743.extern|extern|COMPLETED|0:0|00:07:51|2026-09-25T12:43:50|2026-09-25T12:51:41|||snavely-cpu-09
462744|st_cg_r21_flat|COMPLETED|0:0|00:26:56|2026-09-25T12:43:50|2026-09-25T13:10:46|16G||unicorn-cpu-01
462744.batch|batch|COMPLETED|0:0|00:26:56|2026-09-25T12:43:50|2026-09-25T13:10:46||901788K|unicorn-cpu-01
462744.extern|extern|COMPLETED|0:0|00:26:56|2026-09-25T12:43:50|2026-09-25T13:10:46|||unicorn-cpu-01
462745|st_cl_r21_flat|RUNNING|0:0|00:19:49|2026-09-25T13:10:51|Unknown|16G||unicorn-cpu-01
462745.batch|batch|RUNNING|0:0|00:19:49|2026-09-25T13:10:51|Unknown|||unicorn-cpu-01
462745.extern|extern|RUNNING|0:0|00:19:49|2026-09-25T13:10:51|Unknown|||unicorn-cpu-01
462746|st_fx_r21_flat|COMPLETED|0:0|00:04:09|2026-09-25T12:43:50|2026-09-25T12:47:59|16G||sonic-cpu-01
462746.batch|batch|COMPLETED|0:0|00:04:09|2026-09-25T12:43:50|2026-09-25T12:47:59||574668K|sonic-cpu-01
462746.extern|extern|COMPLETED|0:0|00:04:09|2026-09-25T12:43:50|2026-09-25T12:47:59|||sonic-cpu-01
462747|st_cg_r21_duck_alpha_0p5|COMPLETED|0:0|00:18:20|2026-09-25T12:43:52|2026-09-25T13:02:12|16G||unicorn-cpu-76
462747.batch|batch|COMPLETED|0:0|00:18:20|2026-09-25T12:43:52|2026-09-25T13:02:12||1032068K|unicorn-cpu-76
462747.extern|extern|COMPLETED|0:0|00:18:20|2026-09-25T12:43:52|2026-09-25T13:02:12|||unicorn-cpu-76
462748|st_cl_r21_duck_alpha_0p5|COMPLETED|0:0|00:05:00|2026-09-25T13:02:44|2026-09-25T13:07:44|16G||joachims-cpu-02
462748.batch|batch|COMPLETED|0:0|00:05:00|2026-09-25T13:02:44|2026-09-25T13:07:44||521092K|joachims-cpu-02
462748.extern|extern|COMPLETED|0:0|00:05:00|2026-09-25T13:02:44|2026-09-25T13:07:44|||joachims-cpu-02
462749|st_fx_r21_duck_alpha_0p5|COMPLETED|0:0|00:04:20|2026-09-25T12:43:50|2026-09-25T12:48:10|16G||totient-cpu-01
462749.batch|batch|COMPLETED|0:0|00:04:20|2026-09-25T12:43:50|2026-09-25T12:48:10||532244K|totient-cpu-01
462749.extern|extern|COMPLETED|0:0|00:04:20|2026-09-25T12:43:50|2026-09-25T12:48:10|||totient-cpu-01
462750|st_cg_r21_duck|COMPLETED|0:0|00:19:57|2026-09-25T12:43:50|2026-09-25T13:03:47|16G||totient-cpu-02
462750.batch|batch|COMPLETED|0:0|00:19:57|2026-09-25T12:43:50|2026-09-25T13:03:47||935460K|totient-cpu-02
462750.extern|extern|COMPLETED|0:0|00:19:57|2026-09-25T12:43:50|2026-09-25T13:03:47|||totient-cpu-02
462751|st_cl_r21_duck|COMPLETED|0:0|00:04:18|2026-09-25T13:03:54|2026-09-25T13:08:12|16G||totient-cpu-02
462751.batch|batch|COMPLETED|0:0|00:04:18|2026-09-25T13:03:54|2026-09-25T13:08:12||544468K|totient-cpu-02
462751.extern|extern|COMPLETED|0:0|00:04:18|2026-09-25T13:03:54|2026-09-25T13:08:12|||totient-cpu-02
462752|st_fx_r21_duck|COMPLETED|0:0|00:04:21|2026-09-25T12:43:50|2026-09-25T12:48:11|16G||totient-cpu-03
462752.batch|batch|COMPLETED|0:0|00:04:21|2026-09-25T12:43:50|2026-09-25T12:48:11||526440K|totient-cpu-03
462752.extern|extern|COMPLETED|0:0|00:04:21|2026-09-25T12:43:50|2026-09-25T12:48:11|||totient-cpu-03
462753|st_cg_r21_spatial_2190L_x0p50|COMPLETED|0:0|00:21:33|2026-09-25T12:43:50|2026-09-25T13:05:23|16G||totient-cpu-04
462753.batch|batch|COMPLETED|0:0|00:21:33|2026-09-25T12:43:50|2026-09-25T13:05:23||1111488K|totient-cpu-04
462753.extern|extern|COMPLETED|0:0|00:21:33|2026-09-25T12:43:50|2026-09-25T13:05:23|||totient-cpu-04
462754|st_cl_r21_spatial_2190L_x0p50|COMPLETED|0:0|00:03:00|2026-09-25T13:05:37|2026-09-25T13:08:37|16G||joachims-cpu-02
462754.batch|batch|COMPLETED|0:0|00:03:00|2026-09-25T13:05:37|2026-09-25T13:08:37||485124K|joachims-cpu-02
