case,chain,target,final_buses,buses_above_target,stage1_buses,fleet_bound,fleet_proven,final_status,final_incumbent_source,cg_pricing_certified,cg_stop_reason,individual_route_replay,duplicate_removal_validated,shared_capacity_validated,source_mip_path,source_mip_sha256,source_cg_path,source_cg_sha256
w1_k33,1,33,36,3,36,33.00000000000007,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k33/mip_result.json,70a68a2c905543b506f3407233291e17be1a2a9be7596cad1a0dbf3d80d2a954,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k33/cg/661618_r0/cg.json,26ecf8407d9ae68d7493028be0a4a4c1c2a7d0ea096ec59cfc8bcd791973bc17
w1_k34,1,34,40,6,40,33.00000000000019,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k34/mip_result.json,aec9fd7c5b3e6c86231765f30435b07b1b9cdd595d5886e52232b27fce1d3191,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k34/cg/661620_r0/cg.json,f1f701298ae454c0bb498b70abd41a9963217d86acaa87636cb0eaab71ba0e85
w1_k35,1,35,42,7,42,34.00000000000019,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k35/mip_result.json,03adab643550e4638432c4855c0959315a8cf9161d9b54c000d189c87e058b13,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k35/cg/661622_r0/cg.json,bfb145cba8c6ca18145357d34c9b5766cc514b3dc0263c67cec8ac62959d64ae
w1_k36,1,36,42,6,42,35.0000000000003,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k36/mip_result.json,ca5d004c64120cd94ac4b11fce731d971a9583a85ad2d51ddaa006ea0b748f53,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k36/cg/661625_r0/cg.json,4590bb2de268cd638e12575ff47c38ae1bb98327f87ebb3164998727af5abb4a
w1_k37,1,37,42,5,42,36.00000000000003,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k37/mip_result.json,d7f0bafcdd6e5ce971d3510fa93cf08299d36d902f8c0a75d41df3e42a20870c,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k37/cg/661627_r0/cg.json,7016cd72219ebdfca397855983ac32c89a48e423800ead9f3689855ed32b4b61
w1_k38,1,38,43,5,43,37.00000000000006,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k38/mip_result.json,a185b8bc581f23d6bf034a06f228d8739f60f0b29ff5a67d3792d9f7705f3cbc,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k38/cg/661629_r0/cg.json,51573b81c645e73af65cdb372eea2202cbe51b34c474c2ef553ee702f0230085
w1_k39,1,39,43,4,43,38.000000000000064,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k39/mip_result.json,6b7cb41a560f47ad122c0c64879e7f0139ac3ef8a986c804623eee30f79601f3,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k39/cg/661631_r0/cg.json,7fd9cf2ae9eb31edd07791f4b5fe5ef8a88e4ea289396c94c27c292068885da0
w1_k40,1,40,43,3,43,39.000000000000085,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k40/mip_result.json,f16ddceb776927e262c05b98131ed90aef0f62fd4b0fe2332351a194df451753,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w1_k40/cg/661633_r0/cg.json,fd9659ce55e29db6ee3fc33d1f25c6e960c2e326f339f03e185b87a9235cca0c
w2_k33,2,33,36,3,36,32.00000000000006,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k33/mip_result.json,a721d28f1c8628b1c9b921f3600cefa295f89c886766436e0259fc43b426e399,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k33/cg/661636_r0/cg.json,e8f1a121dc06f999d89830b98c6d86ef3909b481b4c46f94ec33dc05b3db1c7d
w2_k34,2,34,36,2,36,33.00000000000005,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k34/mip_result.json,97ed82e58467ce2fe2ff06b75f623ecde0e2a2b91d5f9412a86a99d5ed758f3c,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k34/cg/661638_r0/cg.json,94c5a6f717356d3c35289d07df669d1458329cc9200947be5fa87b98744f85ba
w2_k35,2,35,37,2,37,34.00000000000008,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k35/mip_result.json,a99ae8eb639452fd2e707dd86c16a42925e2e5c973608830b7be9fdbc8c852b4,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k35/cg/661640_r0/cg.json,da1e8b2cf2b435d520a5028861d19791fa04546dbdb6452b17ec49a0b94fd6f0
w2_k36,2,36,39,3,39,35.00000000000004,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k36/mip_result.json,f0d02d622dffbe6d92c1a6bc9cd3842b421884ce0562af89d2584a1b451a2ac2,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k36/cg/661642_r0/cg.json,685632e6b6b4174e3b6058494499bb9cc257e7c9847c7b58ffd02d89a8fb9e44
w2_k37,2,37,40,3,40,36.00000000000003,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k37/mip_result.json,f95dbbfc28ccb00da2f98cd86170fa5987364866eff5243c30d661a468096107,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k37/cg/661644_r0/cg.json,716570fba6d6f83bb8cdc84a8cbbf80ff3fb2030af8f52bbf9cc836a046515b6
w2_k38,2,38,40,2,40,37.00000000000004,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k38/mip_result.json,3cdca2791186d23a62103fb72246cba05d05b820ef79f701d2472ac90a9e9a78,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k38/cg/661646_r0/cg.json,60b9a554222e00b4de285a6771aedffc54fc8a3f5db4bb1e6e8d35467bc06d56
w2_k39,2,39,40,1,40,38.00000000000004,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k39/mip_result.json,325a0b7fa606aaf2fa15d32256d04f808659da08dd78491c6eec191048fa0f9f,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k39/cg/661648_r0/cg.json,82fd55c763bd2d6666e72ba80d230aa65f8d7e4915f3a06a1612cb46a2e1d93b
w2_k40,2,40,44,4,44,39.00000000000004,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k40/mip_result.json,435aee022486b3eebe4e3190fcf4532e5fb427aab4651b4c2ac242a85f04cbcb,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w2_k40/cg/661650_r0/cg.json,0fd8f81df33ecf9138ae48b49fc3df8aba6e0d5fa9f1764e80f8a296ea973128
w3_k33,3,33,34,1,34,33.00000000000022,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k33/mip_result.json,bdec91170ddf1f582c7625d06cf788c322604cf6995be54d58b05af1be9ab815,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k33/cg/661668_r0/cg.json,033e933a43a80e24d441e852a28af7db3af1756177df6f7714f353e3270b8d4c
w3_k34,3,34,35,1,35,34.00000000000014,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k34/mip_result.json,673846550f8d3f05c06a2fe3fe3060617881362f172bb299bc3d2a890a1d8848,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k34/cg/661670_r0/cg.json,6f11e5aca5d342b72c624a3ab5107552a47563157790ab0f1a9235dc752c25a4
w3_k35,3,35,36,1,36,35.00000000000003,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k35/mip_result.json,23bdaca524769e79df7efbe7878221f11c91383efd0e8c48e85e666bbd6adab0,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k35/cg/661676_r0/cg.json,f4433a1afa1c61504606bf3934cc512a76afb5908a14b0260615479e79b7a3bf
w3_k36,3,36,37,1,37,36.000000000000085,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k36/mip_result.json,7459599f57007cf78d2abf9bba058827aafb2a7ef16546f9472989bc662a4418,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k36/cg/661678_r0/cg.json,f29277df9a737ce813909e613b3fd18ac00bb4b636dd5757f039934a9622048f
w3_k37,3,37,39,2,39,36.000000000000114,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k37/mip_result.json,4ea436a07758128910f81ba36175cd1b50f1465d6e0ab496bb4617a34cd1804e,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k37/cg/661680_r0/cg.json,b341532970082e10194da50e65e4247a736e80bd1653634094754033c5041097
w3_k38,3,38,43,5,43,37.0000000000001,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k38/mip_result.json,9357bb94909b786ced1b924d5164b84322eefd169d56e3024a806b7e2ebc31be,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k38/cg/661682_r0/cg.json,34747a0e7207803334739d250e7c0deac02c29f4b4bb91c502000e7e3bd6d087
w3_k39,3,39,45,6,45,38.00000000000018,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k39/mip_result.json,adc1f0d43960142b776973739485737b44df0b2ed7b1317703f36767c2965194,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k39/cg/661684_r0/cg.json,49ded0f6f5d7982da30954d491badc40e24f4c26246141bfaf238cf143e0e3ba
w3_k40,3,40,44,4,44,39.00000000000003,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k40/mip_result.json,ea3aa007d4ae2c3b8a1d338901ce0dc58d6c75165f7601982acb8e2f89daccf0,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w3_k40/cg/661686_r0/cg.json,e0489ca247f46545cbd02bd63ea2106fb11162cfdde9536c14419d8558bcf1f9
w4_k33,4,33,38,5,38,32.0000000000002,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k33/mip_result.json,df403d946fb1bae85b801e2f6c8d442d3343edb56ce2b17e25474daf69b4f8d1,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k33/cg/661691_r0/cg.json,c849921dc68dbc3ea359cb03cc4ac60e92d023033ee1f3d3656645f5ebc9d793
w4_k34,4,34,42,8,42,33.000000000000036,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k34/mip_result.json,1fc892497d82cb21f38aa59227a5147f5fac4df64061f6a610b90e0f6b41c434,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k34/cg/661693_r0/cg.json,71da7e9670a6d489055cc05769120a87a0dcc5f325754093e5ead4150ebf8f23
w4_k35,4,35,42,7,42,34.00000000000006,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k35/mip_result.json,4e77bf8d893194569b526fb6e2ce994abad7759504d2c498c17720eaa0a29869,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k35/cg/661695_r0/cg.json,3d509674e7c8ac6842f07a3acfb8a5fc79a2b90c03b48a7a4c49cb5bc5e58990
w4_k36,4,36,43,7,43,35.00000000000003,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k36/mip_result.json,2447d1853e742e794443ae5a9c1bc25059f232878959237eb861365ee2242f13,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k36/cg/661697_r0/cg.json,95c824a1d93cc4451a9ce477f63aa43a83fafb09f501dd635d22a7f7bcb8bd64
w4_k37,4,37,39,2,39,36.000000000000135,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k37/mip_result.json,0396fa865b2c0fe4b2d17e34140f08480d5e34127702e419780b17b2a22155ea,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w4_k37/cg/661699_r0/cg.json,6cd92590fa6f9577302ebc69f812a227deca21f3e782acfa9112d9f5286d7ae3
