branch	sha	tracking	main_only_commits	branch_only_commits	fully_merged_in_main	unique_vs_other_local_branches	commits_not_on_any_origin_ref	same_name_origin_sha	existing_worktrees	prunable_worktrees
archive/issue20-artifacts-20260730	0d7b48b5fb238c428f9c71e55aed132bfc6e80ce		10	44	False	2	14		[]	[]
cluster-preserve-d44b67a-20260805	d44b67a028d5dd82fea66717fb48e5eba5e9881d		10	63	False	1	0	d44b67a028d5dd82fea66717fb48e5eba5e9881d	[]	[]
codex/action3-full-20260916	be624eb486a7c3a4137f8b0fe660f9bb273ddf98		10	392	False	1	1		['/Users/nadan/Documents/projects/demandresponse/.codex-work/action3-full-20260916']	[]
codex/algorithm-benchmarks-20260912	b142f360f8a9018c2f50e3419f0dddcaf87a489d		10	378	False	0	0	b142f360f8a9018c2f50e3419f0dddcaf87a489d	[]	['/private/tmp/evsp-algorithm-benchmarks-source-20260912']
codex/algorithm-review-20260912	206315dddd99f44a49141c04bb786f2b38f459dd		10	377	False	0	0	206315dddd99f44a49141c04bb786f2b38f459dd	[]	['/private/tmp/evsp-algorithm-review-source-20260912']
codex/baseline-efficiency-20260912	11afd8372dd14fdb2a11cd5eaddbee1d02644b1f		10	382	False	1	0	11afd8372dd14fdb2a11cd5eaddbee1d02644b1f	[]	['/private/tmp/evsp-baseline-efficiency-20260912']
codex/capacity-efficiency-20260912	309d98d266ebaf6b7e99543a67f8f2be5736874a		10	390	False	0	0	309d98d266ebaf6b7e99543a67f8f2be5736874a	['/private/tmp/evsp-capacity-efficiency-20260912']	['/private/tmp/evsp-capacity-efficiency-20260912']
codex/capacity-parallel-followup-20260914	bea983e9e8d9e16fb3d12a104dabaaf2b8a00ec7		10	396	False	0	6		['/Users/nadan/Documents/projects/demandresponse/.codex-work/capacity-parallel-followup-20260914']	[]
codex/capacity-representation-pilot-20260922	f37c6ce4c6e0a7ccffd3719a633bacd40b9a351c		0	0	True	0	0		[]	[]
codex/capacity-shortcircuit-20260917	cf61e2c8618b067df032c3eb795476e64184ed0a		10	402	False	6	12		['/Users/nadan/Documents/projects/demandresponse/.codex-work/capacity-shortcircuit-20260917']	[]
codex/capacity-speed-pilot-20260910	37d26e7f86f59c94ecd1f1857daf7ca3d2a0fb00		10	393	False	6	6		[]	['/private/tmp/evsp-capacity-speed-pilot']
codex/capacity-timeout-checkpoint-20260911	253588e9b22d68fcbc67cb56bc3eb30cbb0e16b6		10	388	False	0	0	253588e9b22d68fcbc67cb56bc3eb30cbb0e16b6	['/Users/nadan/Documents/projects/demandresponse/.codex-work/capacity-timeout-checkpoint-20260911']	[]
codex/charging-column-structure-20260922	f37c6ce4c6e0a7ccffd3719a633bacd40b9a351c		0	0	True	0	0	f37c6ce4c6e0a7ccffd3719a633bacd40b9a351c	[]	[]
codex/charging-factorial-20260921	b931772dadf1e5930fd87bf4a89edd7dcaf6c51a		2	1	False	1	0	b931772dadf1e5930fd87bf4a89edd7dcaf6c51a	['/Users/nadan/Documents/projects/demandresponse/.codex-work/charging-factorial-20260921']	[]
codex/decomposition-map-20260910	39b84978c06100cc7bcb2817ca0fa552233d90f5		10	382	False	2	2		['/Users/nadan/Documents/projects/demandresponse/.codex-work/decomposition-map-20260910']	[]
codex/dispatch-cleanup-20260918	663ece9c8d5d02e03087a300ecca0605a4ad9292		10	388	False	0	1		['/Users/nadan/Documents/projects/demandresponse/.codex-work/dispatch-cleanup-20260918']	[]
codex/dive-cap-escalation-20260923	d8fbf40b922c158d53959a12ac950371e7c7c6fe		10	387	False	1	1		['/Users/nadan/Documents/projects/demandresponse/.codex-work/dive-cap-escalation-20260923']	[]
codex/diving-pricing-20260919	79a677d8ecc94beff95a72e6385e4c18b7856e41		10	384	False	0	0		['/Users/nadan/Documents/projects/demandresponse/.codex-work/diving-pricing-20260919']	[]
codex/easy-trip-ladder-20260908	eaca565903772e356c280b686ad2e95761123935		10	379	False	5	0	eaca565903772e356c280b686ad2e95761123935	[]	['/private/tmp/evsp-easy-ladder-20260908']
codex/efficiency-validation-20260912	9bfbfc8fa977279e12e410c6f3761a6949a4f87b		10	389	False	11	0	9bfbfc8fa977279e12e410c6f3761a6949a4f87b	[]	['/private/tmp/evsp-efficiency-evidence-20260912']
