ref	sha	former_branch	purpose
refs/tags/codex/archive-worktree-20260925-18bf98bb701e566745b3e7dae2eb3dd88bd9e2ca	18bf98bb701e566745b3e7dae2eb3dd88bd9e2ca		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-1a0028f968e2b0143ffdf986c7c550eeb374d3da	1a0028f968e2b0143ffdf986c7c550eeb374d3da		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-2f2a4fbdb59b49c00810522fa449b37b350678fc	2f2a4fbdb59b49c00810522fa449b37b350678fc		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-35b2c41b263842b928f947ebbddae666ef860435	35b2c41b263842b928f947ebbddae666ef860435		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-3c729b9b2d1a3ef08562055dde344cc5322566a6	3c729b9b2d1a3ef08562055dde344cc5322566a6		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-417f686f6e0467259089c9be68d1dccc7a29dc5f	417f686f6e0467259089c9be68d1dccc7a29dc5f		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-48ddb2de2c8528a1a2ce8aa0058ee3a9ee426d34	48ddb2de2c8528a1a2ce8aa0058ee3a9ee426d34		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-5054e7ed608daf40b799ae7729cea09873d48ce4	5054e7ed608daf40b799ae7729cea09873d48ce4		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-556c5274ac0a8e8994401ed397efb2516291fc9a	556c5274ac0a8e8994401ed397efb2516291fc9a		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-5ec9b6240af9fff6af0e926b22a63673ffdb32ed	5ec9b6240af9fff6af0e926b22a63673ffdb32ed		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-618b062d00a53d6e4c45e7663c8a99717ace864a	618b062d00a53d6e4c45e7663c8a99717ace864a		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-65345f3f52638676aee278389b31ac6be28b4af4	65345f3f52638676aee278389b31ac6be28b4af4		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-6c12c983a6e0dd72c863ce7c69169154ba72f075	6c12c983a6e0dd72c863ce7c69169154ba72f075		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-75397554ee5209f5aac4beb0e3d5e503bc5458bd	75397554ee5209f5aac4beb0e3d5e503bc5458bd		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-88fed506d44c4cd0add44242298615e2751e7485	88fed506d44c4cd0add44242298615e2751e7485		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-9fd5011f769ae943860721e3e945d1d952fed5ad	9fd5011f769ae943860721e3e945d1d952fed5ad		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-a1a64f6af38766589aff4578d3a58885214412e3	a1a64f6af38766589aff4578d3a58885214412e3		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-c2ad8162bd6fa2253109f9b998fd2f642620431c	c2ad8162bd6fa2253109f9b998fd2f642620431c		detached worktree or reflog history
refs/tags/codex/archive-worktree-20260925-d8413f06578e8eff495ebdf1fd29d86756512f7a	d8413f06578e8eff495ebdf1fd29d86756512f7a		detached worktree or reflog history
refs/tags/codex/archive-branch-20260925-event-uniform-cluster-tools-20260824	b5436f5476f5ff1fcf3dae776297005a9aadecdf	codex/event-uniform-cluster-tools-20260824	archived exact-ancestor branch name
refs/tags/codex/archive-branch-20260925-gurobi-primary-20260906	a8102d10607c20e4b1b3f80f790ba380a5a04d8f	codex/gurobi-primary-20260906	archived exact-ancestor branch name
refs/tags/codex/archive-branch-20260925-highs-baseline-20260906	2d39eaab5c5b9098ae205515a7a6df1204921d3a	codex/highs-baseline-20260906	archived exact-ancestor branch name
refs/tags/codex/archive-branch-20260925-issue18-clean	85fd6a85cfef898183ea0bd9075aaed2a81ca7ad	codex/issue18-clean	archived exact-ancestor branch name
refs/tags/codex/archive-branch-20260925-small-exact-threshold-20260903	9bdbb17d14f068745b198d4ade81e062addc62b4	codex/small-exact-threshold-20260903	archived exact-ancestor branch name
