cell,stage,job_id,array_job_id,array_task_id,restart,state,returncode,started_utc,finished_utc,receipt_path,receipt_sha256
loc_flat,cleanup,498926,,,0,finished,0,2026-09-26T00:56:43.459983+00:00,2026-09-26T01:04:35.269730+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_flat/cleanup/job498926_r0/attempt.json,4418a4e39a85934d0be634616a88c03419235828c87491688c2bf72aa9940c77
loc_flat,fixed_duty,499058,498918,7,0,finished,0,2026-09-25T22:17:53.643182+00:00,2026-09-25T22:25:39.699894+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_flat/fixed_duty/job499058_r0/attempt.json,8166d4876b3c26b930029e949574df08cc63973d06bfcc8313e2bcbe29206745
loc_flat,fresh_cg_fallback,498926,,,0,finished,0,2026-09-25T23:56:27.116281+00:00,2026-09-26T00:56:42.535565+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_flat/fresh_cg/job498926_r0/attempt.json,270823215c08cb02b643bc88d4f19dc65fb57d9229585aac42c1993ac6bc87fe
loc_flat,fresh_cg,499001,498917,7,0,failed,3,2026-09-25T22:17:47.806785+00:00,2026-09-25T23:56:00.646255+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_flat/fresh_cg/job499001_r0/attempt.json,f028bb349c607d8e1476cf560e64d90e3b5e319a3d60cf7089d524d2e7368b71
loc_spatial_3127L_x0p25,cleanup,498927,,,0,finished,0,2026-09-26T00:22:47.427672+00:00,2026-09-26T01:35:42.409530+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x0p25/cleanup/job498927_r0/attempt.json,a6f3aa1b87aaf649c331e2cbabcec352b542d5d0fd10482c35b3f403eab022d7
loc_spatial_3127L_x0p25,fixed_duty,499059,498918,8,0,finished,0,2026-09-25T22:17:53.705360+00:00,2026-09-25T22:24:14.736620+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x0p25/fixed_duty/job499059_r0/attempt.json,b6e95fb56bf5024fad0e4dccbc7a05770df6ab8ab0d3a4eddac1dc2dd8122880
loc_spatial_3127L_x0p25,fresh_cg,499002,498917,8,0,finished,0,2026-09-25T22:17:48.232533+00:00,2026-09-26T00:21:45.160597+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x0p25/fresh_cg/job499002_r0/attempt.json,d98a35ae9d1097ac0ed50b85654ca3f6d5bc0dd4c1dffdd528f54aaf428d2b99
loc_spatial_3127L_x2p00,cleanup,498928,,,0,finished,0,2026-09-25T23:24:27.273974+00:00,2026-09-25T23:36:12.064613+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x2p00/cleanup/job498928_r0/attempt.json,d230dbd7e0da12b8a7becc0193ac0a4c01329e06883dc715cbbe86c1f5cfeb4a
loc_spatial_3127L_x2p00,fixed_duty,499060,498918,9,0,finished,0,2026-09-25T22:17:56.600571+00:00,2026-09-25T22:26:36.807426+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x2p00/fixed_duty/job499060_r0/attempt.json,b500e99f3dbcbce89ef4e66aba39cded064cfea46bfe66910844ed77d066088a
loc_spatial_3127L_x2p00,fresh_cg,499003,498917,9,0,finished,0,2026-09-25T22:17:47.516863+00:00,2026-09-25T23:23:35.099963+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x2p00/fresh_cg/job499003_r0/attempt.json,193431cc059ca208951f1bbb5553bd6a8b87e30fdda4df8f53b7add757a7f3f3
loc_spatial_7880C_x0p25,cleanup,498929,,,0,finished,0,2026-09-25T22:47:29.199247+00:00,2026-09-25T23:00:51.567383+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_7880C_x0p25/cleanup/job498929_r0/attempt.json,bfe757fceb1342a45804baecc85a4dc739a96b2c7bfc1d435f50c652732c6b78
loc_spatial_7880C_x0p25,fixed_duty,499061,498918,10,0,finished,0,2026-09-25T22:17:56.489406+00:00,2026-09-25T22:24:24.883277+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_7880C_x0p25/fixed_duty/job499061_r0/attempt.json,b164e8b7859159f3ae7ff96578a7a7be2e3c580194e2069fec52774da064807e
loc_spatial_7880C_x0p25,fresh_cg,499004,498917,10,0,finished,0,2026-09-25T22:17:47.636737+00:00,2026-09-25T22:46:21.194847+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_7880C_x0p25/fresh_cg/job499004_r0/attempt.json,ca144892535354cce113b815ad7783818af1fb2a05f7b664c7855fc23a92f4ee
loc_spatial_7880C_x2p00,cleanup,498930,,,0,finished,0,2026-09-26T00:56:18.619672+00:00,2026-09-26T01:03:46.251709+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_7880C_x2p00/cleanup/job498930_r0/attempt.json,4a3afcd5d87e6e7d1ca1b6d8e3819ebaa62017688ed767ed5422b8e8a5668f25
loc_spatial_7880C_x2p00,fixed_duty,499062,498918,11,0,finished,0,2026-09-25T22:17:56.510418+00:00,2026-09-25T22:24:58.042911+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_7880C_x2p00/fixed_duty/job499062_r0/attempt.json,94decac50ad8eaa02ef9f2e5dcf865f271ab9a596f5604e99011dcfff4c35cec
loc_spatial_7880C_x2p00,fresh_cg_fallback,498930,,,0,finished,0,2026-09-25T23:56:00.936367+00:00,2026-09-26T00:56:17.463706+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_7880C_x2p00/fresh_cg/job498930_r0/attempt.json,e335561d2d781d9f30015c401eb9d663a5f4d04b67a26e64842513abb85a36c9
loc_spatial_7880C_x2p00,fresh_cg,499005,498917,11,0,failed,3,2026-09-25T22:17:47.974588+00:00,2026-09-25T23:55:15.555467+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_7880C_x2p00/fresh_cg/job499005_r0/attempt.json,2ac4a1aa99fe0d635c68899e976a78614f427a339f585fb88b83e04380f677d7
