root_label,cell,idx,cohort,execution_commit,instance_sha256,tariff_sha256,aggregate_terminal_target_kwh,fleet_cap,original_cg_pricing_certified,original_cg_stop,original_cg_seconds,original_cg_weighted_full_graph_lp_bound,original_cg_fractional_route_weight,original_cg_selection_state,original_fleet_status,original_fleet_buses,original_finite_pool_fleet_bound,original_charging_status,original_charging_cost,original_charging_bound,fixed_fleet_status,fixed_fleet,fixed_finite_frontier_fleet_bound,fixed_charging_status,fixed_charging_grid_cost,fixed_charging_grid_bound,fixed_continuous_cost,fixed_exact_once_verified,fixed_proof_scope,post_branch,post_state,post_job_id,source_pool_type,fallback_added,fallback_pool_fresh_columns,fallback_pool_fixed_frontier_columns,fallback_selected_fresh_only,fallback_selected_fixed_only,fallback_selected_both,fallback_all_selected_giro_sequences,source_pool_fleet_status,source_pool_fleet,source_pool_charging_status,source_pool_charging_grid_cost,source_pool_charging_grid_bound,cleanup_returncode,cleanup_summary_present,cleanup_fleet_status,cleanup_fleet,cleanup_finite_pool_fleet_bound,cleanup_charging_status,cleanup_charging_grid_cost,cleanup_charging_grid_bound,cleanup_continuous_cost,cleanup_exact_once_verified,cleanup_individual_replay_verified,cleanup_shared_capacity_validated,cleanup_proof_scope,cleanup_input_duplicate_trip_count,cleanup_generated_sequences,attempt_receipt_count,stale_running_attempt_receipts,fresh_cg_max_restart,fixed_max_restart,original_summary_path,original_summary_sha256,fixed_summary_path,fixed_summary_sha256,source_pool_summary_path,source_pool_summary_sha256,cleanup_summary_path,cleanup_summary_sha256,post_receipt_path,post_receipt_sha256
expansion,r21_flat,0,route21,4a8b497e668be9962bca5906a8b69116fa634882,b386f8a16958d25c857297ac4643bf6c73ae2114557c585446725cbd51c8b64d,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,280.7833253,5,True,pricing_certified,925.5813822969794,500190.8452577678,5.000000000000002,selected,OPTIMAL,5,5.0,OPTIMAL,229.39999647345095,229.39999647345095,OPTIMAL,5,5.0,OPTIMAL,190.9600000000064,190.9600000000064,187.71318256160885,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,cleanup,finished,498919,pure fresh CG,False,,,,,,,OPTIMAL,5,OPTIMAL,229.39999647345095,229.39999647345095,0,True,OPTIMAL,5,5.0,TIME_LIMIT,196.9118895959515,196.7972577705696,193.4469425615971,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,4,17,3,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_flat/fresh_cg/job499031_r0/out/summary.json,d7b89a355ad98bd8b797d479fdc3c550eb194484a9aafe309305a5a027a422d0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_flat/fixed_duty/job499051_r0/out/summary.json,76bd4c768bda154754092499432111be6e49fc8eaccc9ec34998721cce7be296,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_flat/fresh_cg/job499031_r0/out/summary.json,d7b89a355ad98bd8b797d479fdc3c550eb194484a9aafe309305a5a027a422d0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_flat/cleanup/job498919_r0/out/summary.json,6f9ec1d3092dd468e5f89b3d63b8340cc5803c010551e8a8689c3612ee74404b,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/r21_flat/job498919_r0.json,86bf9f0f341b5ad2db4e47e530b017845a8e9196157d9670337424132e72e7d4
expansion,r21_spatial_2190L_x0p25,1,route21,4a8b497e668be9962bca5906a8b69116fa634882,b386f8a16958d25c857297ac4643bf6c73ae2114557c585446725cbd51c8b64d,e820429d44b6b8adfdfdbd08e4b41e0e7f6ac1b0d0aeb78edb94f8fcb50ace89,280.7833253,5,True,pricing_certified,596.2530584903434,500047.71131443983,4.999999999999999,no_selection,INFEASIBLE,,,missing,,,OPTIMAL,5,5.0,OPTIMAL,53.31999999999243,53.31999999999243,52.393719565996435,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,fallback_then_cleanup,finished,498920,fresh CG + GIRO fixed-duty frontier columns,True,16982,487,0,5,0,True,OPTIMAL,5,OPTIMAL,53.31999999999243,53.31999999999243,0,True,OPTIMAL,5,5.0,OPTIMAL,53.31999999999243,53.31999999999243,52.393719565996435,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,0,5,4,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_2190L_x0p25/fresh_cg/job499032_r0/out/summary.json,283fba213be9a83ace8fa213f402e0cfbafbb81620554c9b2024d20e9f792df9,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_2190L_x0p25/fixed_duty/job499052_r0/out/summary.json,81543ea7e523785853ea5348ae0656f23ddabec2ee80963af89b5d5574bf8f9a,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_2190L_x0p25/fresh_cg/job498920_r0/out/summary.json,f0274c7aa4983af12d902f1f19074dc52d3b000c2b52cfb36e594d44c97a4903,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_2190L_x0p25/cleanup/job498920_r0/out/summary.json,0137fb8b0aa1067b7e5e53895c98660db4c0bf7a42f219d033cd365598ac7302,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/r21_spatial_2190L_x0p25/job498920_r0.json,6042bc02554f75cab7a29533de84fb3b28707af4f1df638da8dcf5f4dfab9df6
expansion,r21_spatial_2190L_x2p00,2,route21,4a8b497e668be9962bca5906a8b69116fa634882,b386f8a16958d25c857297ac4643bf6c73ae2114557c585446725cbd51c8b64d,71d545064b64443c969c59e8ce7631782e86ff92df53b3517d2db417afe1861f,280.7833253,5,True,pricing_certified,582.4419570490718,500218.9456418194,5.0,selected,OPTIMAL,5,5.0,OPTIMAL,247.2560000000085,247.2560000000085,OPTIMAL,5,5.0,OPTIMAL,236.34399999999732,236.34399999999732,232.74601446240558,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,cleanup,finished,498921,pure fresh CG,False,,,,,,,OPTIMAL,5,OPTIMAL,247.2560000000085,247.2560000000085,0,True,OPTIMAL,5,5.0,OPTIMAL,227.16799999999057,227.16799999999057,222.5651185119932,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,2,10,3,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_2190L_x2p00/fresh_cg/job499033_r0/out/summary.json,7e31e093d2e65f878a9f4fc123dc14e964ebffea4b189ffd1b420512e7b26da0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_2190L_x2p00/fixed_duty/job499053_r0/out/summary.json,eacd6426580ba9d6e14dddf907d6cee82190c03b7d70628e1f1373e77580da3d,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_2190L_x2p00/fresh_cg/job499033_r0/out/summary.json,7e31e093d2e65f878a9f4fc123dc14e964ebffea4b189ffd1b420512e7b26da0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_2190L_x2p00/cleanup/job498921_r0/out/summary.json,0df982f1056e13fca3a6f6d54700d569ee4bfc609654f534f7de16c51cda5aaf,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/r21_spatial_2190L_x2p00/job498921_r0.json,b585be6a9664201770278fcb59faf3ad2d76e2d0a31442af1e0c760891befafe
expansion,r21_spatial_4808_x0p25,3,route21,4a8b497e668be9962bca5906a8b69116fa634882,b386f8a16958d25c857297ac4643bf6c73ae2114557c585446725cbd51c8b64d,315eaa65f0a6ef76bf183cf5f143a27e2f985b7aa5e851dc78b8429db40f7695,280.7833253,5,True,pricing_certified,623.1009517125785,500060.5594504546,5.0,selected,OPTIMAL,5,5.0,OPTIMAL,62.30999999999767,62.30999999999767,OPTIMAL,5,5.0,OPTIMAL,81.65400000000955,81.65400000000955,80.80410361559188,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,cleanup,finished,498922,pure fresh CG,False,,,,,,,OPTIMAL,5,OPTIMAL,62.30999999999767,62.30999999999767,0,True,OPTIMAL,5,5.0,OPTIMAL,61.00799999998708,61.00799999998708,59.939119628004846,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,0,5,3,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_4808_x0p25/fresh_cg/job499034_r0/out/summary.json,e4acda6560624e5886943bfac69bc03cdfbb865892e7d8c2d7b16df7dfee9a5b,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_4808_x0p25/fixed_duty/job499054_r0/out/summary.json,cdc142c6c44e81f46da9e4d7e787ad24882226d5a2949de042fb04e76aa04a05,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_4808_x0p25/fresh_cg/job499034_r0/out/summary.json,e4acda6560624e5886943bfac69bc03cdfbb865892e7d8c2d7b16df7dfee9a5b,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_4808_x0p25/cleanup/job498922_r0/out/summary.json,7714737f9d7de8cffee6c3c688c07b13f5cf713fee45113bbb12fca0a19990cd,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/r21_spatial_4808_x0p25/job498922_r0.json,0e6411d6aa440a923525afde3459ecc1ef5b155e449952148daab12c98b502be
expansion,r21_spatial_4808_x2p00,4,route21,4a8b497e668be9962bca5906a8b69116fa634882,b386f8a16958d25c857297ac4643bf6c73ae2114557c585446725cbd51c8b64d,2a75f2e96639b55fe194fade4e9eb7ada53cd6822d5a01db0749c47d068ab3b1,280.7833253,5,True,pricing_certified,943.964598934981,500190.8452577658,5.000000000000001,selected,OPTIMAL,5,5.0,OPTIMAL,209.3120000000199,209.3120000000199,OPTIMAL,5,5.0,OPTIMAL,198.40000000000873,198.40000000000873,194.8476463631814,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,cleanup,finished,498923,pure fresh CG,False,,,,,,,OPTIMAL,5,OPTIMAL,209.3120000000199,209.3120000000199,0,True,OPTIMAL,5,5.0,TIME_LIMIT,190.95988818901168,190.84525777057476,187.7131825615943,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,3,16,3,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_4808_x2p00/fresh_cg/job499035_r0/out/summary.json,f36153273928c931f457fbdcc511649665d7435f5d1a99bf5bfdf721824b9311,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_4808_x2p00/fixed_duty/job499055_r0/out/summary.json,76baa4012368a14430e66e395557802549a972c056490e382a93d82fd02525a7,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_4808_x2p00/fresh_cg/job499035_r0/out/summary.json,f36153273928c931f457fbdcc511649665d7435f5d1a99bf5bfdf721824b9311,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_4808_x2p00/cleanup/job498923_r0/out/summary.json,a79a32edabcb59f8ca39f765a750198c030e798c088a9dc2277d9e28771b7b5e,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/r21_spatial_4808_x2p00/job498923_r0.json,8d45c075026d81a61230da1d86852686ae7374ff68c2aabba386c68995f88902
expansion,r21_spatial_PARX_x0p25,5,route21,4a8b497e668be9962bca5906a8b69116fa634882,b386f8a16958d25c857297ac4643bf6c73ae2114557c585446725cbd51c8b64d,30515b5b7702edd4cfe513bb957d1f76c4f09681194e9d4fc28f6bc32924846d,280.7833253,5,True,pricing_certified,915.3040113840252,500120.375314442,5.0,selected,OPTIMAL,5,5.0,OPTIMAL,120.403999999995,120.403999999995,OPTIMAL,5,5.0,OPTIMAL,170.5,170.5,167.22987053680117,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,cleanup,finished,498924,pure fresh CG,False,,,,,,,OPTIMAL,5,OPTIMAL,120.403999999995,120.403999999995,0,True,OPTIMAL,5,5.0,OPTIMAL,120.40399194598348,120.40399194598348,116.79832692121272,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,0,5,3,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_PARX_x0p25/fresh_cg/job499036_r0/out/summary.json,879f55fe890ed0927a2b5c64461c4018fea7e4d9be3325313958e5e275f094ab,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_PARX_x0p25/fixed_duty/job499056_r0/out/summary.json,ca328659e6b0226e0586beeb244d4c3b94872d96b1dfe3dd6172f513e8897b97,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_PARX_x0p25/fresh_cg/job499036_r0/out/summary.json,879f55fe890ed0927a2b5c64461c4018fea7e4d9be3325313958e5e275f094ab,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_PARX_x0p25/cleanup/job498924_r0/out/summary.json,38e0d02a51910df7c67ec920206c3491f6c34981a0316dcd4126d6cc61de4af5,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/r21_spatial_PARX_x0p25/job498924_r0.json,c9d14232014c61fc3a753f9e650697ac393b0cf95a77a4c9bfa28cb1b68b1e64
expansion,r21_spatial_PARX_x2p00,6,route21,4a8b497e668be9962bca5906a8b69116fa634882,b386f8a16958d25c857297ac4643bf6c73ae2114557c585446725cbd51c8b64d,85732e6e87c414da05e62821a58162141467ae5d3470fbcbf694449388db42d5,280.7833253,5,True,pricing_certified,1040.0529338084161,500190.8452577681,4.9999999999999885,selected,OPTIMAL,5,5.0,OPTIMAL,232.12799999999697,232.12799999999697,OPTIMAL,5,5.0,OPTIMAL,190.9599999999773,190.9599999999773,187.7131825615943,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,cleanup,finished,498925,pure fresh CG,False,,,,,,,OPTIMAL,5,OPTIMAL,232.12799999999697,232.12799999999697,0,True,OPTIMAL,5,5.0,TIME_LIMIT,196.91189650900685,196.7972577707409,193.4469425615971,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,5,31,3,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_PARX_x2p00/fresh_cg/job499037_r0/out/summary.json,a4e27c0827278774accb037e91a84f43077eca864e6e3d960b973d7830139ead,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_PARX_x2p00/fixed_duty/job499057_r0/out/summary.json,e64d8d4d2ad6e2093d000518c68ebae8aa620afff3daec62e0d5086ed4c3203c,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_PARX_x2p00/fresh_cg/job499037_r0/out/summary.json,a4e27c0827278774accb037e91a84f43077eca864e6e3d960b973d7830139ead,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/r21_spatial_PARX_x2p00/cleanup/job498925_r0/out/summary.json,bcf5bb65aa27839396354410d0a13cfb6643d39764ef07a3b3c1768044f91d67,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/r21_spatial_PARX_x2p00/job498925_r0.json,e37125aa9a08d140f8ad626abb9d725d815b13ab7c87c0a703269900e87eafcf
expansion,loc_flat,7,local18E2,4a8b497e668be9962bca5906a8b69116fa634882,59f6a937b4299a53574375c3f7f822227bf7a93b9bd221642c1f47ebdf81aa40,59a9d3b7c1516b19b56267de7309cfe014a13f84b8b390738754a5f652f451f3,397.91849548,5,True,pricing_certified,3540.8790007377975,500120.2788588578,4.999999999999968,no_selection,TIME_LIMIT,,5.000000000000032,missing,,,OPTIMAL,5,5.0,OPTIMAL,125.23999999997613,125.23999999997613,114.13237651475356,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,fallback_then_cleanup,finished,498926,fresh CG + GIRO fixed-duty frontier columns,True,61958,597,0,5,0,True,OPTIMAL,5,TIME_LIMIT,125.24000000000524,125.23885887063479,0,True,OPTIMAL,5,5.0,OPTIMAL,125.23999999997613,125.23999999997613,114.13237651475356,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,0,5,4,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_flat/fresh_cg/job499001_r0/out/summary.json,0078d693c9cbaf9095e481eef4dd2a918ef5e42a9b7f506d1729d9a4931fb3d3,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_flat/fixed_duty/job499058_r0/out/summary.json,ae30ae7a87554dfd5df6f9621d4d1ab7c3833e636f63fdba9d7f65624e9e8d1f,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_flat/fresh_cg/job498926_r0/out/summary.json,5a19f5b6772b5ea54f97d7200527ebc4596f2cc64a57ff11f87483e1c29fac82,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_flat/cleanup/job498926_r0/out/summary.json,b9d2cc8b4b03b26609d51089755ca6135775a2fa51ebb5db544afff9b1043925,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/loc_flat/job498926_r0.json,18ec6d83005337f31613d264964a1a00c759e0640b366fa4f1289fac75eb4d0d
expansion,loc_spatial_3127L_x0p25,8,local18E2,4a8b497e668be9962bca5906a8b69116fa634882,59f6a937b4299a53574375c3f7f822227bf7a93b9bd221642c1f47ebdf81aa40,fe6c9f65058e692fc297cc07a533234258410cf784f9771459919ac7dad9f97c,397.91849548,5,True,pricing_certified,3507.332327858079,500030.0697146914,4.999999999999966,selected,OPTIMAL,5,5.0,TIME_LIMIT,36.08399330054492,36.06523871022223,OPTIMAL,5,5.0,OPTIMAL,37.447999999989406,37.447999999989406,33.7822619893268,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,cleanup,finished,498927,pure fresh CG,False,,,,,,,OPTIMAL,5,TIME_LIMIT,36.08399330054492,36.06523871022223,0,True,OPTIMAL,5,5.0,TIME_LIMIT,31.247967025893978,31.228618695303993,28.529969333671033,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,11,585,3,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x0p25/fresh_cg/job499002_r0/out/summary.json,4f0c1afa81fdc55798c2fcdf3cbce544d8c775ed367736705c4f7175c5b2b643,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x0p25/fixed_duty/job499059_r0/out/summary.json,cfe2d228ab55d9d8332845cb9528b46ae32ad427a012892e0945a6db883209d4,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x0p25/fresh_cg/job499002_r0/out/summary.json,4f0c1afa81fdc55798c2fcdf3cbce544d8c775ed367736705c4f7175c5b2b643,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x0p25/cleanup/job498927_r0/out/summary.json,6a397d1e1ae380631178b47ec702c4a628f54e6027e6cf1d40e3df8a7082c638,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/loc_spatial_3127L_x0p25/job498927_r0.json,1d78eaadd84c951d6ec199de10aa5a66840a797335eeb58cde093b2d4e250e0e
expansion,loc_spatial_3127L_x2p00,9,local18E2,4a8b497e668be9962bca5906a8b69116fa634882,59f6a937b4299a53574375c3f7f822227bf7a93b9bd221642c1f47ebdf81aa40,f2fc9f447685ee9f670047ae29817d8840874bbfa3e197dd301c5b78e7a89f3e,397.91849548,5,True,pricing_certified,2502.539434047416,500120.5460934982,4.9999999999999645,selected,OPTIMAL,5,5.0,OPTIMAL,131.9360000000015,131.9360000000015,OPTIMAL,5,5.0,OPTIMAL,126.72799999998824,126.72799999998824,116.52597349628923,True,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,cleanup,finished,498928,pure fresh CG,False,,,,,,,OPTIMAL,5,OPTIMAL,131.9360000000015,131.9360000000015,0,True,OPTIMAL,5,5.0,OPTIMAL,121.76799985216087,121.76799984806858,111.05380367506586,True,True,False,finite_frozen_pool_with_exact_once_trip_rows; no new CG certificate,3,13,3,0,0,0,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x2p00/fresh_cg/job499003_r0/out/summary.json,4c134372851996fa93c3fcd228a689b8e5a3f35b4177de97de4a12137a8161e2,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x2p00/fixed_duty/job499060_r0/out/summary.json,b63e5366fc9f75f2cd6719367b7fc455c63edc40b38e7180825b68b7719bf05f,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x2p00/fresh_cg/job499003_r0/out/summary.json,4c134372851996fa93c3fcd228a689b8e5a3f35b4177de97de4a12137a8161e2,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/loc_spatial_3127L_x2p00/cleanup/job498928_r0/out/summary.json,cc2b92c73ae712f06e0e1d0ba1c99a53e42b4588654de39b0e827ea7d2119df7,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/post_records/loc_spatial_3127L_x2p00/job498928_r0.json,34562bed32c4065683faecf07c20b761a929a44a49526eb5f4025938335794aa
