campaign_id,family,root,row_count,workflow_job_ids,report_links
capacity_deadline5_retry,production_or_historical,/home/nc437/ladder-lite/capacity_deadline5_retry_20260911_253588e,11,"[""872397"",""872398"",""872399"",""872400"",""872401"",""872402"",""872403"",""872404"",""872405"",""872406""]",[]
capacity_speed_pilot,controlled_physics_pilot,/home/nc437/ladder-lite/capacity_speed_pilot_20260910_v2_7d38efd,22,"[""772080"",""772082"",""772111"",""772112"",""772798"",""772826"",""772985"",""773334"",""773335"",""773336"",""773337"",""773338"",""773339"",""773341"",""773343"",""773437"",""773638"",""773706"",""773708"",""773710"",""773712"",""773714"",""774569""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/parallel_research_20260911/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/capacity_speed/IMPLEMENTATION_REPORT.md""]"
capacity_timeout6_rerun,production_or_historical,/home/nc437/ladder-lite/capacity_speed_pilot_20260910_timeout6_rerun_7d38ef,5,"[""772080"",""811181"",""811182"",""811184"",""811192""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/parallel_research_20260911/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/parallel_research_20260911/results_20260911T1236Z/TIMEOUT_CHECKPOINT_FIX.md""]"
controlled_comparison_20260913,production_or_historical,/home/nc437/ladder-lite/controlled_comparison_20260913,93,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/controlled_comparison_20260913/doc_after.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/zero_charge_start_fee_20260913/doc_before.md""]"
covering_complement75,production_or_historical,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb,232,"[""810454"",""810588"",""810589"",""812608"",""812619"",""812766"",""812767""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_multichain_p1246/README.md""]"
covering_rerun9,production_or_historical,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb,32,"[""657972"",""659482"",""659492"",""669246"",""676020""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/covering_rerun9/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/RESEARCH_INDEX.md""]"
easy_k10_raw_split_replay,production_or_historical,/home/nc437/ladder-lite/easy_k10_raw_split_replay_20260908_9665429,2,"[""592976""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0515Z.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/comment_response_evidence.md""]"
easy_raw6,production_or_historical,/home/nc437/ladder-lite/easy_trip_ladder_raw6_20260908_aaf83f6,19,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/EASY_LADDER_PLAN.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260908T1752Z.md""]"
full_pool_recovery_20260912,production_or_historical,/home/nc437/ladder-lite/full_pool_recovery_20260912,115,"[""41567"",""41568"",""41569"",""41573"",""41574"",""41575"",""41576"",""41577"",""41578"",""41579"",""41580"",""41581"",""41582"",""41583"",""41584"",""41585"",""41586"",""41587"",""41588"",""41589"",""41590"",""41591"",""41592"",""41593"",""41594"",""41595"",""41596"",""41597"",""41598"",""41599"",""41600"",""41601"",""41602"",""41603"",""41604"",""41605"",""41606"",""41607"",""41608"",""41609"",""41610"",""41611"",""41612"",""41613"",""41614"",""41615"",""41616"",""41617"",""41618"",""41619"",""41620"",""41621"",""41622"",""41623"",""41624"",""41625"",""41626"",""41627"",""41628"",""41629"",""41630"",""41631"",""41632"",""41633"",""41634"",""41635"",""41636"",""41637"",""41638"",""41639"",""41640"",""41641"",""41642"",""41643""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/queue_recovery_20260912/README.md""]"
giro_small_cg_capacity_duals,small_reference_cg,/home/nc437/ladder-lite/giro_small_cg_capacity_duals_20260909,80,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_k23_capacity_duals/README.md""]"
giro_small_cg_newphysics,small_reference_cg,/home/nc437/ladder-lite/giro_small_cg_20260909,80,[],[]
giro_zero_start_fee_20260913,giro_zero_fee_comparison,/home/nc437/ladder-lite/giro_zero_start_fee_20260913,20,"[""114100"",""114101"",""114102"",""114103"",""114104"",""114105"",""114106"",""114107"",""114108"",""114109"",""114110"",""114111""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/zero_charge_start_fee_20260913/giro/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/zero_charge_start_fee_20260913/giro/worker_path_audit.md""]"
graph_recovery_20260912,production_or_historical,/home/nc437/ladder-lite/graph_recovery_20260912,5,"[""41644"",""41645"",""41646"",""41647"",""41648"",""41649"",""41650"",""41651"",""41652"",""41653"",""41654"",""41655"",""41656"",""41660"",""41661"",""41662"",""41663"",""41664"",""41665"",""41666"",""41667"",""41668"",""41669"",""41670""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/queue_recovery_20260912/README.md""]"
graph_recovery_retry2_20260912,production_or_historical,/home/nc437/ladder-lite/graph_recovery_retry2_20260912,10,"[""41644"",""41645"",""41646"",""41647"",""41648"",""41649"",""41650"",""41651"",""41652"",""41653"",""41654"",""41655"",""41656"",""41660"",""41661"",""41662"",""41663"",""41664"",""41665"",""41666"",""41667"",""41668"",""41669"",""41670"",""42508"",""42509"",""42510"",""42511"",""42512"",""42513"",""42514"",""42515"",""42516"",""42517"",""42518"",""42519"",""42520"",""42521"",""42522"",""42523"",""42524"",""42525"",""42526"",""42527"",""42528"",""42529"",""42530"",""42531""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/queue_recovery_20260912/README.md""]"
greedy_event4,production_or_historical,/home/nc437/ladder-lite/greedy_event4_eaca565,14,"[""592992"",""592993""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0125Z.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0300Z.md""]"
heavy_raw6,production_or_historical,/home/nc437/ladder-lite/heavy_trip_ladder_raw6_20260908_9665429,19,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0228Z.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0717Z.md""]"
historical_cover_controls,production_or_historical,/home/nc437/ladder-lite/historical_cover_controls_20260909_bead344,5,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/RESEARCH_INDEX.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/full_cache_witness_audit/LEGACY_SUMMARY.md""]"
legacy_selected10_current2,production_or_historical,/home/nc437/ladder-lite/legacy_selected10_current2_20260908_bead344,7,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/EASY_LADDER_PLAN.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260908T1752Z.md""]"
matched_tariff8,production_or_historical,/home/nc437/ladder-lite/matched_tariff8_20260908_a9a9720,49,"[""583447""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/TARIFF_EXPERIMENT_PLAN.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260908T1752Z.md""]"
matched_tariff_peak12_peak18,production_or_historical,/home/nc437/ladder-lite/matched_tariff_peak12_peak18_a6e5059,50,"[""592644"",""592645""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/TARIFF_EXTENSION_REVIEW.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0053Z.md""]"
nested84,production_or_historical,/home/nc437/ladder-lite/nested_probability_k2_15_fresh84_20260908_21fbecb,253,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/storage_cleanup_20260911/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_chain_p5/README.md""]"
nested_replication42,production_or_historical,/home/nc437/ladder-lite/nested_replication_p7_20_fresh42_20260909_0209d3e,127,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0617Z.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0717Z.md""]"
old70,production_or_historical,/home/nc437/ladder-lite/threshold_9_15_event_20260904_9bdbb17/pool_mip8h_20260908_2d7a21a07e,38,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/ACTION_PLAN.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/HISTORY_EVIDENCE.md""]"
overnight_cpu04_raw_controls,production_or_historical,/home/nc437/ladder-lite/overnight_cpu04_raw_controls_20260909,3,"[""598960"",""598961""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0515Z.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260909T0617Z.md""]"
overnight_extension_20260912,production_or_historical,/home/nc437/ladder-lite/overnight_extension_20260912,238,"[""949572"",""949623"",""949624"",""949635"",""949636"",""949637"",""949638"",""949639"",""949680"",""949681"",""949682"",""949683"",""949684"",""949685"",""949686"",""949687"",""949688"",""949689"",""949690"",""949691"",""949692"",""949693"",""949694"",""949695"",""949696"",""949697"",""949698"",""949699"",""949700"",""949701"",""949702"",""949703"",""949704"",""949705"",""949706"",""949707"",""949708"",""949709"",""949710"",""949711"",""949712"",""949713"",""949714"",""949715"",""949716"",""949717"",""949718"",""949719"",""949720"",""949721"",""949722"",""949723"",""949724"",""949725"",""949726"",""949727"",""949728"",""949729"",""949730"",""949731"",""949732"",""949733"",""949734"",""949735"",""949736"",""949737"",""949738"",""949739"",""949740"",""949741"",""949742"",""949743"",""949744"",""949745"",""949746"",""949747"",""949748"",""949749"",""949750"",""949751"",""949752"",""949753"",""949754"",""949755"",""949756"",""949757"",""949758"",""949759"",""949760"",""949761"",""949763"",""949764"",""949765"",""949766"",""949767"",""949768"",""949769""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/queue_recovery_20260912/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/storage_cleanup_20260912/README.md""]"
post_meeting_log_tails,solver_progress_log,/home/nc437/ladder-lite/stage2_cap_license_recovery_20260910_871d057,2,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/license_and_mip_recovery/STATUS.md""]"
queue_recovery_20260912,production_or_historical,/home/nc437/ladder-lite/queue_recovery_20260912,5,"[""37534"",""37583"",""37584"",""37585"",""39577"",""810296"",""810319"",""810320"",""810952"",""810953"",""810954"",""810955"",""810956"",""810957"",""810958"",""810959"",""810975"",""810994"",""810995"",""949704"",""949705"",""949706"",""949749"",""949750"",""949752"",""949754"",""949756"",""949757"",""949758"",""949759"",""949760"",""949761"",""949763"",""949764"",""949765"",""949767"",""949769""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/queue_recovery_20260912/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/controlled_comparison_20260913/doc_after.md""]"
scheduler_snapshot,scheduler,unknown,54,"[""42509"",""42512"",""42513"",""42514"",""42515"",""42516"",""42517"",""42518"",""42519"",""42520"",""42521"",""42522"",""42523"",""42524"",""42525"",""42526"",""42527"",""42528"",""42529"",""42530"",""42531"",""537227""]",[]
stage2_cap_license_recovery,production_or_historical,/home/nc437/ladder-lite/stage2_cap_license_recovery_20260910_871d057,3,"[""772009""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/license_and_mip_recovery/STATUS.md""]"
stage2_cap_saved_pool_reruns,production_or_historical,/home/nc437/ladder-lite/stage2_cap_saved_pool_reruns_20260910_15e781a,4,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260910T1829Z_heartbeat.md""]"
supplemental:chain2_recovery_manifest,supplemental_audit,unknown,1,"[""15687"",""949704"",""949705"",""949706""]",[]
supplemental:chain2_recovery_retry2_manifest,supplemental_audit,unknown,1,"[""15687"",""37532"",""37533"",""37534"",""949704"",""949705"",""949706""]",[]
supplemental:chain2_recovery_retry2_submission,supplemental_audit,unknown,1,"[""37583"",""37584"",""37585""]",[]
supplemental:chain2_recovery_submission,supplemental_audit,unknown,1,"[""37532"",""37533"",""37534""]",[]
supplemental:completed_parent_validation,supplemental_audit,unknown,1,[],[]
targeted_audit:april_source_replay,targeted_audit,/home/nc437/ladder-lite/april175_replay_20260909,4,"[""653567""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/april_source_replay/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/april_source_replay/SUBMISSION.md""]"
targeted_audit:full_cache_witness,targeted_audit,/home/nc437/ladder-lite/full_cache_witness_audit_20260909_1745,12,[],[]
targeted_audit:legacy_full_cache_witness,targeted_audit,/home/nc437/ladder-lite/full_cache_witness_legacy175_20260909_1755,4,[],[]
terminal_energy_fair,matched_terminal_energy,/home/nc437/ladder-lite/terminal_energy_fair_20260910_2424369,9,"[""778801"",""778802""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/parallel_research_20260911/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/terminal_energy/README.md""]"
terminal_energy_fair_mip_retry_5cdb813,production_or_historical,/home/nc437/ladder-lite/terminal_energy_fair_mip_retry_5cdb813_20260910,14,"[""778802"",""810459""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/parallel_research_20260911/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/document_cleanup_20260912/current_content_audit.md""]"
w2_chain_recovery_20260912,production_or_historical,/home/nc437/ladder-lite/w2_chain_recovery_20260912,2,"[""15687"",""37532"",""37533"",""37534"",""949704"",""949705"",""949706""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/queue_recovery_20260912/independent_classification.md""]"
w2_chain_recovery_retry2_20260912,production_or_historical,/home/nc437/ladder-lite/w2_chain_recovery_retry2_20260912,6,"[""15687"",""37532"",""37533"",""37534"",""37583"",""37584"",""37585"",""949704"",""949705"",""949706""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/queue_recovery_20260912/independent_classification.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/overnight_extension_20260912/RESULTS_20260912T193423Z.md""]"
w2_k14_import_fix_20260912,production_or_historical,/home/nc437/ladder-lite/w2_k14_import_fix_20260912,5,"[""15687"",""949701"",""949703"",""949704"",""949705"",""949706""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/w2_k14_import_timeout_review_20260912/retry/README.md""]"
warm_chain_p3_k2_10,production_or_historical,/home/nc437/ladder-lite/nested_warm_chain_p3_k2_10_20260909_8830a34,56,"[""676119"",""679879"",""679893"",""679894"",""679895"",""679896"",""679897"",""679898"",""679899"",""679900"",""679901"",""679933"",""679934"",""679935"",""679936"",""679937"",""679938"",""679939"",""679940"",""679941"",""679942"",""679943"",""679944"",""679945"",""679946"",""679947"",""679948"",""679949"",""679950"",""679993"",""687063"",""687297"",""687298"",""687299"",""687300"",""687301"",""687302"",""687303"",""687304"",""687305"",""687306"",""687307"",""687308"",""687309"",""687310""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_chain_status/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots/20260910T0415Z.md""]"
warm_chain_p5_k2_10,production_or_historical,/home/nc437/ladder-lite/nested_warm_chain_p5_k2_10_20260910_ecb60c1,64,"[""779026"",""779027"",""779028"",""779030"",""779031"",""779032"",""779033"",""779034"",""779035"",""779056"",""779057"",""779058"",""779059"",""779060"",""779061"",""779062"",""779063"",""779064"",""779065"",""779066"",""779067"",""779068"",""779069"",""779070"",""779071"",""779072"",""779073""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/document_cleanup_20260912/current_content_audit.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_chain_p5/resource_plan.md""]"
warm_multichain_p1246,production_or_historical,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1,240,"[""810283"",""810285"",""810287"",""810289"",""810291"",""810293"",""810296"",""810319"",""810320"",""810323"",""810324"",""810325"",""810328"",""810329"",""810330"",""810331"",""810332"",""810333"",""810335"",""810336"",""810337"",""810338"",""810339"",""810340"",""810341"",""810342"",""810344"",""810345"",""810346"",""810347"",""810348"",""810349"",""810350"",""810351"",""810353"",""810354"",""810931"",""810933"",""810944"",""810945"",""810946"",""810947"",""810948"",""810949"",""810950"",""810951"",""810952"",""810953"",""810954"",""810955"",""810956"",""810957"",""810958"",""810959"",""810960"",""810961"",""810962"",""810963"",""810964"",""810965"",""810966"",""810967"",""810968"",""810969"",""810970"",""810971"",""810972"",""810973"",""810974"",""810975"",""810976"",""810977"",""810978"",""810979"",""810980"",""810981"",""810982"",""810983"",""810984"",""810985"",""810986"",""810987"",""810988"",""810989"",""810990"",""810991"",""810992"",""810993"",""810994"",""810995"",""810996"",""810997"",""810998"",""810999"",""811001"",""811002"",""811003"",""811004"",""811005"",""811006"",""811007"",""811008"",""811009"",""811010"",""811011"",""811012"",""811013"",""811014""]","[""/Users/nadan/Documents/projects/demandresponse/outputs/parallel_research_20260911/README.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/warm_multichain_p1246/README.md""]"
zero_charge_start_fee_20260913,production_or_historical,/home/nc437/ladder-lite/zero_charge_start_fee_20260913,75,[],"[""/Users/nadan/Documents/projects/demandresponse/outputs/zero_charge_start_fee_20260913/doc_after.md"",""/Users/nadan/Documents/projects/demandresponse/outputs/zero_charge_start_fee_20260913/early_pairs.md""]"
