source_path	size_bytes	mtime_seconds	archive_path
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k20_s2__event_2p5_event5.pkl	8071201792	1788501673	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k20_s2__event_2p5_event5.pkl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s5__event_2p5_event5.pkl	5741221609	1788486978	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s5__event_2p5_event5.pkl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s4__event_2p5_event5.pkl	3434774480	1788477129	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s4__event_2p5_event5.pkl.gz
/home/nc437/ladder-lite/phys240kw/k08_s1_c1_g10.0_b5.json.columns.jsonl	1558712844	1787271878	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s1_c1_g10.0_b5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl	1148625629	1788612033	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k08_s1_c1_g10.0_b10.json.columns.jsonl	1085603659	1787271897	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s1_c1_g10.0_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k20_s3_c1_g2.5_b5.json.columns.jsonl	988007664	1787271891	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s3_c1_g2.5_b5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	954315654	1788523348	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl	928773933	1788537591	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k13_s3_c1_g2.5_b5.json.columns.jsonl	889726102	1787271872	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s3_c1_g2.5_b5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k13_s1_c1_g2.5_b10.json.columns.jsonl	867146347	1787271861	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s1_c1_g2.5_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k20_s2_c1_g10.0_b10.json.columns.jsonl	811505315	1787271900	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s2_c1_g10.0_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	799632648	1788523358	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s3__event_2p5_event5.json.columns.jsonl	745141112	1788525365	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s3__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k08_s2_c1_g10.0_b10.json.columns.jsonl	729168304	1787257828	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s2_c1_g10.0_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl	713119080	1788537576	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k08_s2_c1_g2.5_b5.json.columns.jsonl	710769868	1787248381	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s2_c1_g2.5_b5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k20_s2_c1_g2.5_b10.json.columns.jsonl	662632710	1787271888	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s2_c1_g2.5_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s5__event_2p5_event5.json.columns.jsonl	622397396	1788530240	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s5__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s1__event_2p5_event5.json.columns.jsonl	604607231	1788523398	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k20_s4__event_2p5_event5.json.columns.jsonl	567422738	1788612020	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s3__event_2p5_event5.json.columns.jsonl	533417418	1788525372	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s3__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k20_s3__event_2p5_event5.json.columns.jsonl	530616937	1788539044	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k20_s3__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k20_s2__event_2p5_event5.json.columns.jsonl	510808442	1788544940	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k20_s2__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s2__event_2p5_event5.json.columns.jsonl	451974448	1788520157	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s2__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b030_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl	442533923	1788520406	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b030_reduced/M__k13_s4__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k20_s5__event_2p5_event5.json.columns.jsonl	436229796	1788543734	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k20_s5__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b030_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	375317339	1788523404	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b030_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k20_s6__event_2p5_event5.json.columns.jsonl	336877257	1788537645	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b030_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl	299728111	1788611901	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b030_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k08_s3_c1_g2.5_b5.json.columns.jsonl	269799158	1787234365	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s3_c1_g2.5_b5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k05_s1_c1_g2.5_b10.json.columns.jsonl	197733352	1787229756	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k05_s1_c1_g2.5_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k05_s2_c1_g2.5_b5.json.columns.jsonl	143959906	1787230207	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k05_s2_c1_g2.5_b5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k03_s2_c1_g2.5_b10.json.columns.jsonl	53565487	1787229333	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k03_s2_c1_g2.5_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k02_s3_c1_g2.5_b5.json.columns.jsonl	38741328	1787229506	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k02_s3_c1_g2.5_b5.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k03_s2_c1_g10.0_b10.json.columns.jsonl	33568680	1787229002	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k03_s2_c1_g10.0_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k03_s3_c1_g10.0_b10.json.columns.jsonl	25475101	1787228790	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k03_s3_c1_g10.0_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k02_s1_c1_g10.0_b10.json.columns.jsonl	10432812	1787228806	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k02_s1_c1_g10.0_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k02_s2_c1_g2.5_b10.json.columns.jsonl	3516851	1787228756	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k02_s2_c1_g2.5_b10.json.columns.jsonl.gz
/home/nc437/ladder-lite/phys240kw/k02_s2_c1_g10.0_b10.json.columns.jsonl	2389802	1787228739	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k02_s2_c1_g10.0_b10.json.columns.jsonl.gz
