source_path	phase	source_sha256	source_size_bytes	archive_path	archive_sha256	archive_size_bytes	event_utc
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k20_s2__event_2p5_event5.pkl	failed		8071201792	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k20_s2__event_2p5_event5.pkl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s5__event_2p5_event5.pkl	failed		5741221609	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s5__event_2p5_event5.pkl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/network_cache/M__k13_s4__event_2p5_event5.pkl	failed		3434774480	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/network_cache/M__k13_s4__event_2p5_event5.pkl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k08_s1_c1_g10.0_b5.json.columns.jsonl	failed		1558712844	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s1_c1_g10.0_b5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl	failed		1148625629	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k08_s1_c1_g10.0_b10.json.columns.jsonl	failed		1085603659	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s1_c1_g10.0_b10.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/phys240kw/k20_s3_c1_g2.5_b5.json.columns.jsonl	failed		988007664	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s3_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	failed		954315654	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:38Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b200_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl	failed		928773933	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b200_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/phys240kw/k13_s3_c1_g2.5_b5.json.columns.jsonl	failed		889726102	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s3_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/phys240kw/k13_s1_c1_g2.5_b10.json.columns.jsonl	failed		867146347	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k13_s1_c1_g2.5_b10.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/phys240kw/k20_s2_c1_g10.0_b10.json.columns.jsonl	failed		811505315	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s2_c1_g10.0_b10.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl	failed		799632648	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s3__event_2p5_event5.json.columns.jsonl	failed		745141112	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s3__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/phys240kw/k08_s2_c1_g10.0_b10.json.columns.jsonl	failed		729168304	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s2_c1_g10.0_b10.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl	failed		713119080	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k20_s6__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/phys240kw/k08_s2_c1_g2.5_b5.json.columns.jsonl	failed		710769868	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k08_s2_c1_g2.5_b5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/phys240kw/k20_s2_c1_g2.5_b10.json.columns.jsonl	failed		662632710	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/phys240kw/k20_s2_c1_g2.5_b10.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_reduced/M__k13_s5__event_2p5_event5.json.columns.jsonl	failed		622397396	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_reduced/M__k13_s5__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s1__event_2p5_event5.json.columns.jsonl	failed		604607231	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s1__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k20_s4__event_2p5_event5.json.columns.jsonl	failed		567422738	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k20_s4__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:39Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s3__event_2p5_event5.json.columns.jsonl	failed		533417418	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s3__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k20_s3__event_2p5_event5.json.columns.jsonl	failed		530616937	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k20_s3__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b060_reduced/M__k20_s2__event_2p5_event5.json.columns.jsonl	failed		510808442	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b060_reduced/M__k20_s2__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
/home/nc437/ladder-lite/cg_acceleration_20260903/cg/b120_complementary/M__k13_s2__event_2p5_event5.json.columns.jsonl	failed		451974448	/home/nc437/ladder-lite/storage_cleanup_20260912_archive/cg_acceleration_20260903/cg/b120_complementary/M__k13_s2__event_2p5_event5.json.columns.jsonl.gz			2026-09-12T04:25:40Z
