JobID|State|Elapsed|MaxRSS|ReqMem
228593_0|COMPLETED|15:12:49||64G
228593_0.batch|COMPLETED|15:12:49|38267052K|
228593_0.extern|COMPLETED|15:12:49||
228593_1|COMPLETED|14:16:45||64G
228593_1.batch|COMPLETED|14:16:45|53792496K|
228593_1.extern|COMPLETED|14:16:45||
228593_2|COMPLETED|12:31:47||64G
228593_2.batch|COMPLETED|12:31:47|44640388K|
228593_2.extern|COMPLETED|12:31:47||
228593_3|COMPLETED|13:13:34||64G
228593_3.batch|COMPLETED|13:13:34|45792380K|
228593_3.extern|COMPLETED|13:13:36||
228593_4|COMPLETED|11:36:10||64G
228593_4.batch|COMPLETED|11:36:10|38750984K|
228593_4.extern|COMPLETED|11:36:10||
228593_5|COMPLETED|15:16:33||64G
228593_5.batch|COMPLETED|15:16:33|51607416K|
228593_5.extern|COMPLETED|15:16:33||
228593_6|COMPLETED|14:31:15||64G
228593_6.batch|COMPLETED|14:31:15|49716356K|
228593_6.extern|COMPLETED|14:31:15||
228593_7|COMPLETED|15:15:30||64G
228593_7.batch|COMPLETED|15:15:30|51323416K|
228593_7.extern|COMPLETED|15:15:30||
228593_8|COMPLETED|11:08:56||64G
228593_8.batch|COMPLETED|11:08:56|42339272K|
228593_8.extern|COMPLETED|11:09:00||
228593_9|COMPLETED|12:06:12||64G
228593_9.batch|COMPLETED|12:06:12|45223864K|
228593_9.extern|COMPLETED|12:06:12||
228593_10|COMPLETED|10:53:11||64G
228593_10.batch|COMPLETED|10:53:11|45302800K|
228593_10.extern|COMPLETED|10:53:11||
228593_11|COMPLETED|12:29:04||64G
228593_11.batch|COMPLETED|12:29:04|51482928K|
228593_11.extern|COMPLETED|12:29:04||
