duty_id,arm,trips,service_endpoints,service_endpoint_count,locations,raw_location_count,reference_areas,area_count_including_depot,charging_sites,opportunity_charging_sites,charging_starts,actual_charging_site_count,opportunity_charging_site_count,source,raw_source,selection_eligible,matching_fee0_fee5_arms_verified,candidate_rank
13309,recorded_GIRO,22,"[""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PC_10"", ""PC_5"", ""PC_7"", ""PC_9""]",10,"[""3127L"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_10"", ""PC_5"", ""PC_7"", ""PC_9""]",12,"[""13215"", ""13410"", ""13801"", ""3127"", ""7581""]",5,"[""3127L"", ""JON_A"", ""PARX""]","[""3127L"", ""JON_A""]",4,3,2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,1
13320,recorded_GIRO,16,"[""13215"", ""13722"", ""3127"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PC_10"", ""PC_5"", ""PC_7"", ""PC_9""]",13,"[""13215"", ""13722"", ""3127"", ""3127L"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_10"", ""PC_5"", ""PC_7"", ""PC_9""]",15,"[""13215"", ""13410"", ""13722"", ""13801"", ""3127"", ""7581""]",6,"[""3127L"", ""JON_A"", ""PARX""]","[""3127L"", ""JON_A""]",3,3,2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,2
13316uwt,recorded_GIRO,21,"[""13215"", ""13329"", ""3127"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_7"", ""PC_9""]",14,"[""13215"", ""13329"", ""3127"", ""3127L"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_7"", ""PC_9""]",16,"[""13215"", ""13329"", ""13410"", ""13801"", ""3127"", ""7581""]",6,"[""3127L"", ""JON_A"", ""PARX""]","[""3127L"", ""JON_A""]",5,3,2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,3
13315,recorded_GIRO,31,"[""13329"", ""GMV_G"", ""GMV_H"", ""JON_A"", ""JON_B"", ""PC_3"", ""PC_6"", ""PC_7"", ""PC_9"", ""ÖS_H"", ""ÖS_J""]",11,"[""13329"", ""7880C"", ""GMV_G"", ""GMV_H"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_3"", ""PC_6"", ""PC_7"", ""PC_9"", ""ÖS_H"", ""ÖS_J""]",13,"[""13215"", ""13329"", ""13410"", ""13801"", ""7581"", ""7880""]",6,"[""7880C"", ""JON_A""]","[""7880C"", ""JON_A""]",6,2,2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,4
13318,recorded_GIRO,33,"[""13215"", ""13329"", ""3127"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_7"", ""PC_9""]",14,"[""13215"", ""13329"", ""3127"", ""3127L"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_7"", ""PC_9""]",16,"[""13215"", ""13329"", ""13410"", ""13801"", ""3127"", ""7581""]",6,"[""3127L"", ""JON_A"", ""PARX""]","[""3127L"", ""JON_A""]",8,3,2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,5
13312,recorded_GIRO,46,"[""13329"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_6"", ""PC_7"", ""PC_9"", ""ÖS_H"", ""ÖS_J""]",13,"[""13329"", ""3127L"", ""7880C"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_6"", ""PC_7"", ""PC_9"", ""ÖS_H"", ""ÖS_J""]",16,"[""13215"", ""13329"", ""13410"", ""13801"", ""3127"", ""7880""]",6,"[""3127L"", ""7880C"", ""JON_A""]","[""3127L"", ""7880C"", ""JON_A""]",14,3,3,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,6
13311,recorded_GIRO,14,"[""13215"", ""13421"", ""3127"", ""6480"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PC_10"", ""PC_5"", ""PC_6"", ""PC_9"", ""ÖS_H"", ""ÖS_J""]",14,"[""13215"", ""13421"", ""3127"", ""3127L"", ""6480"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_10"", ""PC_5"", ""PC_6"", ""PC_9"", ""ÖS_H"", ""ÖS_J""]",16,"[""13215"", ""13410"", ""13421"", ""13801"", ""3127"", ""6480"", ""7880""]",7,"[""3127L"", ""JON_A"", ""PARX""]","[""3127L"", ""JON_A""]",4,3,2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,7
13316m,recorded_GIRO,23,"[""13215"", ""13329"", ""13722"", ""3127"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_7"", ""PC_9""]",15,"[""13215"", ""13329"", ""13722"", ""3127"", ""3127L"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_7"", ""PC_9""]",17,"[""13215"", ""13329"", ""13410"", ""13722"", ""13801"", ""3127"", ""7581""]",7,"[""3127L"", ""JON_A"", ""PARX""]","[""3127L"", ""JON_A""]",5,3,2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,8
13322,recorded_GIRO,26,"[""13215"", ""13329"", ""13330"", ""3127"", ""6480"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PC_10"", ""PC_5"", ""PC_7"", ""PC_9""]",13,"[""13215"", ""13329"", ""13330"", ""3127"", ""3127L"", ""6480"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_10"", ""PC_5"", ""PC_7"", ""PC_9""]",15,"[""13215"", ""13329"", ""13330"", ""13410"", ""13801"", ""3127"", ""6480""]",7,"[""3127L"", ""JON_A""]","[""3127L"", ""JON_A""]",6,2,2,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,9
13306,recorded_GIRO,30,"[""13329"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_6"", ""PC_7"", ""PC_9"", ""ÖS_H"", ""ÖS_J""]",15,"[""13329"", ""3127L"", ""7880C"", ""GMV_G"", ""GMV_H"", ""HED_D"", ""HED_E"", ""JON_A"", ""JON_B"", ""PARX"", ""PC_10"", ""PC_3"", ""PC_5"", ""PC_6"", ""PC_7"", ""PC_9"", ""ÖS_H"", ""ÖS_J""]",18,"[""13215"", ""13329"", ""13410"", ""13801"", ""3127"", ""7581"", ""7880""]",7,"[""3127L"", ""7880C"", ""JON_A""]","[""3127L"", ""7880C"", ""JON_A""]",7,3,3,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources/Par_VehicleDetails.xlsx,True,False,10
