event,diagram_label,kind,start,end,from_code,to_code,prepared_trip_id,recorded_recharge_kwh,recorded_usage_kwh,source_pointer,timing_basis
E1,,prep,05:12,05:19,PARX,PARX,,,,Data!A543:X543,recorded GIRO clock interval
E2,M1,deadhead,05:19,05:37,PARX,HED_D,,,20.7999992,Data!A544:X544,recorded GIRO clock interval
E3,L1,service,05:37,06:07,HED_D,PC_10,226,,21.3279991,Data!A545:X545,recorded GIRO clock interval
E4,L2,service,06:07,06:41,PC_10,HED_E,229,,22.3409996,Data!A546:X546,recorded GIRO clock interval
E5,,deadhead,06:41,06:42,HED_E,3127L,,,0.061999999,Data!A547:X547,recorded GIRO clock interval
E6,C1,charge,06:42,06:56,3127L,3127L,,40.5944138,,Data!A548:X548,recorded GIRO clock interval
E7,,deadhead,06:56,06:57,3127L,HED_D,,,0.0500000007,Data!A549:X549,recorded GIRO clock interval
E8,L3,service,06:57,07:27,HED_D,PC_10,234,,21.3279991,Data!A550:X550,recorded GIRO clock interval
E9,,same_reference_gap,07:27,07:30,PC_10,PC_7,,,,Data!rows 550–551,interval between adjacent recorded activities; within-area movement not separately specified
E10,L4,service,07:30,07:54,PC_7,GMV_G,586,,18.6380005,Data!A551:X551,recorded GIRO clock interval
E11,,deadhead,07:54,07:56,GMV_G,GMV_H,,,0.5,Data!A552:X552,recorded GIRO clock interval
E12,,wait,07:56,08:00,GMV_H,GMV_H,,,,Data!rows 552–553,interval between adjacent recorded activities at same place
E13,L5,service,08:00,08:27,GMV_H,PC_7,589,,18.3059998,Data!A553:X553,recorded GIRO clock interval
E14,,same_reference_gap,08:27,08:27,PC_7,PC_9,,,,Data!rows 553–554,interval between adjacent recorded activities; within-area movement not separately specified
E15,L6,service,08:27,08:42,PC_9,JON_B,901,,12.3870001,Data!A554:X554,recorded GIRO clock interval
E16,,deadhead,08:42,08:43,JON_B,JON_A,,,0.200000003,Data!A555:X555,recorded GIRO clock interval
E17,,wait,08:43,08:45,JON_A,JON_A,,,,Data!rows 555–556,interval between adjacent recorded activities at same place
E18,L7,service,08:45,08:57,JON_A,PC_7,792,,10.2659998,Data!A556:X556,recorded GIRO clock interval
E19,L8,service,08:57,09:14,PC_7,JON_B,793,,10.2790003,Data!A557:X557,recorded GIRO clock interval
E20,,deadhead,09:14,09:15,JON_B,JON_A,,,0.200000003,Data!A558:X558,recorded GIRO clock interval
E21,C2,charge,09:15,09:25,JON_A,JON_A,,44.831604,,Data!A559:X559,recorded GIRO clock interval
E22,L9,service,09:25,09:37,JON_A,PC_7,796,,10.2659998,Data!A560:X560,recorded GIRO clock interval
E23,,same_reference_gap,09:37,09:37,PC_7,PC_5,,,,Data!rows 560–561,interval between adjacent recorded activities; within-area movement not separately specified
