duty_id,from_visit,to_visit,event_index,kind,from_ref,to_ref,from_code,to_code,source_trip_id,start_min,end_min,duration_min,energy_consumed_kwh
13309,0,1,1,deadhead,13801,3127,PARX,HED_D,,319,337,18,20.7999992
13309,1,2,2,service,3127,13215,HED_D,PC_10,226,337,367,30,21.3279991
13309,2,3,3,service,13215,3127,PC_10,HED_E,229,367,401,34,22.3409996
13309,3,4,7,service,3127,13215,HED_D,PC_10,234,417,447,30,21.3279991
13309,4,5,9,service,13215,7581,PC_7,GMV_G,586,450,474,24,18.6380005
13309,5,6,12,service,7581,13215,GMV_H,PC_7,589,480,507,27,18.3059998
13309,6,7,14,service,13215,13410,PC_9,JON_B,901,507,522,15,12.3870001
13309,7,8,17,service,13410,13215,JON_A,PC_7,792,525,537,12,10.2659998
13309,8,9,18,service,13215,13410,PC_7,JON_B,793,537,554,17,10.2790003
13309,9,10,21,service,13410,13215,JON_A,PC_7,796,565,577,12,10.2659998
13309,10,11,23,service,13215,3127,PC_5,HED_E,393,577,608,31,20.1809998
13309,11,12,26,service,3127,13215,HED_D,PC_5,396,613,637,24,19.8619995
13309,12,13,27,deadhead,13215,13801,PC_5,PARX,,637,642,5,2.79999995
13309,13,14,32,deadhead,13801,13410,PARX,JON_A,,763,774,11,12.8000002
13309,14,15,33,service,13410,13215,JON_A,PC_9,922,774,787,13,12.342
13309,15,16,35,service,13215,7581,PC_7,GMV_G,626,790,814,24,18.6380005
13309,16,17,38,service,7581,13215,GMV_H,PC_7,629,822,847,25,18.3059998
13309,17,18,40,service,13215,7581,PC_7,GMV_G,632,850,875,25,18.6380005
13309,18,19,43,service,7581,13215,GMV_H,PC_7,635,882,907,25,18.3059998
13309,19,20,45,service,13215,7581,PC_7,GMV_G,638,910,935,25,18.6380005
13309,20,21,48,service,7581,13215,GMV_H,PC_7,641,940,967,27,18.3059998
13309,21,22,49,deadhead,13215,3127,PC_7,3127L,,967,982,15,20.6000004
13309,22,23,52,service,3127,13215,HED_D,PC_5,447,1010,1037,27,19.8619995
13309,23,24,53,service,13215,3127,PC_5,HED_E,451,1037,1068,31,20.1809998
13309,24,25,56,service,3127,13215,HED_D,PC_5,456,1072,1097,25,19.8619995
13309,25,26,57,service,13215,3127,PC_5,HED_E,459,1097,1127,30,20.1809998
13309,26,27,58,deadhead,3127,13801,HED_E,PARX,,1127,1142,15,20.7999992
13320,0,1,1,deadhead,13801,13215,PARX,PC_5,,402,407,5,2.79999995
13320,1,2,2,service,13215,3127,PC_5,HED_E,370,407,439,32,20.1809998
13320,2,3,4,service,3127,13215,3127,13215,240,442,456,14,19.4699993
13320,3,4,6,service,13215,13722,PC_9,13722,895,460,465,5,5.17999983
13320,4,5,8,service,13722,13215,13722,PC_9,896,467,472,5,5.03599977
13320,5,6,10,service,13215,3127,PC_5,HED_E,381,477,510,33,20.1809998
13320,6,7,12,service,3127,13215,HED_D,PC_5,386,512,537,25,19.8619995
13320,7,8,14,service,13215,7581,PC_7,GMV_G,598,550,574,24,18.6380005
13320,8,9,17,service,7581,13215,GMV_H,PC_7,601,582,607,25,18.3059998
13320,9,10,19,service,13215,7581,PC_7,GMV_G,604,610,634,24,18.6380005
13320,10,11,22,service,7581,13215,GMV_H,PC_7,607,642,667,25,18.3059998
13320,11,12,23,deadhead,13215,13801,PC_7,PARX,,667,672,5,2.79999995
13320,12,13,28,deadhead,13801,3127,PARX,HED_D,,955,975,20,20.7999992
13320,13,14,29,service,3127,13215,HED_D,PC_10,309,975,1007,32,21.3279991
13320,14,15,31,service,13215,13410,PC_9,JON_B,949,1007,1024,17,12.3870001
13320,15,16,35,service,13410,13215,JON_A,PC_9,953,1033,1047,14,12.342
13320,16,17,37,service,13215,3127,PC_10,HED_E,326,1047,1081,34,22.3409996
13320,17,18,41,service,3127,13215,HED_D,PC_10,331,1097,1127,30,21.3279991
13320,18,19,43,service,13215,13410,PC_9,JON_B,962,1127,1142,15,12.3870001
13320,19,20,44,deadhead,13410,13801,JON_B,PARX,,1142,1153,11,12.8000002
