duty_id,visit_index,area,location,name,arrival_min,departure_min,event_indices,charge_indices,raw_codes,arrival_time,departure_time,charging_starts,energy_charged_kwh
13309,0,13801,13801,PARX depot,312,319,[0],[],"[""PARX""]",05:12,05:19,0,0
13309,1,3127,3127,Heden,337,337,[],[],"[""HED_D""]",05:37,05:37,0,0
13309,2,13215,13215,Partille centrum,367,367,[],[],"[""PC_10""]",06:07,06:07,0,0
13309,3,3127,3127,Heden,401,417,"[4, 5, 6]",[5],"[""HED_E"", ""3127L"", ""HED_D""]",06:41,06:57,1,40.5944138
13309,4,13215,13215,Partille centrum,447,450,[8],[],"[""PC_10"", ""PC_7""]",07:27,07:30,0,0
13309,5,7581,7581,Gamlestads Torg,474,480,"[10, 11]",[],"[""GMV_G"", ""GMV_H""]",07:54,08:00,0,0
13309,6,13215,13215,Partille centrum,507,507,[13],[],"[""PC_7"", ""PC_9""]",08:27,08:27,0,0
13309,7,13410,13410,Jons väg,522,525,"[15, 16]",[],"[""JON_B"", ""JON_A""]",08:42,08:45,0,0
13309,8,13215,13215,Partille centrum,537,537,[],[],"[""PC_7""]",08:57,08:57,0,0
13309,9,13410,13410,Jons väg,554,565,"[19, 20]",[20],"[""JON_B"", ""JON_A""]",09:14,09:25,1,44.831604
13309,10,13215,13215,Partille centrum,577,577,[22],[],"[""PC_7"", ""PC_5""]",09:37,09:37,0,0
13309,11,3127,3127,Heden,608,613,"[24, 25]",[],"[""HED_E"", ""HED_D""]",10:08,10:13,0,0
13309,12,13215,13215,Partille centrum,637,637,[],[],"[""PC_5""]",10:37,10:37,0,0
13309,13,13801,13801,PARX depot,642,763,"[28, 29, 30, 31]",[29],"[""PARX""]",10:42,12:43,1,105.0
13309,14,13410,13410,Jons väg,774,774,[],[],"[""JON_A""]",12:54,12:54,0,0
13309,15,13215,13215,Partille centrum,787,790,[34],[],"[""PC_9"", ""PC_7""]",13:07,13:10,0,0
13309,16,7581,7581,Gamlestads Torg,814,822,"[36, 37]",[],"[""GMV_G"", ""GMV_H""]",13:34,13:42,0,0
13309,17,13215,13215,Partille centrum,847,850,[39],[],"[""PC_7""]",14:07,14:10,0,0
13309,18,7581,7581,Gamlestads Torg,875,882,"[41, 42]",[],"[""GMV_G"", ""GMV_H""]",14:35,14:42,0,0
13309,19,13215,13215,Partille centrum,907,910,[44],[],"[""PC_7""]",15:07,15:10,0,0
13309,20,7581,7581,Gamlestads Torg,935,940,"[46, 47]",[],"[""GMV_G"", ""GMV_H""]",15:35,15:40,0,0
13309,21,13215,13215,Partille centrum,967,967,[],[],"[""PC_7""]",16:07,16:07,0,0
13309,22,3127,3127,Heden,982,1010,"[50, 51]",[50],"[""3127L"", ""HED_D""]",16:22,16:50,1,130.727707
13309,23,13215,13215,Partille centrum,1037,1037,[],[],"[""PC_5""]",17:17,17:17,0,0
13309,24,3127,3127,Heden,1068,1072,"[54, 55]",[],"[""HED_E"", ""HED_D""]",17:48,17:52,0,0
13309,25,13215,13215,Partille centrum,1097,1097,[],[],"[""PC_5""]",18:17,18:17,0,0
13309,26,3127,3127,Heden,1127,1127,[],[],"[""HED_E""]",18:47,18:47,0,0
13309,27,13801,13801,PARX depot,1142,1145,[59],[],"[""PARX""]",19:02,19:05,0,0
13320,0,13801,13801,PARX depot,395,402,[0],[],"[""PARX""]",06:35,06:42,0,0
13320,1,13215,13215,Partille centrum,407,407,[],[],"[""PC_5""]",06:47,06:47,0,0
13320,2,3127,3127,Heden,439,442,[3],[],"[""HED_E"", ""3127""]",07:19,07:22,0,0
13320,3,13215,13215,Partille centrum,456,460,[5],[],"[""13215"", ""PC_9""]",07:36,07:40,0,0
13320,4,13722,13722,13722 (name and position unresolved),465,467,[7],[],"[""13722""]",07:45,07:47,0,0
13320,5,13215,13215,Partille centrum,472,477,[9],[],"[""PC_9"", ""PC_5""]",07:52,07:57,0,0
13320,6,3127,3127,Heden,510,512,[11],[],"[""HED_E"", ""HED_D""]",08:30,08:32,0,0
13320,7,13215,13215,Partille centrum,537,550,[13],[],"[""PC_5"", ""PC_7""]",08:57,09:10,0,0
13320,8,7581,7581,Gamlestads Torg,574,582,"[15, 16]",[],"[""GMV_G"", ""GMV_H""]",09:34,09:42,0,0
13320,9,13215,13215,Partille centrum,607,610,[18],[],"[""PC_7""]",10:07,10:10,0,0
13320,10,7581,7581,Gamlestads Torg,634,642,"[20, 21]",[],"[""GMV_G"", ""GMV_H""]",10:34,10:42,0,0
13320,11,13215,13215,Partille centrum,667,667,[],[],"[""PC_7""]",11:07,11:07,0,0
13320,12,13801,13801,PARX depot,672,955,"[24, 25, 26, 27]",[25],"[""PARX""]",11:12,15:55,1,105.0
13320,13,3127,3127,Heden,975,975,[],[],"[""HED_D""]",16:15,16:15,0,0
13320,14,13215,13215,Partille centrum,1007,1007,[30],[],"[""PC_10"", ""PC_9""]",16:47,16:47,0,0
13320,15,13410,13410,Jons väg,1024,1033,"[32, 33, 34]",[34],"[""JON_B"", ""JON_A""]",17:04,17:13,1,30.8666191
13320,16,13215,13215,Partille centrum,1047,1047,[36],[],"[""PC_9"", ""PC_10""]",17:27,17:27,0,0
13320,17,3127,3127,Heden,1081,1097,"[38, 39, 40]",[39],"[""HED_E"", ""3127L"", ""HED_D""]",18:01,18:17,1,63.8496666
13320,18,13215,13215,Partille centrum,1127,1127,[42],[],"[""PC_10"", ""PC_9""]",18:47,18:47,0,0
13320,19,13410,13410,Jons väg,1142,1142,[],[],"[""JON_B""]",19:02,19:02,0,0
13320,20,13801,13801,PARX depot,1153,1156,[45],[],"[""PARX""]",19:13,19:16,0,0
