case,witness_index,origin,n_trips,cost,rc_recomputed,trip_set_already_present,appended
c1_k08,0,inherited_event_pool_replayed_in_child_graph,31,100052.448,4.384718451852677,False,True
c1_k08,1,inherited_event_pool_replayed_in_child_graph,26,100047.736,5.3395541615609545,False,True
c1_k08,2,inherited_event_pool_replayed_in_child_graph,23,100036.288,5.0144118266616715,False,True
c1_k08,3,inherited_event_pool_replayed_in_child_graph,46,100126.544,53.08578298476641,False,True
c1_k08,4,inherited_event_pool_replayed_in_child_graph,18,100043.976,1.7329435516148806,False,True
c1_k08,5,inherited_event_pool_replayed_in_child_graph,24,100064.6,0.103113661534735,False,True
c1_k08,6,event_time_pricing,15,100058.4,2.08139759147889,False,True
c1_k08,7,event_time_pricing,13,100049.96800000001,0.40016938842018135,False,True
c2_k08,0,inherited_event_pool_replayed_in_child_graph,10,100030.088,1.4551915228366852e-11,True,False
c2_k08,1,inherited_event_pool_replayed_in_child_graph,44,100106.832,49.99561206837825,False,True
c2_k08,2,inherited_event_pool_replayed_in_child_graph,27,100055.672,1.8500678499112837,False,True
c2_k08,3,inherited_event_pool_replayed_in_child_graph,19,100015.664,2.3004502373660216,False,True
c2_k08,4,inherited_event_pool_replayed_in_child_graph,20,100019.136,1.7352737826877274,False,True
c2_k08,5,inherited_event_pool_replayed_in_child_graph,22,100025.584,0.8371537929779151,False,True
c2_k08,6,inherited_event_pool_replayed_in_child_graph,20,100025.336,1.0506581148365512,False,True
c2_k08,7,event_time_pricing,30,100058.15199999977,7.165824363328284,False,True
c3_k08,0,inherited_event_pool_replayed_in_child_graph,17,100016.408,0.9471648341714172,False,True
c3_k08,1,inherited_event_pool_replayed_in_child_graph,15,100016.16,0.6843076922377804,False,True
c3_k08,2,inherited_event_pool_replayed_in_child_graph,14,100013.184,0.08131867965857964,False,True
c3_k08,3,inherited_event_pool_replayed_in_child_graph,25,100040.008,0.4720229751401348,False,True
c3_k08,4,inherited_event_pool_replayed_in_child_graph,26,100028.56,0.06235164788085967,False,True
c3_k08,5,inherited_event_pool_replayed_in_child_graph,22,100022.856,0.08899400658265222,False,True
c3_k08,6,inherited_event_pool_replayed_in_child_graph,19,100023.848,4.4796653384401,False,True
c3_k08,7,event_time_pricing,18,100066.66399999964,4.017251749013667,False,True
c4_k08,0,inherited_event_pool_replayed_in_child_graph,12,100043.52,-4.3655745685100555e-11,False,True
c4_k08,1,inherited_event_pool_replayed_in_child_graph,22,100021.12,2.601780455413973,False,True
c4_k08,2,inherited_event_pool_replayed_in_child_graph,27,100045.464,0.12409590631432366,False,True
c4_k08,3,inherited_event_pool_replayed_in_child_graph,24,100027.568,1.466977031188435,False,True
c4_k08,4,inherited_event_pool_replayed_in_child_graph,31,100048.936,0.5825259730918333,False,True
c4_k08,5,inherited_event_pool_replayed_in_child_graph,14,100056.952,0.43146766554855276,False,True
c4_k08,6,inherited_event_pool_replayed_in_child_graph,15,100058.152,2.764863893389702e-10,False,True
c4_k08,7,event_time_pricing,46,100126.5439999979,49.88908066786826,False,True
c5_k08,0,inherited_event_pool_replayed_in_child_graph,17,100081.584,12.591754582099384,False,True
c5_k08,1,inherited_event_pool_replayed_in_child_graph,24,100030.832,2.8876780749415047,False,True
c5_k08,2,inherited_event_pool_replayed_in_child_graph,17,100091.832,19.633756513270782,False,True
c5_k08,3,inherited_event_pool_replayed_in_child_graph,22,100063.36,4.272751238560886,False,True
c5_k08,4,inherited_event_pool_replayed_in_child_graph,32,100042.984,1.0659513584978413,False,True
c5_k08,5,inherited_event_pool_replayed_in_child_graph,23,100063.608,1.057692335016327,False,True
c5_k08,6,inherited_event_pool_replayed_in_child_graph,25,100064.104,3.3938692952797282,False,True
c5_k08,7,event_time_pricing,16,100066.87199999997,2.88098864677886,False,True
