arm,charge_index,station,start_min,end_min,charging_duration_min,energy_kwh,source,source_pointer,basis
original_giro_13414,0,2190L,470,480,10,26.5164566,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,route duty13414/charges/0,original recorded connection window
original_giro_13414,1,4808,539,546,7,25.7780209,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,route duty13414/charges/1,original recorded connection window
original_giro_13414,2,4808,697,704,7,34.9493179,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,route duty13414/charges/2,original recorded connection window
original_giro_13414,3,4808,859,866,7,38.3876305,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,route duty13414/charges/3,original recorded connection window
original_giro_13414,4,2190L,923,929,6,33.374733,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,route duty13414/charges/4,original recorded connection window
original_giro_13414,5,4808,992,998,6,33.7284584,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,route duty13414/charges/5,original recorded connection window
original_giro_13414,6,2190L,1061,1071,10,56.2066154,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,route duty13414/charges/6,original recorded connection window
original_giro_13414,7,4808,1128,1136,8,44.2533875,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,route duty13414/charges/7,original recorded connection window
original_giro_13414,8,2190L,1227,1235,8,44.1438789,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,route duty13414/charges/8,original recorded connection window
saved_joint_fee0,0,4808,600.0,603.1851290693374,3.1851290693374494,17.870690451550985,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee0.json,routes/1/charges/0,capacity-rescheduled actual charge interval
saved_joint_fee0,1,2190L,660.0,668.4870927909585,8.487092790958513,48.35742465076653,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee0.json,routes/1/charges/1,capacity-rescheduled actual charge interval
saved_joint_fee0,2,4808,727.0,734.0,7.0,39.689691234263115,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee0.json,routes/1/charges/2,capacity-rescheduled actual charge interval
saved_joint_fee0,3,2190L,789.0,800.0,11.0,61.4977006676287,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee0.json,routes/1/charges/3,capacity-rescheduled actual charge interval
saved_joint_fee0,4,4808,859.0,866.0,7.0,38.626308115791964,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee0.json,routes/1/charges/4,capacity-rescheduled actual charge interval
saved_joint_fee0,5,2190L,922.0,929.0,7.0,38.93369753692954,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee0.json,routes/1/charges/5,capacity-rescheduled actual charge interval
saved_joint_fee0,6,4808,992.0,998.0,6.0,33.58541445702058,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee0.json,routes/1/charges/6,capacity-rescheduled actual charge interval
saved_joint_fee0,7,2190L,1057.0,1071.0,14.0,76.57472636338258,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee0.json,routes/1/charges/7,capacity-rescheduled actual charge interval
saved_joint_fee0,8,4808,1128.0,1136.0,8.0,42.398391501289325,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee0.json,routes/1/charges/8,capacity-rescheduled actual charge interval
saved_joint_fee5,0,4808,697.0,704.0,7.0,38.538528717773445,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee5.json,routes/0/charges/0,capacity-rescheduled actual charge interval
saved_joint_fee5,1,2190L,779.9998758362958,795.623794652078,15.62391881578219,82.92827054612445,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee5.json,routes/0/charges/1,capacity-rescheduled actual charge interval
saved_joint_fee5,2,2190L,922.0,929.0,7.0,38.95091818263388,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee5.json,routes/0/charges/2,capacity-rescheduled actual charge interval
saved_joint_fee5,3,4808,992.0,998.0,6.0,33.60190605349074,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee5.json,routes/0/charges/3,capacity-rescheduled actual charge interval
saved_joint_fee5,4,2190L,1057.0,1071.0,14.0,76.6353341352841,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee5.json,routes/0/charges/4,capacity-rescheduled actual charge interval
saved_joint_fee5,5,2190L,1200.0,1211.449577906103,11.449577906103059,64.31175188521405,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_joint_fee5.json,routes/0/charges/5,capacity-rescheduled actual charge interval
