schedule_id,pair_id,arm,original_duty,source_index,kind,start_min,end_min,start_time,end_time,duration_min,from_code,to_code,source_trip_id,internal_trip_id,energy_consumed_kwh,energy_charged_kwh,source,source_line,source_identifier,timing_basis,event_index,from_visit,to_visit,soc_before_kwh,soc_after_kwh,movement_kind,duration_basis,original_source_duty,route_code,direction,electricity_cost,charging_active_min,charging_basis,witness,source_pointer
duty_13401_original,duty_13401,original,13401,,prep,241.0,248.0,04:01:00,04:08:00,7.0,PARX,PARX,,,0.0,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,1565,Prep-out,recorded GIRO clock interval,0,0,0,236.44,236.44,,,,,,,,,,
duty_13401_original,duty_13401,original,13401,,deadhead,248.0,267.0,04:08:00,04:27:00,19.0,PARX,2190,,,28.0,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,1566,Pull-out,recorded GIRO clock interval,1,0,1,236.44,208.44,pull_out,recorded directional GIRO movement; may use time-dependent band,,,,,,,,
duty_13401_original,duty_13401,original,13401,,service,267.0,319.0,04:27:00,05:19:00,52.0,2190,4808,0,0,41.7299995,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,1567,Regular,recorded GIRO clock interval,2,1,2,208.44,166.7100005,,"scheduled passenger service, not empty deadhead time",13401,5021.0,1.0,,,,,
duty_13401_original,duty_13401,original,13401,,charge,319.0,325.0,05:19:00,05:25:00,6.0,4808,4808,,,0.0,24.974226,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,1568,Recharge,recorded GIRO clock interval,3,2,2,166.7100005,191.68422650000002,,,,,,4.241761190594375,6.000001600000012,recorded recharge kWh; maximum documented taper reconstructs within-window power,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,
duty_13401_original,duty_13401,original,13401,,service,325.0,376.0,05:25:00,06:16:00,51.0,4808,2190,6,3,42.5,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,1569,Regular,recorded GIRO clock interval,4,2,3,191.68422650000002,149.18422650000002,,"scheduled passenger service, not empty deadhead time",13401,5021.0,2.0,,,,,
duty_13401_original,duty_13401,original,13401,,deadhead,376.0,377.0,06:16:00,06:17:00,1.0,2190,ET_R,,,0.200000003,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,1570,Deadhead,recorded GIRO clock interval,5,3,4,149.18422650000002,148.984226497,deadhead,recorded directional GIRO movement; may use time-dependent band,,,,,,,,
duty_13401_original,duty_13401,original,13401,,wait,377.0,407.0,06:17:00,06:47:00,30.0,ET_R,ET_R,,,0.05,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,,,unoccupied interval between recorded GIRO events at the same location,6,4,4,148.984226497,148.934226497,,,,,,,,,,gap before CSV line 1571
duty_13401_original,duty_13401,original,13401,,deadhead,407.0,408.0,06:47:00,06:48:00,1.0,ET_R,2190,,,0.200000003,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,1571,Deadhead,recorded GIRO clock interval,7,4,5,148.934226497,148.73422649399998,deadhead,recorded directional GIRO movement; may use time-dependent band,,,,,,,,
duty_13401_original,duty_13401,original,13401,,service,408.0,465.0,06:48:00,07:45:00,57.0,2190,4808,22,8,41.7299995,0.0,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,1572,Regular,recorded GIRO clock interval,8,5,6,148.73422649399998,107.00422699399999,,"scheduled passenger service, not empty deadhead time",13401,5021.0,1.0,,,,,
duty_13401_original,duty_13401,original,13401,,charge,465.0,472.0,07:45:00,07:52:00,7.0,4808,4808,,,0.0,35.3757858,/Users/nadan/Documents/projects/demandresponse/data/Par_VehicleDetails_Updated.csv,1573,Recharge,recorded GIRO clock interval,9,6,6,107.00422699399999,142.38001279399998,,,,,,8.776959155671607,7.000000005414737,recorded recharge kWh; maximum documented taper reconstructs within-window power,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/baseline.json,
