pair_id,schedule_id,arm,leg,prepared_trip_id,from_code,to_code,departure,arrival,start_min,end_min,duration_min,energy_kwh
duty_13414,duty_13414_original,original,L1,23,4808,2190,06:51,07:49,411.0,469.0,58.0,42.5
duty_13414,duty_13414_original,original,L2,36,2190,4808,08:00,08:59,480.0,539.0,59.0,41.7299995
duty_13414,duty_13414_original,original,L3,49,4808,2190,09:06,10:02,546.0,602.0,56.0,42.5
duty_13414,duty_13414_original,original,L4,68,2190,4808,10:40,11:37,640.0,697.0,57.0,41.7299995
duty_13414,duty_13414_original,original,L5,81,4808,2190,11:44,12:39,704.0,759.0,55.0,42.5
duty_13414,duty_13414_original,original,L6,100,2190,4808,13:20,14:19,800.0,859.0,59.0,41.7299995
duty_13414,duty_13414_original,original,L7,113,4808,2190,14:26,15:22,866.0,922.0,56.0,42.5
duty_13414,duty_13414_original,original,L8,126,2190,4808,15:29,16:32,929.0,992.0,63.0,41.7299995
duty_13414,duty_13414_original,original,L9,139,4808,2190,16:38,17:37,998.0,1057.0,59.0,42.5
duty_13414,duty_13414_original,original,L10,154,2190,4808,17:51,18:48,1071.0,1128.0,57.0,41.7299995
duty_13414,duty_13414_original,original,L11,165,4808,2190,18:56,19:49,1136.0,1189.0,53.0,42.5
duty_13414,duty_13414_original,original,L12,178,2190,4808,20:35,21:30,1235.0,1290.0,55.0,41.7299995
duty_13414,duty_13414_fee0,fee0,L1,6,4808,2190,05:25,06:16,325.0,376.0,51.0,42.5
duty_13414,duty_13414_fee0,fee0,L2,22,2190,4808,06:48,07:45,408.0,465.0,57.0,41.7299995
duty_13414,duty_13414_fee0,fee0,L3,35,4808,2190,07:52,08:52,472.0,532.0,60.0,42.5
duty_13414,duty_13414_fee0,fee0,L4,48,2190,4808,08:59,09:57,539.0,597.0,58.0,41.7299995
duty_13414,duty_13414_fee0,fee0,L5,61,4808,2190,10:04,10:59,604.0,659.0,55.0,42.5
duty_13414,duty_13414_fee0,fee0,L6,74,2190,4808,11:09,12:07,669.0,727.0,58.0,41.7299995
duty_13414,duty_13414_fee0,fee0,L7,87,4808,2190,12:14,13:09,734.0,789.0,55.0,42.5
duty_13414,duty_13414_fee0,fee0,L8,100,2190,4808,13:20,14:19,800.0,859.0,59.0,41.7299995
duty_13414,duty_13414_fee0,fee0,L9,113,4808,2190,14:26,15:22,866.0,922.0,56.0,42.5
duty_13414,duty_13414_fee0,fee0,L10,126,2190,4808,15:29,16:32,929.0,992.0,63.0,41.7299995
duty_13414,duty_13414_fee0,fee0,L11,139,4808,2190,16:38,17:37,998.0,1057.0,59.0,42.5
duty_13414,duty_13414_fee0,fee0,L12,154,2190,4808,17:51,18:48,1071.0,1128.0,57.0,41.7299995
duty_13414,duty_13414_fee0,fee0,L13,165,4808,2190,18:56,19:49,1136.0,1189.0,53.0,42.5
duty_13414,duty_13414_fee5,fee5,L1,23,4808,2190,06:51,07:49,411.0,469.0,58.0,42.5
duty_13414,duty_13414_fee5,fee5,L2,36,2190,4808,08:00,08:59,480.0,539.0,59.0,41.7299995
duty_13414,duty_13414_fee5,fee5,L3,49,4808,2190,09:06,10:02,546.0,602.0,56.0,42.5
duty_13414,duty_13414_fee5,fee5,L4,68,2190,4808,10:40,11:37,640.0,697.0,57.0,41.7299995
duty_13414,duty_13414_fee5,fee5,L5,81,4808,2190,11:44,12:39,704.0,759.0,55.0,42.5
duty_13414,duty_13414_fee5,fee5,L6,100,2190,4808,13:20,14:19,800.0,859.0,59.0,41.7299995
duty_13414,duty_13414_fee5,fee5,L7,113,4808,2190,14:26,15:22,866.0,922.0,56.0,42.5
duty_13414,duty_13414_fee5,fee5,L8,126,2190,4808,15:29,16:32,929.0,992.0,63.0,41.7299995
duty_13414,duty_13414_fee5,fee5,L9,139,4808,2190,16:38,17:37,998.0,1057.0,59.0,42.5
duty_13414,duty_13414_fee5,fee5,L10,154,2190,4808,17:51,18:48,1071.0,1128.0,57.0,41.7299995
duty_13414,duty_13414_fee5,fee5,L11,165,4808,2190,18:56,19:49,1136.0,1189.0,53.0,42.5
duty_13414,duty_13414_fee5,fee5,L12,178,2190,4808,20:35,21:30,1235.0,1290.0,55.0,41.7299995
duty_13403,duty_13403_original,original,L1,2,2190,4808,04:47,05:39,287.0,339.0,52.0,41.7299995
duty_13403,duty_13403_original,original,L2,10,4808,2190,05:46,06:38,346.0,398.0,52.0,42.5
duty_13403,duty_13403_original,original,L3,30,2190,4808,07:29,08:29,449.0,509.0,60.0,41.7299995
duty_13403,duty_13403_original,original,L4,43,4808,2190,08:36,09:33,516.0,573.0,57.0,42.5
duty_13403,duty_13403_original,original,L5,62,2190,4808,10:10,11:07,610.0,667.0,57.0,41.7299995
duty_13403,duty_13403_original,original,L6,75,4808,2190,11:14,12:09,674.0,729.0,55.0,42.5
duty_13403,duty_13403_original,original,L7,88,2190,4808,12:19,13:17,739.0,797.0,58.0,41.7299995
duty_13403,duty_13403_original,original,L8,101,4808,2190,13:24,14:20,804.0,860.0,56.0,42.5
duty_13403,duty_13403_original,original,L9,114,2190,4808,14:28,15:30,868.0,930.0,62.0,41.7299995
duty_13403,duty_13403_original,original,L10,127,4808,2190,15:37,16:36,937.0,996.0,59.0,42.5
