schedule_id,pair_id,arm,source_index,trip_count,starts,charged_kwh,electricity_cost,total_consumed_kwh,terminal_kwh,depot_departure_min,depot_return_min,depot_departure_time,depot_return_time,schedule_start_min,schedule_end_min,service_minutes,movement_minutes,noncharging_wait_minutes,charging_minutes,prep_minutes
duty_13401_original,duty_13401,original,,12,10,374.0019626,47.033628386308614,563.9666637086677,46.4752988913322,248.0,1160.0,04:08:00,19:20:00,241.0,1163.0,681.0,47.0,112.0,72.0,10.0
duty_13401_fee0,duty_13401,fee0,3,12,8,331.3440434474275,27.04388849005144,521.3087445560953,46.475298891332194,339.0,1297.0,05:39:00,21:37:00,339.0,1297.0,685.0,14.0,197.24853365718724,61.75146634281276,0
duty_13401_fee5,duty_13401,fee5,1,12,6,371.5448798228151,39.356670099030474,561.5095809314831,46.4752988913322,288.0,1160.0,04:48:00,19:20:00,288.0,1160.0,683.0,38.0,77.75035888987986,73.24964111012014,0
duty_13403_original,duty_13403,original,,14,12,459.6589984,51.22833098996287,648.198329871723,47.90066852827695,268.0,1313.0,04:28:00,21:53:00,261.0,1316.0,791.0,47.0,113.0,94.0,10.0
duty_13403_fee0,duty_13403,fee0,0,12,8,372.99222599773265,31.443432454415884,561.5315574694557,47.90066852827695,268.0,1160.0,04:28:00,19:20:00,268.0,1160.0,686.0,38.0,90.93628167344764,77.06371832655236,0
duty_13403_fee5,duty_13403,fee5,3,12,5,372.9914240900296,45.91653149065733,561.5307555617527,47.90066852827698,268.0,1150.0,04:28:00,19:10:00,268.0,1150.0,684.0,38.0,90.45513705165217,69.54486294834783,0
duty_13405_original,duty_13405,original,,13,12,406.7374115,58.50512466180526,585.3099967265814,57.86741477341874,288.0,1146.0,04:48:00,19:06:00,281.0,1149.0,742.0,32.0,0,84.0,10.0
duty_13405_fee0,duty_13405,fee0,2,12,9,383.2018067225867,30.8703660966222,561.7743919491679,57.867414773418744,288.0,1313.0,04:48:00,21:53:00,288.0,1313.0,680.0,38.0,236.63696950075342,70.36303049924658,0
duty_13405_fee5,duty_13405,fee5,2,14,6,467.2823865123724,44.55997660411274,645.8549717389537,57.867414773418744,248.0,1313.0,04:08:00,21:53:00,248.0,1313.0,789.0,38.0,146.9851433722289,91.01485662777111,0
duty_13408_original,duty_13408,original,,11,9,313.3764382,45.295617276523835,501.54999772239853,48.26644047760146,329.0,1121.0,05:29:00,18:41:00,322.0,1124.0,629.0,32.0,60.0,71.0,10.0
duty_13408_fee0,duty_13408,fee0,4,13,8,394.9737874849917,37.81298016869337,583.1473470073902,48.26644047760147,248.0,1237.0,04:08:00,20:37:00,248.0,1237.0,738.0,26.0,142.41030443414576,82.58969556585424,0
duty_13408_fee5,duty_13408,fee5,4,12,7,332.90862370339386,32.662578414120524,521.0821832257924,48.26644047760147,318.0,1146.0,05:18:00,19:06:00,318.0,1146.0,687.0,14.0,61.31173547546723,65.68826452453277,0
duty_13414_original,duty_13414,original,,12,9,337.3384991,28.582086355903254,523.5699974182761,50.20850168172383,403.0,1297.0,06:43:00,21:37:00,396.0,1300.0,687.0,24.0,114.0,69.0,10.0
duty_13414_fee0,duty_13414,fee0,1,13,9,397.53404497862334,31.536153158674466,583.7655432968995,50.20850168172383,318.0,1208.0,05:18:00,20:08:00,318.0,1208.0,741.0,26.0,51.32777813970404,71.67222186029596,0
duty_13414_fee5,duty_13414,fee5,0,12,6,334.9667095205207,21.219068469043965,521.1982078387969,50.208501681723824,404.0,1297.0,06:44:00,21:37:00,404.0,1297.0,687.0,14.0,130.92650327811475,61.07349672188525,0
