schedule_id,pair_id,arm,original_duty,source_index,visit_index,location,arrival_min,departure_min,event_indices,charge_indices,wait_indices,prep_indices,arrival_time,departure_time,dwell_min,energy_charged_kwh,charging_starts
duty_13401_original,duty_13401,original,13401,,0,PARX,241.0,248.0,[0],[],[],[0],04:01:00,04:08:00,7.0,0,0
duty_13401_original,duty_13401,original,13401,,1,2190,267.0,267.0,[],[],[],[],04:27:00,04:27:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,2,4808,319.0,325.0,[3],[3],[],[],05:19:00,05:25:00,6.0,24.974226,1
duty_13401_original,duty_13401,original,13401,,3,2190,376.0,376.0,[],[],[],[],06:16:00,06:16:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,4,ET_R,377.0,407.0,[6],[],[6],[],06:17:00,06:47:00,30.0,0,0
duty_13401_original,duty_13401,original,13401,,5,2190,408.0,408.0,[],[],[],[],06:48:00,06:48:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,6,4808,465.0,472.0,[9],[9],[],[],07:45:00,07:52:00,7.0,35.3757858,1
duty_13401_original,duty_13401,original,13401,,7,2190,532.0,532.0,[],[],[],[],08:52:00,08:52:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,8,ET_R,533.0,573.0,[12],[],[12],[],08:53:00,09:33:00,40.0,0,0
duty_13401_original,duty_13401,original,13401,,9,2190,574.0,574.0,[],[],[],[],09:34:00,09:34:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,10,2190L,575.0,580.0,[15],[15],[],[],09:35:00,09:40:00,5.0,25.8050117,1
duty_13401_original,duty_13401,original,13401,,11,2190,580.0,580.0,[],[],[],[],09:40:00,09:40:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,12,4808,637.0,644.0,[18],[18],[],[],10:37:00,10:44:00,7.0,36.992588,1
duty_13401_original,duty_13401,original,13401,,13,2190,699.0,699.0,[],[],[],[],11:39:00,11:39:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,14,2190L,700.0,709.0,[21],[21],[],[],11:40:00,11:49:00,9.0,47.4815598,1
duty_13401_original,duty_13401,original,13401,,15,2190,709.0,709.0,[],[],[],[],11:49:00,11:49:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,16,4808,767.0,774.0,[24],[24],[],[],12:47:00,12:54:00,7.0,37.0063667,1
duty_13401_original,duty_13401,original,13401,,17,2190,830.0,830.0,[],[],[],[],13:50:00,13:50:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,18,ET_R,831.0,871.0,[27],[],[27],[],13:51:00,14:31:00,40.0,0,0
duty_13401_original,duty_13401,original,13401,,19,2190L,872.0,878.0,[29],[29],[],[],14:32:00,14:38:00,6.0,32.1282158,1
duty_13401_original,duty_13401,original,13401,,20,2190,878.0,878.0,[],[],[],[],14:38:00,14:38:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,21,4808,940.0,947.0,[32],[32],[],[],15:40:00,15:47:00,7.0,37.9217987,1
duty_13401_original,duty_13401,original,13401,,22,2190,1006.0,1008.0,[34],[],[34],[],16:46:00,16:48:00,2.0,0,0
duty_13401_original,duty_13401,original,13401,,23,2190L,1009.0,1020.0,[36],[36],[],[],16:49:00,17:00:00,11.0,59.0857582,1
duty_13401_original,duty_13401,original,13401,,24,2190,1020.0,1020.0,[],[],[],[],17:00:00,17:00:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,25,4808,1080.0,1087.0,[39],[39],[],[],18:00:00,18:07:00,7.0,37.2306519,1
duty_13401_original,duty_13401,original,13401,,26,2190,1141.0,1141.0,[],[],[],[],19:01:00,19:01:00,0.0,0,0
duty_13401_original,duty_13401,original,13401,,27,PARX,1160.0,1163.0,[42],[],[],[42],19:20:00,19:23:00,3.0,0,0
duty_13401_fee0,duty_13401,fee0,13401,3,0,PARX,339.0,339.0,[],[],[],[],05:39:00,05:39:00,0.0,0,0
duty_13401_fee0,duty_13401,fee0,13401,3,1,4808,346.0,346.0,[],[],[],[],05:46:00,05:46:00,0.0,0,0
