source_case_id,target_k,fee0_cg_present,fee0_cg_process_success,fee0_cg_certified_rc_optimal,fee0_cg_pricing_scope,fee0_cg_stop_reason,fee0_cg_iterations,fee0_cg_columns,fee0_cg_runtime_s,fee0_mip_present,fee0_mip_process_success,fee0_mip_status,fee0_mip_status_name,fee0_mip_incumbent_found,fee0_buses,fee0_mip_obj,fee0_mip_bound,fee0_mip_gap,fee0_finite_pool_optimal_scope,fee0_mip_bound_scope,fee0_fleet_proven,fee0_physical_replay_validated,fee0_duplicate_trip_removal_validated,fee0_cross_route_charger_capacity_validated,fee0_mip_runtime_s,fee0_stage2_executed,fee0_stage2_fleet_cap,fee0_stage2_fleet_cap_proven,fee0_stage2_fleet_constraint,fee0_charging_metrics_available,fee0_cost_components_reconcile,fee0_expanded_grid_charging_total,fee0_expanded_grid_electricity_cost,fee0_expanded_grid_start_fees,fee0_expanded_grid_charging_starts,fee0_expanded_grid_charging_kwh,fee0_expanded_grid_terminal_kwh,fee0_continuous_charging_total,fee0_continuous_electricity_cost,fee0_continuous_start_fees,fee0_continuous_charging_starts,fee0_continuous_charging_kwh,fee0_continuous_terminal_kwh,fee5_cg_present,fee5_cg_process_success,fee5_cg_certified_rc_optimal,fee5_cg_pricing_scope,fee5_cg_stop_reason,fee5_cg_iterations,fee5_cg_columns,fee5_cg_runtime_s,fee5_mip_present,fee5_mip_process_success,fee5_mip_status,fee5_mip_status_name,fee5_mip_incumbent_found,fee5_buses,fee5_mip_obj,fee5_mip_bound,fee5_mip_gap,fee5_finite_pool_optimal_scope,fee5_mip_bound_scope,fee5_fleet_proven,fee5_physical_replay_validated,fee5_duplicate_trip_removal_validated,fee5_cross_route_charger_capacity_validated,fee5_mip_runtime_s,fee5_stage2_executed,fee5_stage2_fleet_cap,fee5_stage2_fleet_cap_proven,fee5_stage2_fleet_constraint,fee5_charging_metrics_available,fee5_cost_components_reconcile,fee5_expanded_grid_charging_total,fee5_expanded_grid_electricity_cost,fee5_expanded_grid_start_fees,fee5_expanded_grid_charging_starts,fee5_expanded_grid_charging_kwh,fee5_expanded_grid_terminal_kwh,fee5_continuous_charging_total,fee5_continuous_electricity_cost,fee5_continuous_start_fees,fee5_continuous_charging_starts,fee5_continuous_charging_kwh,fee5_continuous_terminal_kwh,delta_fee0_minus_fee5_buses,delta_fee0_minus_fee5_mip_obj,delta_fee0_minus_fee5_mip_runtime_s,delta_fee0_minus_fee5_cg_runtime_s,delta_fee0_minus_fee5_expanded_grid_charging_total,delta_fee0_minus_fee5_expanded_grid_electricity_cost,delta_fee0_minus_fee5_expanded_grid_start_fees,delta_fee0_minus_fee5_expanded_grid_charging_starts,delta_fee0_minus_fee5_expanded_grid_charging_kwh,delta_fee0_minus_fee5_expanded_grid_terminal_kwh,delta_fee0_minus_fee5_continuous_charging_total,delta_fee0_minus_fee5_continuous_electricity_cost,delta_fee0_minus_fee5_continuous_start_fees,delta_fee0_minus_fee5_continuous_charging_starts,delta_fee0_minus_fee5_continuous_charging_kwh,delta_fee0_minus_fee5_continuous_terminal_kwh
w1_k05,5,True,False,False,conservative_expanded_grid_model_only,running,149,31184,346.0441712792963,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,conservative_expanded_grid_model_only,certified,39,27966,179.87601178931072,True,True,2,OPTIMAL,True,5,500237.976,500237.976,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,True,False,5.869832278229296,True,5,True,at_most,True,True,237.9759999999951,157.976,80.0,16,1592.5,7.680001900000003,230.5978987683775,150.597898768384,80.0,16,1518.1239795200001,38.60100494000006,,,,166.16815948998556,,,,,,,,,,,,
w1_k10,10,True,False,False,conservative_expanded_grid_model_only,initializing,0,0,67.35000398382545,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,conservative_expanded_grid_model_only,initializing,0,0,13.241052314639091,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.108951669186354,,,,,,,,,,,,
w1_k15,15,True,False,False,conservative_expanded_grid_model_only,initializing,0,0,175.64323799405247,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,conservative_expanded_grid_model_only,initializing,0,0,29.299917370080948,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.34332062397152,,,,,,,,,,,,
w2_k05,5,True,False,False,conservative_expanded_grid_model_only,running,124,24619,306.0359865864739,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,conservative_expanded_grid_model_only,certified,31,21691,138.65435217693448,True,True,2,OPTIMAL,True,5,500204.256,500204.256,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,False,False,66.62388276867568,True,5,True,at_most,True,True,204.25599999999395,154.256,50.0,10,1555.0,7.315001700000002,193.4168112246989,143.416811224704,50.0,10,1445.7339841199998,54.50900798000002,,,,167.3816344095394,,,,,,,,,,,,
w2_k10,10,True,False,False,conservative_expanded_grid_model_only,initializing,0,0,65.39536369009875,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,conservative_expanded_grid_model_only,certified,15,57525,297.80721625778824,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-232.4118525676895,,,,,,,,,,,,
w2_k15,15,True,False,False,conservative_expanded_grid_model_only,initializing,0,0,170.7158605994191,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,conservative_expanded_grid_model_only,initializing,0,0,26.132046555634588,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.5838140437845,,,,,,,,,,,,
w3_k05,5,True,True,True,conservative_expanded_grid_model_only,certified,59,15295,108.5747991905082,True,True,2,OPTIMAL,True,5,500099.944,500099.944,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,False,False,33.772419596789405,True,5,True,at_most,True,True,99.94400000000314,99.944,0.0,27,1007.5,5.42099884,89.10590301295451,89.10590301296,0.0,27,898.2449900499998,17.166001340000005,True,True,True,conservative_expanded_grid_model_only,certified,11,14073,52.2429700079374,True,True,2,OPTIMAL,True,5,500134.944,500134.944,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,False,False,29.809154519811273,True,5,True,at_most,True,True,134.94400000000314,99.944,35.0,7,1007.5,5.42099884,126.5647738702537,91.56477387027199,35.0,7,923.0319946600001,41.95300595000002,0.0,-35.0,3.963265076978132,56.3318291825708,-35.0,0.0,-35.0,20.0,0.0,0.0,-37.45887085729919,-2.458870857311993,-35.0,20.0,-24.78700461000028,-24.787004610000015
w3_k10,10,True,False,False,conservative_expanded_grid_model_only,running,74,37715,340.8939772467129,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,conservative_expanded_grid_model_only,certified,14,35834,157.25225555105135,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.64172169566154,,,,,,,,,,,,
w3_k15,15,True,False,False,conservative_expanded_grid_model_only,initializing,0,0,101.84412666875869,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,conservative_expanded_grid_model_only,initializing,0,0,16.036274823825806,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.80785184493288,,,,,,,,,,,,
w4_k05,5,True,False,False,conservative_expanded_grid_model_only,running,299,22952,353.36825004732236,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,conservative_expanded_grid_model_only,certified,13,15577,62.366234672255814,True,True,2,OPTIMAL,True,5,500233.848,500233.848,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,False,False,12.845210490282625,True,5,True,at_most,True,True,233.84799999999814,173.848,60.0,12,1752.5,6.009002800000005,226.51751512550982,166.51751512550402,60.0,12,1678.60398312,43.90701059999999,,,,291.00201537506655,,,,,,,,,,,,
w4_k10,10,True,False,False,conservative_expanded_grid_model_only,running,24,46606,315.92347512044944,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,conservative_expanded_grid_model_only,certified,11,46026,218.53272285219282,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.39075226825662,,,,,,,,,,,,
