tariff,fee,arm,buses,electricity_lower,electricity_upper,electricity,starts,end_kwh,cost_with_fee,physical_validated,source_path,source_sha256,cost_with_fee_lower,cost_with_fee_upper
peak08,0.0,original_giro,5,230.2870096262964,230.98107468738928,,52,280.7833253000002,,,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak08/fee0/joint/comparison.json,0e00ce0faf3c54846247b0f5d313222663b45ba3833478d9b3e13ca4e251a674,230.2870096262964,230.98107468738928
peak08,0.0,fixed_duties_optimized,5,,,128.29345485322455,46,281.1700005,128.29345485323574,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak08/fee0/joint/comparison.json,0e00ce0faf3c54846247b0f5d313222663b45ba3833478d9b3e13ca4e251a674,,
peak08,0.0,joint_pool_optimized,5,,,128.29345485322455,46,281.1700005,128.29345485323574,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak08/fee0/joint/comparison.json,0e00ce0faf3c54846247b0f5d313222663b45ba3833478d9b3e13ca4e251a674,,
peak08,5.0,original_giro,5,230.2870096262964,230.98107468738928,,52,280.7833253000002,,,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak08/fee5/joint/comparison.json,d3f25841de026f4eb9de6cd17b8496946b1962465206b8adb61ce7197be9c590,490.28700962629637,490.9810746873893
peak08,5.0,fixed_duties_optimized,5,,,160.8731824876409,23,285.79000350000007,275.8731824876595,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak08/fee5/joint/comparison.json,d3f25841de026f4eb9de6cd17b8496946b1962465206b8adb61ce7197be9c590,,
peak08,5.0,joint_pool_optimized,5,,,162.68712226884622,19,284.25000250000005,257.6871222688351,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak08/fee5/joint/comparison.json,d3f25841de026f4eb9de6cd17b8496946b1962465206b8adb61ce7197be9c590,,
peak12,0.0,original_giro,5,289.5935355365639,290.59658393075955,,52,280.7833253000002,,,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak12/fee0/joint/comparison.json,bb79b68365df06e3193128a9a6c6f4b23aa103038945313561158dbdd082a027,289.5935355365639,290.59658393075955
peak12,0.0,fixed_duties_optimized,5,,,164.23057088731014,43,281.1700005,164.2305708873173,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak12/fee0/joint/comparison.json,bb79b68365df06e3193128a9a6c6f4b23aa103038945313561158dbdd082a027,,
peak12,0.0,joint_pool_optimized,5,,,164.23057088731014,43,281.1700005,164.2305708873173,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak12/fee0/joint/comparison.json,bb79b68365df06e3193128a9a6c6f4b23aa103038945313561158dbdd082a027,,
peak12,5.0,original_giro,5,289.5935355365639,290.59658393075955,,52,280.7833253000002,,,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak12/fee5/joint/comparison.json,2444b0edb55351b8298c4b55b357e59c72f728a03e1ab8d7833bfecfbc8201d1,549.5935355365639,550.5965839307596
peak12,5.0,fixed_duties_optimized,5,,,188.54822636657798,28,282.71000150000003,328.5482263665763,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak12/fee5/joint/comparison.json,2444b0edb55351b8298c4b55b357e59c72f728a03e1ab8d7833bfecfbc8201d1,,
peak12,5.0,joint_pool_optimized,5,,,188.3587312747564,28,282.71000150000003,328.358731274755,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak12/fee5/joint/comparison.json,2444b0edb55351b8298c4b55b357e59c72f728a03e1ab8d7833bfecfbc8201d1,,
peak18,0.0,original_giro,5,223.44729058227833,223.7232277426603,,52,280.7833253000002,,,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak18/fee0/joint/comparison.json,edd4ae5d98ede2de0f5c3344edcafb35ada72c975be29bb40581844d138bf571,223.44729058227833,223.7232277426603
peak18,0.0,fixed_duties_optimized,5,,,95.28505423779355,42,282.9,95.28505423778552,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak18/fee0/joint/comparison.json,edd4ae5d98ede2de0f5c3344edcafb35ada72c975be29bb40581844d138bf571,,
peak18,0.0,joint_pool_optimized,5,,,95.28505423779355,42,282.9,95.28505423778552,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak18/fee0/joint/comparison.json,edd4ae5d98ede2de0f5c3344edcafb35ada72c975be29bb40581844d138bf571,,
peak18,5.0,original_giro,5,223.44729058227833,223.7232277426603,,52,280.7833253000002,,,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak18/fee5/joint/comparison.json,4f6bdcaf6d6dc3bc55b81e23b4aec5ac9a2f2abd0052a65f75ffa2638796c397,483.44729058227836,483.7232277426603
peak18,5.0,fixed_duties_optimized,5,,,120.78213598227454,22,288.10000500000007,230.78213598227012,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak18/fee5/joint/comparison.json,4f6bdcaf6d6dc3bc55b81e23b4aec5ac9a2f2abd0052a65f75ffa2638796c397,,
peak18,5.0,joint_pool_optimized,5,,,135.75634347131594,16,289.4600040000001,215.7563434713229,True,/home/nc437/ladder-lite/giro_zero_start_fee_20260913/results/peak18/fee5/joint/comparison.json,4f6bdcaf6d6dc3bc55b81e23b4aec5ac9a2f2abd0052a65f75ffa2638796c397,,
