source_case_id,target_k,fee0_cg_present,fee0_cg_process_success,fee0_cg_certified_rc_optimal,fee0_cg_pricing_scope,fee0_cg_stop_reason,fee0_cg_iterations,fee0_cg_columns,fee0_cg_runtime_s,fee0_mip_present,fee0_mip_process_success,fee0_mip_status,fee0_mip_status_name,fee0_mip_incumbent_found,fee0_buses,fee0_mip_obj,fee0_mip_bound,fee0_mip_gap,fee0_finite_pool_optimal_scope,fee0_mip_bound_scope,fee0_fleet_proven,fee0_physical_replay_validated,fee0_duplicate_trip_removal_validated,fee0_cross_route_charger_capacity_validated,fee0_mip_runtime_s,fee0_stage2_executed,fee0_stage2_fleet_cap,fee0_stage2_fleet_cap_proven,fee0_stage2_fleet_constraint,fee0_charging_metrics_available,fee0_cost_components_reconcile,fee0_expanded_grid_charging_total,fee0_expanded_grid_electricity_cost,fee0_expanded_grid_start_fees,fee0_expanded_grid_charging_starts,fee0_expanded_grid_charging_kwh,fee0_expanded_grid_terminal_kwh,fee0_continuous_charging_total,fee0_continuous_electricity_cost,fee0_continuous_start_fees,fee0_continuous_charging_starts,fee0_continuous_charging_kwh,fee0_continuous_terminal_kwh,fee5_cg_present,fee5_cg_process_success,fee5_cg_certified_rc_optimal,fee5_cg_pricing_scope,fee5_cg_stop_reason,fee5_cg_iterations,fee5_cg_columns,fee5_cg_runtime_s,fee5_mip_present,fee5_mip_process_success,fee5_mip_status,fee5_mip_status_name,fee5_mip_incumbent_found,fee5_buses,fee5_mip_obj,fee5_mip_bound,fee5_mip_gap,fee5_finite_pool_optimal_scope,fee5_mip_bound_scope,fee5_fleet_proven,fee5_physical_replay_validated,fee5_duplicate_trip_removal_validated,fee5_cross_route_charger_capacity_validated,fee5_mip_runtime_s,fee5_stage2_executed,fee5_stage2_fleet_cap,fee5_stage2_fleet_cap_proven,fee5_stage2_fleet_constraint,fee5_charging_metrics_available,fee5_cost_components_reconcile,fee5_expanded_grid_charging_total,fee5_expanded_grid_electricity_cost,fee5_expanded_grid_start_fees,fee5_expanded_grid_charging_starts,fee5_expanded_grid_charging_kwh,fee5_expanded_grid_terminal_kwh,fee5_continuous_charging_total,fee5_continuous_electricity_cost,fee5_continuous_start_fees,fee5_continuous_charging_starts,fee5_continuous_charging_kwh,fee5_continuous_terminal_kwh,delta_fee0_minus_fee5_buses,delta_fee0_minus_fee5_mip_obj,delta_fee0_minus_fee5_mip_runtime_s,delta_fee0_minus_fee5_cg_runtime_s,delta_fee0_minus_fee5_expanded_grid_charging_total,delta_fee0_minus_fee5_expanded_grid_electricity_cost,delta_fee0_minus_fee5_expanded_grid_start_fees,delta_fee0_minus_fee5_expanded_grid_charging_starts,delta_fee0_minus_fee5_expanded_grid_charging_kwh,delta_fee0_minus_fee5_expanded_grid_terminal_kwh,delta_fee0_minus_fee5_continuous_charging_total,delta_fee0_minus_fee5_continuous_electricity_cost,delta_fee0_minus_fee5_continuous_start_fees,delta_fee0_minus_fee5_continuous_charging_starts,delta_fee0_minus_fee5_continuous_charging_kwh,delta_fee0_minus_fee5_continuous_terminal_kwh
w1_k05,5,True,True,True,conservative_expanded_grid_model_only,certified,486,37616,836.879963587271,True,True,2,OPTIMAL,True,5,500155.496,500155.496,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,True,False,7.228304039919749,True,5,True,at_most,True,True,155.49599999999919,155.496,0.0,49,1567.5,8.538001800000004,145.3671816965798,145.367181696576,0.0,49,1465.39497678,11.072002200000004,True,True,True,conservative_expanded_grid_model_only,certified,39,27966,179.87601178931072,True,True,2,OPTIMAL,True,5,500237.976,500237.976,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,True,False,5.869832278229296,True,5,True,at_most,True,True,237.9759999999951,157.976,80.0,16,1592.5,7.680001900000003,230.5978987683775,150.597898768384,80.0,16,1518.1239795200001,38.60100494000006,0.0,-82.48000000003958,1.3584717616904527,657.0039517979603,-82.47999999999593,-2.4799999999999898,-80.0,33.0,-25.0,0.8579999000000003,-85.2307170717977,-5.230717071807987,-80.0,33.0,-52.72900274000017,-27.529002740000056
w1_k10,10,True,True,True,conservative_expanded_grid_model_only,certified,688,104819,4722.3386002918705,True,True,9,TIME_LIMIT,True,10,1000409.696,1000384.2905608943,0.06201046411395517,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3602.0615359237418,True,10,True,at_most,True,True,409.69599999996717,409.69599999999997,0.0,121,4130.0,16.7650029,387.332942586203,387.332942586208,0.0,121,3904.56595349,23.3290033,True,True,True,conservative_expanded_grid_model_only,certified,11,84373,488.75731091666967,True,True,9,TIME_LIMIT,True,10,1000614.944,1000540.5938374429,0.12090558255226141,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3601.8282740656286,True,10,True,at_most,True,True,614.9439999999886,409.9439999999999,205.0,41,4132.5,18.136003000000002,598.4568571444688,393.45685714447995,205.0,41,3966.2989631499995,84.38301156000013,0.0,-205.24800000002142,0.23326185811311007,4233.581289375201,-205.24800000002142,-0.2479999999999336,-205.0,80.0,-2.5,-1.3710001000000034,-211.12391455826582,-6.123914558271963,-205.0,80.0,-61.733009659999425,-61.05400826000013
w1_k15,15,True,True,False,conservative_expanded_grid_model_only,wall_limit,441,127046,7149.635777261108,True,True,9,TIME_LIMIT,True,16,1600648.5199999998,,0.17240413704268734,none,charging_related_objective_under_fleet_cap,False,True,False,False,3613.7910996861756,True,16,False,at_most,True,True,648.5199999998877,648.5199999999999,0.0,185,6537.5,26.555002440000003,608.5649111108069,608.5649111107841,0.0,185,6134.726926519999,36.74400452,True,True,False,conservative_expanded_grid_model_only,wall_limit,364,124736,7148.698678048328,True,True,9,TIME_LIMIT,True,15,1501023.4319999986,1500718.8861776232,0.29757308973715,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3605.1670170817524,True,15,True,at_most,True,True,1023.431999998531,628.432,395.0,79,6335.0,25.548003499999997,994.8610061030922,599.8610061031039,395.0,79,6046.985948619999,127.70302308000008,1.0,99625.08800000115,8.624082604423165,0.9370992127805948,-374.9119999986433,20.08799999999985,-395.0,106.0,202.5,1.0069989400000061,-386.29609499228536,8.703905007680191,-395.0,106.0,87.74097789999996,-90.95901856000009
w2_k05,5,True,True,True,conservative_expanded_grid_model_only,certified,161,25412,363.8901928467676,True,True,2,OPTIMAL,True,5,500124.496,500124.496,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,True,False,15.623856529593468,True,5,True,at_most,True,True,124.49599999999919,124.49600000000001,0.0,35,1255.0,16.6260008,113.85064789574244,113.850647895744,0.0,35,1147.68798282,41.954005640000005,True,True,True,conservative_expanded_grid_model_only,certified,31,21691,138.65435217693448,True,True,2,OPTIMAL,True,5,500204.256,500204.256,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,False,False,66.62388276867568,True,5,True,at_most,True,True,204.25599999999395,154.256,50.0,10,1555.0,7.315001700000002,193.4168112246989,143.416811224704,50.0,10,1445.7339841199998,54.50900798000002,0.0,-79.76000000000931,-51.00002623908222,225.23584066983312,-79.75999999999476,-29.75999999999999,-50.0,25.0,-300.0,9.310999099999998,-79.56616332895646,-29.566163328959988,-50.0,25.0,-298.04600129999994,-12.555002340000016
w2_k10,10,True,True,True,conservative_expanded_grid_model_only,certified,87,59766,601.818479782436,True,True,9,TIME_LIMIT,True,10,1000307.024,1000290.1406950228,0.0549901798467261,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3601.32169154007,True,10,True,at_most,True,True,307.0240000000049,307.024,0.0,90,3095.0,15.6100012,283.9996762750525,283.99967627504,0.0,90,2862.8999624499997,58.20300742000005,True,True,True,conservative_expanded_grid_model_only,certified,15,57525,297.80721625778824,True,True,9,TIME_LIMIT,True,10,1000542.776,1000382.0067223171,0.29619820641098704,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3602.0022620670497,True,10,True,at_most,True,True,542.775999999998,337.77599999999995,205.0,41,3405.0,16.332002100000004,520.5927932863269,315.592793286336,205.0,41,3181.3789645800002,80.01301315000009,0.0,-235.75199999997858,-0.6805705269798636,304.0112635246478,-235.75199999999313,-30.751999999999953,-205.0,49.0,-310.0,-0.7220009000000047,-236.59311701127444,-31.593117011296044,-205.0,49.0,-318.4790021300005,-21.810005730000043
w2_k15,15,True,True,True,conservative_expanded_grid_model_only,certified,117,108495,1767.6912448946387,True,True,9,TIME_LIMIT,True,15,1500540.6400000001,1500488.9067582078,0.0956888905595698,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3602.761258128099,True,15,True,at_most,True,True,540.640000000014,540.64,0.0,158,5450.0,19.978002700000008,501.3340770416544,501.334077041664,0.0,158,5053.7709379200005,47.80700701999999,True,True,True,conservative_expanded_grid_model_only,certified,18,105519,744.6911251312122,True,True,9,TIME_LIMIT,True,15,1500943.824,1500620.9224784253,0.3421204817578253,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3602.4794572792016,True,15,True,at_most,True,True,943.8240000000224,548.824,395.0,79,5532.5,19.878001840000003,910.6400076683785,515.640007668384,395.0,79,5197.98394827,118.40801438000003,0.0,-403.18399999989197,0.28180084889754653,1023.0001197634265,-403.1840000000084,-8.183999999999969,-395.0,79.0,-82.5,0.10000086000000508,-409.30593062672415,-14.305930626719999,-395.0,79.0,-144.21301034999942,-70.60100736000004
w3_k05,5,True,True,True,conservative_expanded_grid_model_only,certified,59,15295,108.5747991905082,True,True,2,OPTIMAL,True,5,500099.944,500099.944,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,False,False,33.772419596789405,True,5,True,at_most,True,True,99.94400000000314,99.944,0.0,27,1007.5,5.42099884,89.10590301295451,89.10590301296,0.0,27,898.2449900499998,17.166001340000005,True,True,True,conservative_expanded_grid_model_only,certified,11,14073,52.2429700079374,True,True,2,OPTIMAL,True,5,500134.944,500134.944,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,False,False,29.809154519811273,True,5,True,at_most,True,True,134.94400000000314,99.944,35.0,7,1007.5,5.42099884,126.5647738702537,91.56477387027199,35.0,7,923.0319946600001,41.95300595000002,0.0,-35.0,3.963265076978132,56.3318291825708,-35.0,0.0,-35.0,20.0,0.0,0.0,-37.45887085729919,-2.458870857311993,-35.0,20.0,-24.78700461000028,-24.787004610000015
w3_k10,10,True,True,True,conservative_expanded_grid_model_only,certified,127,39275,458.31343163130805,True,True,2,OPTIMAL,True,10,1000241.056,1000241.056,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,False,False,1710.9040087261237,True,10,True,at_most,True,True,241.05599999999686,241.05599999999998,0.0,67,2430.0,11.30899948,221.05569059876143,221.055690598752,0.0,67,2228.38397781,39.343003519999996,True,True,True,conservative_expanded_grid_model_only,certified,14,35834,157.25225555105135,True,True,9,TIME_LIMIT,True,10,1000366.056,1000336.2583651762,0.08140184786981894,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3601.2076681340113,True,10,True,at_most,True,True,366.05599999999686,241.05599999999998,125.0,25,2430.0,11.42199938,350.958155111628,225.95815511161595,125.0,25,2277.80398298,88.76300869,0.0,-125.0,-1890.3036594078876,301.0611760802567,-125.0,0.0,-125.0,42.0,0.0,-0.11299990000000015,-129.90246451286657,-4.902464512863958,-125.0,42.0,-49.42000516999997,-49.42000517000001
w3_k15,15,True,True,True,conservative_expanded_grid_model_only,certified,131,73428,1044.3792623956688,True,True,9,TIME_LIMIT,True,15,1500421.104,1500384.3215628555,0.08734763180690691,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3601.8361830599606,True,15,True,at_most,True,True,421.10400000003574,421.1039999999999,0.0,119,4245.0,18.658002040000003,389.50899451928854,389.5089945192959,0.0,119,3926.50196088,45.181007680000036,True,True,True,conservative_expanded_grid_model_only,certified,26,70202,398.2583745121956,True,True,9,TIME_LIMIT,True,15,1500679.328,1500508.6832631826,0.2511963835102479,fleet_only,fixed_proven_fleet_variable_cost,True,True,False,False,3602.0056195259094,True,15,True,at_most,True,True,679.3279999999941,424.3279999999999,255.0,51,4277.5,18.424003080000006,653.8255616543611,398.82556165436796,255.0,51,4020.41896829,112.24801655000005,0.0,-258.2239999999292,-0.16943646594882011,646.1208878834732,-258.2239999999583,-3.2239999999999895,-255.0,68.0,-32.5,0.23399895999999742,-264.31656713507255,-9.316567135072034,-255.0,68.0,-93.91700741000022,-67.06700887000001
w4_k05,5,True,True,True,conservative_expanded_grid_model_only,certified,684,29929,744.8973065288737,True,True,2,OPTIMAL,True,5,500160.952,500160.952,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,True,False,9.434185579884797,True,5,True,at_most,True,True,160.95200000000477,160.952,0.0,51,1622.5,4.524001400000004,151.76964860691805,151.76964860691203,0.0,51,1529.93597386,11.109001239999998,True,True,True,conservative_expanded_grid_model_only,certified,13,15577,62.366234672255814,True,True,2,OPTIMAL,True,5,500233.848,500233.848,0.0,full_pool_lexicographic,fixed_proven_fleet_variable_cost,True,True,False,False,12.845210490282625,True,5,True,at_most,True,True,233.84799999999814,173.848,60.0,12,1752.5,6.009002800000005,226.51751512550982,166.51751512550402,60.0,12,1678.60398312,43.90701059999999,0.0,-72.89600000000792,-3.4110249103978276,682.5310718566179,-72.89599999999336,-12.896000000000015,-60.0,39.0,-130.0,-1.4850014000000007,-74.74786651859176,-14.74786651859199,-60.0,39.0,-148.66800925999996,-32.798009359999995
