date_utc,run_id,execution_mode,commit,group,cell_id,phase,arm,scale,sel_rep,cg_rep,soc_step,block_min,budget_s,status,label,route_weight,route_weight_meaning,min_reduced_cost,certified,artificial_mass,n_columns,iters,master_s,pricing_s,wall_s,stop_reason,censor_reason,max_rss_mb,mip_incumbent_fleet,mip_bound,mip_gap,first_incumbent_s,mip_nodes,target_fleet,artifact_path,artifact_sha256,notes,source_cg_certified,source_cg_stop_reason,source_cg_iterations,pool_fleet_proven,pool_mip_bound,model_fleet_proven,model_optimality_method,optimality_scope,physical_witness_valid
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k02_s1_c1,CG,,2,1,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,2.181818,combined-cost-master route weight,-0,True,0.000000,2272,212,,,32,certified,,,,,,,,2,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=85.96; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k02_s2_c1,CG,,2,2,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,2.187500,combined-cost-master route weight,-0,True,0.000000,548,93,,,7,certified,,,,,,,,2,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=120.26; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k02_s3_c1,CG,,2,3,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,2.274725,combined-cost-master route weight,-0,True,0.000000,2906,546,,,108,certified,,,,,,,,2,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=96.06; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k03_s1_c1,CG,,3,1,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,3.181818,combined-cost-master route weight,-0,True,0.000000,5412,330,,,76,certified,,,,,,,,3,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=145.09; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k03_s2_c1,CG,,3,2,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,3.404698,combined-cost-master route weight,-0,True,0.000000,6285,693,,,205,certified,,,,,,,,3,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=173.47; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k03_s3_c1,CG,,3,3,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,3.000000,combined-cost-master route weight,-0,True,0.000000,5036,264,,,43,certified,,,,,,,,3,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=101.23; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k05_s1_c1,CG,,5,1,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,5.323651,combined-cost-master route weight,-0,True,0.000000,18515,691,,,587,certified,,,,,,,,5,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=332.68; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k05_s2_c1,CG,,5,2,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,5.000000,combined-cost-master route weight,-0,True,0.000000,16689,798,,,648,certified,,,,,,,,5,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=251.42; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k05_s3_c1,CG,,5,3,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,5.000000,combined-cost-master route weight,-0,True,0.000000,43297,1671,,,5130,certified,,,,,,,,5,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=294.83; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k08_s1_c1,CG,,8,1,1,15.0,10,,censored,curator_backfill_from_committed_aggregates,8.297625,combined-cost-master route weight,-2112.02,False,0.000000,58721,2000,,,12398,pricing_censored_max_iters,pricing_censored_max_iters,,,,,,,8,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=619.61; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k08_s2_c1,CG,,8,2,1,15.0,10,,censored,curator_backfill_from_committed_aggregates,8.000000,combined-cost-master route weight,-0.505911,False,0.000000,57033,2000,,,15473,near_converged,near_converged,,,,,,,8,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=376.55; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k08_s3_c1,CG,,8,3,1,15.0,10,,completed,curator_backfill_from_committed_aggregates,8.000000,combined-cost-master route weight,-0,True,0.000000,30118,1304,,,3690,certified,,,,,,,,8,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=351.04; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k13_s1_c1,CG,,13,1,1,15.0,10,,censored,curator_backfill_from_committed_aggregates,13.088176,combined-cost-master route weight,-10790.2,False,0.000000,58263,2000,,,14767,pricing_censored_max_iters,pricing_censored_max_iters,,,,,,,13,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=941.82; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k13_s2_c1,CG,,13,2,1,15.0,10,,censored,curator_backfill_from_committed_aggregates,13.000000,combined-cost-master route weight,-0.820612,False,0.000000,55637,2000,,,20120,near_converged,near_converged,,,,,,,13,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=566.26; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG,k13_s3_c1,CG,,13,3,1,15.0,10,,censored,curator_backfill_from_committed_aggregates,13.000000,combined-cost-master route weight,-57.1695,False,0.000000,52479,1790,,,21607,near_converged,near_converged,,,,,,,13,analysis/scale_ladder/ll_20260820c/ladder_summary.csv,4bfd2bb61eb7ff1eedec398ddfa3496c66ff19988bb42fc6f11a5fcfbafc1e2f,charging_cost_usd=765.53; wall_s from elapsed_h (3-decimal hours); primary 15kWh/10min grid; see records/runs/ll_20260820c/README.md,,,,,,,,,
